Labels,AAN_274_1e-5_lifetime_ex375_em620,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,9998.779300,
Step,1.2207031,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

0.00,0.00000000E+0,
1.2207031,0.00000000E+0,
2.4414063,0.00000000E+0,
3.6621094,0.00000000E+0,
4.8828125,0.00000000E+0,
6.1035156,0.00000000E+0,
7.3242188,0.00000000E+0,
8.5449219,0.00000000E+0,
9.7656250,0.00000000E+0,
10.986328,0.00000000E+0,
12.207031,0.00000000E+0,
13.427734,0.00000000E+0,
14.648438,0.00000000E+0,
15.869141,0.00000000E+0,
17.089844,0.00000000E+0,
18.310547,0.00000000E+0,
19.531250,0.00000000E+0,
20.751953,0.00000000E+0,
21.972656,0.00000000E+0,
23.193359,0.00000000E+0,
24.414063,0.00000000E+0,
25.634766,0.00000000E+0,
26.855469,0.00000000E+0,
28.076172,0.00000000E+0,
29.296875,0.00000000E+0,
30.517578,0.00000000E+0,
31.738281,0.00000000E+0,
32.958984,0.00000000E+0,
34.179688,0.00000000E+0,
35.400391,0.00000000E+0,
36.621094,0.00000000E+0,
37.84180,0.00000000E+0,
39.06250,0.00000000E+0,
40.28320,0.00000000E+0,
41.503906,0.00000000E+0,
42.724609,0.00000000E+0,
43.945313,0.00000000E+0,
45.166016,0.00000000E+0,
46.386719,0.00000000E+0,
47.607422,0.00000000E+0,
48.828125,0.00000000E+0,
50.048828,0.00000000E+0,
51.269531,0.00000000E+0,
52.490234,1.00000000E+0,
53.710938,0.00000000E+0,
54.931641,2.00000000E+0,
56.152344,3.00000000E+0,
57.373047,2.00000000E+0,
58.593750,0.00000000E+0,
59.814453,2.00000000E+0,
61.035156,3.00000000E+0,
62.255859,2.00000000E+0,
63.476563,5.00000000E+0,
64.697266,0.00000000E+0,
65.917969,4.00000000E+0,
67.138672,2.10000000E+1,
68.359375,1.86000000E+2,
69.580078,8.81000000E+2,
70.800781,2.39800000E+3,
72.021484,3.96400000E+3,
73.242188,4.48700000E+3,
74.462891,3.96800000E+3,
75.683594,2.70400000E+3,
76.90430,2.10200000E+3,
78.1250,1.42200000E+3,
79.34570,9.70000000E+2,
80.566406,6.89000000E+2,
81.787109,4.70000000E+2,
83.007813,3.59000000E+2,
84.228516,2.31000000E+2,
85.449219,1.99000000E+2,
86.669922,1.33000000E+2,
87.890625,9.70000000E+1,
89.111328,6.30000000E+1,
90.332031,6.50000000E+1,
91.552734,4.40000000E+1,
92.773438,3.30000000E+1,
93.994141,3.50000000E+1,
95.214844,2.30000000E+1,
96.435547,2.50000000E+1,
97.656250,1.90000000E+1,
98.876953,2.60000000E+1,
100.097660,2.80000000E+1,
101.318360,1.50000000E+1,
102.539060,2.30000000E+1,
103.759770,2.00000000E+1,
104.980470,2.10000000E+1,
106.201170,2.20000000E+1,
107.421880,1.80000000E+1,
108.642580,1.90000000E+1,
109.863280,1.90000000E+1,
111.08400,2.30000000E+1,
112.304690,1.80000000E+1,
113.525390,1.40000000E+1,
114.746090,1.60000000E+1,
115.966800,1.60000000E+1,
117.187500,2.00000000E+1,
118.408200,1.70000000E+1,
119.628910,2.50000000E+1,
120.849610,1.70000000E+1,
122.070310,1.30000000E+1,
123.29100,1.60000000E+1,
124.511720,1.30000000E+1,
125.732420,1.80000000E+1,
126.953130,2.60000000E+1,
128.173830,2.50000000E+1,
129.394530,1.60000000E+1,
130.615230,1.60000000E+1,
131.835940,1.20000000E+1,
133.056640,1.10000000E+1,
134.277340,1.00000000E+1,
135.49800,2.20000000E+1,
136.718750,1.80000000E+1,
137.939450,1.80000000E+1,
139.160160,1.50000000E+1,
140.380860,1.40000000E+1,
141.601560,2.00000000E+1,
142.822270,1.50000000E+1,
144.04300,1.50000000E+1,
145.263670,2.10000000E+1,
146.484380,1.70000000E+1,
147.705080,1.60000000E+1,
148.925780,1.90000000E+1,
150.146480,1.20000000E+1,
151.367190,2.00000000E+1,
152.587890,1.30000000E+1,
153.808590,1.40000000E+1,
155.029300,1.40000000E+1,
156.2500,1.10000000E+1,
157.470700,1.00000000E+1,
158.691410,1.10000000E+1,
159.912110,1.50000000E+1,
161.132810,8.00000000E+0,
162.353520,1.70000000E+1,
163.574220,1.40000000E+1,
164.794920,1.40000000E+1,
166.015630,1.30000000E+1,
167.236330,2.00000000E+1,
168.45700,1.80000000E+1,
169.677730,1.20000000E+1,
170.898440,1.30000000E+1,
172.119140,1.10000000E+1,
173.339840,1.10000000E+1,
174.560550,1.20000000E+1,
175.781250,1.70000000E+1,
177.00200,1.90000000E+1,
178.222660,1.50000000E+1,
179.443360,9.00000000E+0,
180.664060,1.40000000E+1,
181.884770,2.00000000E+1,
183.105470,1.60000000E+1,
184.326170,1.40000000E+1,
185.546880,1.40000000E+1,
186.767580,1.30000000E+1,
187.988280,1.00000000E+1,
189.20900,1.10000000E+1,
190.429690,1.30000000E+1,
191.650390,8.00000000E+0,
192.871090,1.40000000E+1,
194.091800,1.30000000E+1,
195.312500,1.30000000E+1,
196.533200,6.00000000E+0,
197.753910,4.00000000E+0,
198.974610,7.00000000E+0,
200.195310,1.30000000E+1,
201.41600,7.00000000E+0,
202.636720,1.20000000E+1,
203.857420,1.30000000E+1,
205.078130,1.70000000E+1,
206.298830,1.10000000E+1,
207.519530,1.80000000E+1,
208.740230,8.00000000E+0,
209.960940,5.00000000E+0,
211.181640,2.10000000E+1,
212.402340,1.50000000E+1,
213.62300,1.10000000E+1,
214.843750,1.40000000E+1,
216.064450,1.90000000E+1,
217.285160,1.30000000E+1,
218.505860,1.40000000E+1,
219.726560,1.70000000E+1,
220.947270,1.40000000E+1,
222.16800,1.60000000E+1,
223.388670,1.50000000E+1,
224.609380,1.20000000E+1,
225.830080,8.00000000E+0,
227.050780,1.40000000E+1,
228.271480,8.00000000E+0,
229.492190,1.20000000E+1,
230.712890,1.30000000E+1,
231.933590,1.20000000E+1,
233.154300,1.10000000E+1,
234.37500,1.10000000E+1,
235.595700,1.10000000E+1,
236.816410,1.40000000E+1,
238.037110,6.00000000E+0,
239.257810,8.00000000E+0,
240.478520,1.10000000E+1,
241.699220,7.00000000E+0,
242.919920,1.00000000E+1,
244.140630,9.00000000E+0,
245.361330,1.30000000E+1,
246.58200,8.00000000E+0,
247.802730,7.00000000E+0,
249.023440,6.00000000E+0,
250.244140,1.30000000E+1,
251.464840,3.00000000E+0,
252.685550,9.00000000E+0,
253.906250,3.00000000E+0,
255.12700,1.00000000E+1,
256.347660,1.70000000E+1,
257.568360,1.10000000E+1,
258.789060,1.00000000E+1,
260.009770,8.00000000E+0,
261.230470,8.00000000E+0,
262.451170,5.00000000E+0,
263.671880,1.40000000E+1,
264.892580,1.10000000E+1,
266.113280,1.00000000E+1,
267.33400,9.00000000E+0,
268.554690,7.00000000E+0,
269.775390,1.30000000E+1,
270.996090,1.00000000E+1,
272.216800,1.20000000E+1,
273.437500,6.00000000E+0,
274.658200,7.00000000E+0,
275.878910,5.00000000E+0,
277.099610,1.10000000E+1,
278.320310,9.00000000E+0,
279.54100,1.40000000E+1,
280.761720,6.00000000E+0,
281.982420,3.00000000E+0,
283.203130,6.00000000E+0,
284.423830,9.00000000E+0,
285.644530,1.00000000E+0,
286.865230,9.00000000E+0,
288.085940,1.00000000E+1,
289.306640,1.20000000E+1,
290.527340,1.30000000E+1,
291.74800,7.00000000E+0,
292.968750,9.00000000E+0,
294.189450,4.00000000E+0,
295.410160,8.00000000E+0,
296.630860,8.00000000E+0,
297.851560,1.50000000E+1,
299.072270,9.00000000E+0,
300.29300,1.40000000E+1,
301.513670,8.00000000E+0,
302.734380,6.00000000E+0,
303.955080,8.00000000E+0,
305.175780,8.00000000E+0,
306.396480,1.50000000E+1,
307.617190,1.10000000E+1,
308.837890,6.00000000E+0,
310.058590,1.20000000E+1,
311.279300,8.00000000E+0,
312.500,4.00000000E+0,
313.720700,1.10000000E+1,
314.941410,1.00000000E+1,
316.162110,8.00000000E+0,
317.382810,1.00000000E+1,
318.603520,8.00000000E+0,
319.824220,1.20000000E+1,
321.044920,1.00000000E+1,
322.265630,1.50000000E+1,
323.486330,6.00000000E+0,
324.70700,8.00000000E+0,
325.927730,8.00000000E+0,
327.148440,9.00000000E+0,
328.369140,9.00000000E+0,
329.589840,6.00000000E+0,
330.810550,8.00000000E+0,
332.031250,1.00000000E+1,
333.25200,1.10000000E+1,
334.472660,1.10000000E+1,
335.693360,4.00000000E+0,
336.914060,1.00000000E+1,
338.134770,8.00000000E+0,
339.355470,7.00000000E+0,
340.576170,8.00000000E+0,
341.796880,0.00000000E+0,
343.017580,6.00000000E+0,
344.238280,4.00000000E+0,
345.45900,1.20000000E+1,
346.679690,5.00000000E+0,
347.900390,6.00000000E+0,
349.121090,8.00000000E+0,
350.341800,1.20000000E+1,
351.562500,9.00000000E+0,
352.783200,4.00000000E+0,
354.003910,4.00000000E+0,
355.224610,9.00000000E+0,
356.445310,7.00000000E+0,
357.66600,6.00000000E+0,
358.886720,8.00000000E+0,
360.107420,1.20000000E+1,
361.328130,9.00000000E+0,
362.548830,6.00000000E+0,
363.769530,9.00000000E+0,
364.990230,9.00000000E+0,
366.210940,2.00000000E+0,
367.431640,1.00000000E+1,
368.652340,9.00000000E+0,
369.87300,5.00000000E+0,
371.093750,8.00000000E+0,
372.314450,6.00000000E+0,
