Labels,1909_LIFETIME_AAN155_EPL375_50KHz_20micro_9182ch_30min_slit2_emi502_1minAr,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19997.559000,
Step,2.4414063,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

0.00,0.00000000E+0,
2.4414063,0.00000000E+0,
4.8828125,0.00000000E+0,
7.3242188,0.00000000E+0,
9.7656250,0.00000000E+0,
12.207031,0.00000000E+0,
14.648438,0.00000000E+0,
17.089844,0.00000000E+0,
19.531250,0.00000000E+0,
21.972656,0.00000000E+0,
24.414063,0.00000000E+0,
26.855469,0.00000000E+0,
29.296875,0.00000000E+0,
31.738281,0.00000000E+0,
34.179688,0.00000000E+0,
36.621094,0.00000000E+0,
39.06250,0.00000000E+0,
41.503906,0.00000000E+0,
43.945313,0.00000000E+0,
46.386719,0.00000000E+0,
48.828125,0.00000000E+0,
51.269531,0.00000000E+0,
53.710938,0.00000000E+0,
56.152344,0.00000000E+0,
58.593750,0.00000000E+0,
61.035156,0.00000000E+0,
63.476563,0.00000000E+0,
65.917969,0.00000000E+0,
68.359375,0.00000000E+0,
70.800781,0.00000000E+0,
73.242188,0.00000000E+0,
75.683594,0.00000000E+0,
78.1250,0.00000000E+0,
80.566406,0.00000000E+0,
83.007813,0.00000000E+0,
85.449219,0.00000000E+0,
87.890625,0.00000000E+0,
90.332031,0.00000000E+0,
92.773438,4.00000000E+0,
95.214844,2.00000000E+0,
97.656250,1.70000000E+1,
100.097660,2.27000000E+2,
102.539060,1.92800000E+3,
104.980470,8.43100000E+3,
107.421880,2.15530000E+4,
109.863280,3.29070000E+4,
112.304690,3.11710000E+4,
114.746090,2.05320000E+4,
117.187500,1.12950000E+4,
119.628910,5.58900000E+3,
122.070310,2.68500000E+3,
124.511720,1.24400000E+3,
126.953130,6.06000000E+2,
129.394530,3.12000000E+2,
131.835940,1.63000000E+2,
134.277340,8.00000000E+1,
136.718750,3.70000000E+1,
139.160160,3.60000000E+1,
141.601560,2.00000000E+1,
144.04300,1.60000000E+1,
146.484380,1.20000000E+1,
148.925780,8.00000000E+0,
151.367190,1.20000000E+1,
153.808590,7.00000000E+0,
156.2500,9.00000000E+0,
158.691410,1.00000000E+1,
161.132810,8.00000000E+0,
163.574220,5.00000000E+0,
166.015630,1.00000000E+0,
168.45700,7.00000000E+0,
170.898440,1.00000000E+1,
173.339840,5.00000000E+0,
175.781250,6.00000000E+0,
178.222660,1.00000000E+1,
180.664060,6.00000000E+0,
183.105470,1.20000000E+1,
185.546880,1.00000000E+1,
187.988280,7.00000000E+0,
190.429690,6.00000000E+0,
192.871090,4.00000000E+0,
195.312500,5.00000000E+0,
197.753910,5.00000000E+0,
200.195310,5.00000000E+0,
202.636720,3.00000000E+0,
205.078130,1.00000000E+0,
207.519530,6.00000000E+0,
209.960940,5.00000000E+0,
212.402340,6.00000000E+0,
214.843750,6.00000000E+0,
217.285160,3.00000000E+0,
219.726560,3.00000000E+0,
222.16800,5.00000000E+0,
224.609380,3.00000000E+0,
227.050780,5.00000000E+0,
229.492190,4.00000000E+0,
231.933590,3.00000000E+0,
234.37500,5.00000000E+0,
236.816410,3.00000000E+0,
239.257810,5.00000000E+0,
241.699220,3.00000000E+0,
244.140630,4.00000000E+0,
246.58200,5.00000000E+0,
249.023440,1.00000000E+0,
251.464840,5.00000000E+0,
253.906250,6.00000000E+0,
256.347660,1.00000000E+0,
258.789060,5.00000000E+0,
261.230470,4.00000000E+0,
263.671880,2.00000000E+0,
266.113280,4.00000000E+0,
268.554690,3.00000000E+0,
270.996090,4.00000000E+0,
273.437500,0.00000000E+0,
275.878910,2.00000000E+0,
278.320310,6.00000000E+0,
280.761720,0.00000000E+0,
283.203130,2.00000000E+0,
285.644530,3.00000000E+0,
288.085940,3.00000000E+0,
290.527340,3.00000000E+0,
292.968750,5.00000000E+0,
295.410160,2.00000000E+0,
297.851560,6.00000000E+0,
300.29300,1.00000000E+0,
302.734380,1.00000000E+0,
305.175780,4.00000000E+0,
307.617190,3.00000000E+0,
310.058590,3.00000000E+0,
312.500,9.00000000E+0,
314.941410,5.00000000E+0,
317.382810,1.00000000E+0,
319.824220,3.00000000E+0,
322.265630,3.00000000E+0,
324.70700,4.00000000E+0,
327.148440,3.00000000E+0,
329.589840,6.00000000E+0,
332.031250,1.00000000E+0,
334.472660,4.00000000E+0,
336.914060,1.00000000E+0,
339.355470,3.00000000E+0,
341.796880,3.00000000E+0,
344.238280,2.00000000E+0,
346.679690,3.00000000E+0,
349.121090,2.00000000E+0,
351.562500,3.00000000E+0,
354.003910,3.00000000E+0,
356.445310,7.00000000E+0,
358.886720,4.00000000E+0,
361.328130,2.00000000E+0,
363.769530,4.00000000E+0,
366.210940,5.00000000E+0,
368.652340,5.00000000E+0,
371.093750,3.00000000E+0,
373.535160,6.00000000E+0,
375.976560,0.00000000E+0,
378.41800,1.00000000E+0,
380.859380,4.00000000E+0,
383.300780,2.00000000E+0,
385.742190,2.00000000E+0,
388.183590,3.00000000E+0,
390.62500,4.00000000E+0,
393.066410,6.00000000E+0,
395.507810,4.00000000E+0,
397.949220,7.00000000E+0,
400.390630,3.00000000E+0,
402.83200,7.00000000E+0,
405.273440,3.00000000E+0,
407.714840,4.00000000E+0,
410.156250,4.00000000E+0,
412.597660,5.00000000E+0,
415.039060,4.00000000E+0,
417.480470,5.00000000E+0,
419.921880,2.00000000E+0,
422.363280,4.00000000E+0,
424.804690,5.00000000E+0,
427.246090,2.00000000E+0,
429.687500,2.00000000E+0,
432.128910,8.00000000E+0,
434.570310,2.00000000E+0,
437.011720,5.00000000E+0,
439.453130,5.00000000E+0,
441.894530,1.00000000E+0,
444.335940,4.00000000E+0,
446.777340,2.00000000E+0,
449.218750,4.00000000E+0,
451.660160,2.00000000E+0,
454.101560,4.00000000E+0,
456.54300,4.00000000E+0,
458.984380,2.00000000E+0,
461.425780,2.00000000E+0,
463.867190,5.00000000E+0,
466.308590,5.00000000E+0,
468.7500,3.00000000E+0,
471.191410,4.00000000E+0,
473.632810,3.00000000E+0,
476.074220,6.00000000E+0,
478.515630,2.00000000E+0,
480.95700,2.00000000E+0,
483.398440,4.00000000E+0,
485.839840,7.00000000E+0,
488.281250,2.00000000E+0,
490.722660,1.00000000E+0,
493.164060,1.00000000E+0,
495.605470,3.00000000E+0,
498.046880,3.00000000E+0,
500.488280,3.00000000E+0,
502.929690,4.00000000E+0,
505.371090,1.00000000E+0,
507.812500,6.00000000E+0,
510.253910,3.00000000E+0,
512.695310,5.00000000E+0,
515.136720,3.00000000E+0,
517.578130,2.00000000E+0,
520.019530,5.00000000E+0,
522.460940,7.00000000E+0,
524.902340,6.00000000E+0,
527.343750,4.00000000E+0,
529.785160,1.00000000E+0,
532.226560,5.00000000E+0,
534.66800,3.00000000E+0,
537.109380,2.00000000E+0,
539.550780,3.00000000E+0,
541.992190,2.00000000E+0,
544.433590,2.00000000E+0,
546.87500,4.00000000E+0,
549.316410,6.00000000E+0,
551.757810,3.00000000E+0,
554.199220,3.00000000E+0,
556.640630,3.00000000E+0,
559.08200,3.00000000E+0,
561.523440,4.00000000E+0,
563.964840,5.00000000E+0,
566.406250,3.00000000E+0,
568.847660,2.00000000E+0,
571.289060,4.00000000E+0,
573.730470,3.00000000E+0,
576.171880,1.00000000E+0,
578.613280,1.00000000E+0,
581.054690,3.00000000E+0,
583.496090,3.00000000E+0,
585.937500,1.00000000E+0,
588.378910,6.00000000E+0,
590.820310,1.00000000E+0,
593.261720,5.00000000E+0,
595.703130,2.00000000E+0,
598.144530,7.00000000E+0,
600.585940,4.00000000E+0,
603.027340,5.00000000E+0,
605.468750,4.00000000E+0,
607.910160,4.00000000E+0,
610.351560,3.00000000E+0,
612.79300,6.00000000E+0,
615.234380,3.00000000E+0,
617.675780,4.00000000E+0,
620.117190,1.00000000E+0,
622.558590,0.00000000E+0,
625.00,0.00000000E+0,
627.441410,3.00000000E+0,
629.882810,6.00000000E+0,
632.324220,3.00000000E+0,
634.765630,5.00000000E+0,
637.20700,2.00000000E+0,
639.648440,2.00000000E+0,
642.089840,4.00000000E+0,
644.531250,2.00000000E+0,
646.972660,4.00000000E+0,
649.414060,1.00000000E+0,
651.855470,7.00000000E+0,
654.296880,3.00000000E+0,
656.738280,3.00000000E+0,
659.179690,2.00000000E+0,
661.621090,4.00000000E+0,
664.062500,2.00000000E+0,
666.503910,5.00000000E+0,
668.945310,3.00000000E+0,
671.386720,3.00000000E+0,
673.828130,1.00000000E+0,
676.269530,0.00000000E+0,
678.710940,4.00000000E+0,
681.152340,1.00000000E+0,
683.593750,5.00000000E+0,
686.035160,6.00000000E+0,
688.476560,7.00000000E+0,
690.91800,5.00000000E+0,
693.359380,6.00000000E+0,
695.800780,3.00000000E+0,
698.242190,5.00000000E+0,
700.683590,5.00000000E+0,
703.12500,4.00000000E+0,
705.566410,4.00000000E+0,
708.007810,3.00000000E+0,
710.449220,2.00000000E+0,
712.890630,0.00000000E+0,
715.33200,1.00000000E+0,
717.773440,5.00000000E+0,
720.214840,4.00000000E+0,
722.656250,3.00000000E+0,
725.097660,4.00000000E+0,
727.539060,8.00000000E+0,
729.980470,1.00000000E+1,
732.421880,3.00000000E+0,
734.863280,6.00000000E+0,
737.304690,4.00000000E+0,
739.746090,4.00000000E+0,
742.187500,4.00000000E+0,
