Labels,1909_ZFFL55_AAN155_1E-5_ACN_exc375_3minAr,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,7.78524353E+2,
402.00,9.19760254E+2,
404.00,1.10160071E+3,
406.00,1.40224377E+3,
408.00,2.56461133E+3,
410.00,4.19531152E+3,
412.00,3.07216113E+3,
414.00,3.20400220E+3,
416.00,3.89055908E+3,
418.00,5.25196729E+3,
420.00,8.59093164E+3,
422.00,1.22763516E+4,
424.00,1.16758721E+4,
426.00,1.17012080E+4,
428.00,1.37073838E+4,
430.00,1.60133027E+4,
432.00,1.92957832E+4,
434.00,2.27815801E+4,
436.00,2.68022227E+4,
438.00,3.14665840E+4,
440.00,3.67808828E+4,
442.00,4.31346328E+4,
444.00,4.83564688E+4,
446.00,5.46808984E+4,
448.00,6.18384727E+4,
450.00,6.93704922E+4,
452.00,7.67955703E+4,
454.00,8.56820625E+4,
456.00,9.43311016E+4,
458.00,1.02645930E+5,
460.00,1.11728711E+5,
462.00,1.21807531E+5,
464.00,1.30910586E+5,
466.00,1.41565156E+5,
468.00,1.51921813E+5,
470.00,1.61469672E+5,
472.00,1.71708266E+5,
474.00,1.81617500E+5,
476.00,1.89560078E+5,
478.00,1.99450094E+5,
480.00,2.07213359E+5,
482.00,2.14735328E+5,
484.00,2.21008984E+5,
486.00,2.27461844E+5,
488.00,2.33409656E+5,
490.00,2.38989500E+5,
492.00,2.43397906E+5,
494.00,2.46741219E+5,
496.00,2.50313203E+5,
498.00,2.52311359E+5,
500.00,2.53697000E+5,
502.00,2.56502047E+5,
504.00,2.54391125E+5,
506.00,2.54979219E+5,
508.00,2.52800453E+5,
510.00,2.51773188E+5,
512.00,2.50759781E+5,
514.00,2.47474031E+5,
516.00,2.45812109E+5,
518.00,2.42767953E+5,
520.00,2.39109875E+5,
522.00,2.34985500E+5,
524.00,2.30599922E+5,
526.00,2.28364875E+5,
528.00,2.22813859E+5,
530.00,2.20831500E+5,
532.00,2.14689688E+5,
534.00,2.11951844E+5,
536.00,2.08153688E+5,
538.00,2.04789500E+5,
540.00,1.99223641E+5,
542.00,1.94410797E+5,
544.00,1.91627953E+5,
546.00,1.88465844E+5,
548.00,1.84450797E+5,
550.00,1.81695563E+5,
552.00,1.78995656E+5,
554.00,1.75045547E+5,
556.00,1.71668953E+5,
558.00,1.66948266E+5,
560.00,1.65450344E+5,
562.00,1.63339172E+5,
564.00,1.62588031E+5,
566.00,1.59792078E+5,
568.00,1.57909688E+5,
570.00,1.54842375E+5,
572.00,1.52586719E+5,
574.00,1.50968563E+5,
576.00,1.48840953E+5,
578.00,1.45495359E+5,
580.00,1.46504875E+5,
582.00,1.45195891E+5,
584.00,1.41996938E+5,
586.00,1.40964063E+5,
588.00,1.39905109E+5,
590.00,1.39731953E+5,
592.00,1.38346453E+5,
594.00,1.36721047E+5,
596.00,1.35175875E+5,
598.00,1.34062656E+5,
600.00,1.32907797E+5,
602.00,1.31393219E+5,
604.00,1.29389430E+5,
606.00,1.29512750E+5,
608.00,1.28931039E+5,
610.00,1.28360805E+5,
612.00,1.25663531E+5,
614.00,1.25198867E+5,
616.00,1.24737336E+5,
618.00,1.22733297E+5,
620.00,1.20639750E+5,
622.00,1.20743367E+5,
624.00,1.19381445E+5,
626.00,1.18204516E+5,
628.00,1.16970094E+5,
630.00,1.15635086E+5,
632.00,1.14533883E+5,
634.00,1.13134172E+5,
636.00,1.12089961E+5,
638.00,1.10657219E+5,
640.00,1.09591789E+5,
642.00,1.06870594E+5,
644.00,1.07397906E+5,
646.00,1.03789922E+5,
648.00,1.04541281E+5,
650.00,1.02268445E+5,
652.00,1.01043727E+5,
654.00,1.00807719E+5,
656.00,9.84925078E+4,
658.00,9.63491172E+4,
660.00,9.50425547E+4,
662.00,9.32259297E+4,
664.00,9.35901406E+4,
666.00,9.06557500E+4,
668.00,9.09480547E+4,
670.00,8.82941250E+4,
672.00,8.58693516E+4,
674.00,8.53035000E+4,
676.00,8.39292266E+4,
678.00,8.10191953E+4,
680.00,8.11566797E+4,
682.00,7.80745313E+4,
684.00,7.84565156E+4,
686.00,7.35156328E+4,
688.00,7.43580234E+4,
690.00,7.10125625E+4,
692.00,7.16221406E+4,
694.00,6.95966250E+4,
696.00,6.88983438E+4,
698.00,6.68306484E+4,
700.00,6.75888906E+4,
702.00,6.46202031E+4,
704.00,6.52269297E+4,
706.00,6.44166758E+4,
708.00,6.21923945E+4,
710.00,6.10715469E+4,
712.00,5.87251758E+4,
714.00,5.88607148E+4,
716.00,5.63483242E+4,
718.00,5.62229453E+4,
720.00,5.36912813E+4,
722.00,5.45003750E+4,
724.00,5.14497539E+4,
726.00,5.07473086E+4,
728.00,4.91445313E+4,
730.00,4.92581484E+4,
732.00,4.87441055E+4,
734.00,4.85991367E+4,
736.00,4.64242930E+4,
738.00,4.55317969E+4,
740.00,4.32694023E+4,
742.00,4.33241523E+4,
744.00,4.16993164E+4,
746.00,4.26044688E+4,
748.00,3.99930859E+4,
750.00,3.79389883E+4,
752.00,3.84616680E+4,
754.00,3.72434766E+4,
756.00,3.58471602E+4,
758.00,3.36307539E+4,
760.00,3.50566367E+4,
762.00,3.41534531E+4,
764.00,3.34096680E+4,
766.00,3.27059297E+4,
768.00,3.19538906E+4,
770.00,3.03170352E+4,
772.00,3.07170820E+4,
774.00,2.93729727E+4,
776.00,2.97582695E+4,
778.00,2.98833477E+4,
780.00,2.86411680E+4,
782.00,2.64241582E+4,
784.00,2.62209785E+4,
786.00,2.59909883E+4,
788.00,2.82110117E+4,
790.00,2.27515410E+4,
792.00,2.29286348E+4,
794.00,2.19178145E+4,
796.00,2.07924785E+4,
798.00,2.15511016E+4,
800.00,1.91204531E+4,
802.00,2.01267715E+4,
804.00,1.98478594E+4,
806.00,1.84511816E+4,
808.00,1.99264102E+4,
810.00,1.77527734E+4,
812.00,1.65253145E+4,
814.00,1.75312754E+4,
816.00,1.83671660E+4,
818.00,1.76027402E+4,
820.00,1.52944961E+4,
822.00,1.54722900E+4,
824.00,1.64347637E+4,
826.00,1.56150381E+4,
828.00,1.40458994E+4,
830.00,1.36172451E+4,
832.00,1.42103711E+4,
834.00,1.23471768E+4,
836.00,1.35440518E+4,
838.00,1.25090225E+4,
840.00,1.22441797E+4,
842.00,1.10864990E+4,
844.00,1.17597393E+4,
846.00,1.03577949E+4,
848.00,1.31987998E+4,
850.00,1.10303408E+4,
