Labels,1909_ZFFL55_AAN155_1E-5_ACN_exc375_4minAr,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,8.41847412E+2,
402.00,8.97689819E+2,
404.00,1.11683789E+3,
406.00,1.29322021E+3,
408.00,2.61872266E+3,
410.00,3.98869727E+3,
412.00,3.09813672E+3,
414.00,3.20586621E+3,
416.00,3.90597119E+3,
418.00,5.29788770E+3,
420.00,8.57926465E+3,
422.00,1.22723750E+4,
424.00,1.14992471E+4,
426.00,1.15864307E+4,
428.00,1.35718359E+4,
430.00,1.59943711E+4,
432.00,1.91563223E+4,
434.00,2.25907891E+4,
436.00,2.64806504E+4,
438.00,3.11633848E+4,
440.00,3.66857617E+4,
442.00,4.23141289E+4,
444.00,4.83923359E+4,
446.00,5.48984922E+4,
448.00,6.21039688E+4,
450.00,6.88486719E+4,
452.00,7.72166641E+4,
454.00,8.56702266E+4,
456.00,9.37274453E+4,
458.00,1.02748820E+5,
460.00,1.12167594E+5,
462.00,1.21687633E+5,
464.00,1.32171031E+5,
466.00,1.40829219E+5,
468.00,1.52036047E+5,
470.00,1.61937594E+5,
472.00,1.72023750E+5,
474.00,1.80582234E+5,
476.00,1.89872453E+5,
478.00,1.98676500E+5,
480.00,2.07476203E+5,
482.00,2.15142703E+5,
484.00,2.21922219E+5,
486.00,2.28872625E+5,
488.00,2.35830172E+5,
490.00,2.40645563E+5,
492.00,2.45472359E+5,
494.00,2.48356172E+5,
496.00,2.51712938E+5,
498.00,2.54875344E+5,
500.00,2.55057031E+5,
502.00,2.54676984E+5,
504.00,2.54955750E+5,
506.00,2.56890094E+5,
508.00,2.55358344E+5,
510.00,2.54102703E+5,
512.00,2.50468078E+5,
514.00,2.49033391E+5,
516.00,2.47331859E+5,
518.00,2.44255359E+5,
520.00,2.41226547E+5,
522.00,2.36960938E+5,
524.00,2.32368984E+5,
526.00,2.28612703E+5,
528.00,2.24762797E+5,
530.00,2.20542625E+5,
532.00,2.18516516E+5,
534.00,2.12095625E+5,
536.00,2.09781406E+5,
538.00,2.05190766E+5,
540.00,1.98926969E+5,
542.00,1.98678313E+5,
544.00,1.93967531E+5,
546.00,1.90773125E+5,
548.00,1.87414328E+5,
550.00,1.83830375E+5,
552.00,1.80091797E+5,
554.00,1.78010359E+5,
556.00,1.74716078E+5,
558.00,1.69963516E+5,
560.00,1.69274656E+5,
562.00,1.65924000E+5,
564.00,1.64305156E+5,
566.00,1.62718953E+5,
568.00,1.60412000E+5,
570.00,1.57975219E+5,
572.00,1.57246781E+5,
574.00,1.53985797E+5,
576.00,1.53090406E+5,
578.00,1.51978141E+5,
580.00,1.49124922E+5,
582.00,1.48981844E+5,
584.00,1.48435438E+5,
586.00,1.46190281E+5,
588.00,1.45422594E+5,
590.00,1.43964313E+5,
592.00,1.42983547E+5,
594.00,1.42226266E+5,
596.00,1.40643203E+5,
598.00,1.38824813E+5,
600.00,1.39080859E+5,
602.00,1.38152500E+5,
604.00,1.36806844E+5,
606.00,1.35655250E+5,
608.00,1.36898672E+5,
610.00,1.31839734E+5,
612.00,1.33647734E+5,
614.00,1.31105266E+5,
616.00,1.30301367E+5,
618.00,1.30069086E+5,
620.00,1.28019203E+5,
622.00,1.26712461E+5,
624.00,1.25906422E+5,
626.00,1.24393359E+5,
628.00,1.21284031E+5,
630.00,1.23056633E+5,
632.00,1.19965359E+5,
634.00,1.20153117E+5,
636.00,1.16488414E+5,
638.00,1.17577719E+5,
640.00,1.16288727E+5,
642.00,1.14509586E+5,
644.00,1.12791828E+5,
646.00,1.14058391E+5,
648.00,1.09841625E+5,
650.00,1.09807367E+5,
652.00,1.06610469E+5,
654.00,1.06682023E+5,
656.00,1.03890594E+5,
658.00,1.04028758E+5,
660.00,1.02845211E+5,
662.00,1.02231094E+5,
664.00,9.93861094E+4,
666.00,9.54479609E+4,
668.00,9.74058828E+4,
670.00,9.48094297E+4,
672.00,9.29661563E+4,
674.00,9.15630391E+4,
676.00,8.96436094E+4,
678.00,8.76373828E+4,
680.00,8.63167031E+4,
682.00,8.50993516E+4,
684.00,8.32309688E+4,
686.00,8.25851875E+4,
688.00,8.03715078E+4,
690.00,7.89261953E+4,
692.00,7.76827344E+4,
694.00,7.58223438E+4,
696.00,7.42543125E+4,
698.00,7.40273281E+4,
700.00,7.22838047E+4,
702.00,6.99929375E+4,
704.00,7.00563438E+4,
706.00,6.82158047E+4,
708.00,6.77212266E+4,
710.00,6.73519609E+4,
712.00,6.32361289E+4,
714.00,6.26087617E+4,
716.00,6.14092500E+4,
718.00,5.95828008E+4,
720.00,5.98588789E+4,
722.00,5.85555625E+4,
724.00,5.82751641E+4,
726.00,5.57943672E+4,
728.00,5.66103359E+4,
730.00,5.42989453E+4,
732.00,5.31882930E+4,
734.00,5.25552344E+4,
736.00,5.12165273E+4,
738.00,4.93861133E+4,
740.00,4.80226094E+4,
742.00,4.71904961E+4,
744.00,4.74812109E+4,
746.00,4.67787148E+4,
748.00,4.33849766E+4,
750.00,4.38361328E+4,
752.00,4.22272266E+4,
754.00,4.05404414E+4,
756.00,4.07297656E+4,
758.00,3.94563047E+4,
760.00,3.75033047E+4,
762.00,3.91623477E+4,
764.00,3.64645938E+4,
766.00,3.57979688E+4,
768.00,3.37557656E+4,
770.00,3.47057578E+4,
772.00,3.42269922E+4,
774.00,3.29303086E+4,
776.00,3.37023281E+4,
778.00,3.05422441E+4,
780.00,2.80304258E+4,
782.00,3.09726621E+4,
784.00,2.69869355E+4,
786.00,2.64869590E+4,
788.00,2.48743516E+4,
790.00,2.69326660E+4,
792.00,2.74125664E+4,
794.00,2.44346895E+4,
796.00,2.48376133E+4,
798.00,2.31105117E+4,
800.00,2.25340996E+4,
802.00,2.23002871E+4,
804.00,2.09927500E+4,
806.00,2.13823984E+4,
808.00,2.18775273E+4,
810.00,2.15558789E+4,
812.00,2.00284473E+4,
814.00,1.91755391E+4,
816.00,1.80088965E+4,
818.00,1.87940703E+4,
820.00,1.99596074E+4,
822.00,1.81260742E+4,
824.00,1.63102412E+4,
826.00,1.60289072E+4,
828.00,1.70549590E+4,
830.00,1.66056230E+4,
832.00,1.46847705E+4,
834.00,1.48119063E+4,
836.00,1.67934043E+4,
838.00,1.46994287E+4,
840.00,1.33889092E+4,
842.00,1.40414795E+4,
844.00,1.28820459E+4,
846.00,1.31003506E+4,
848.00,1.23091836E+4,
850.00,1.17009834E+4,
