1909_ZFFL55_AAN155_1E-5_ACN_exc375_ALL

Labels,1908_ZFFL55_AAN155_1E-5_ACN_exc375_O2,1909_ZFFL55_AAN155_1E-5_ACN_exc375_1minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_2minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_3minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_4minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

400.00,6.31285583E+2,7.15149841E+2,8.14421875E+2,7.78524353E+2,8.41847412E+2,8.65925720E+2,
402.00,5.64348206E+2,8.01884155E+2,9.51955200E+2,9.19760254E+2,8.97689819E+2,9.61238159E+2,
404.00,7.72388916E+2,9.08682495E+2,9.95897278E+2,1.10160071E+3,1.11683789E+3,1.08359827E+3,
406.00,1.02269403E+3,1.18781982E+3,1.30962048E+3,1.40224377E+3,1.29322021E+3,1.36725244E+3,
408.00,2.03900537E+3,2.43533301E+3,2.56702783E+3,2.56461133E+3,2.61872266E+3,2.69407568E+3,
410.00,3.66330859E+3,3.80260767E+3,4.01418555E+3,4.19531152E+3,3.98869727E+3,4.06243750E+3,
412.00,2.42055469E+3,3.17443066E+3,3.12005200E+3,3.07216113E+3,3.09813672E+3,3.13778442E+3,
414.00,2.53410864E+3,3.04699341E+3,3.13225854E+3,3.20400220E+3,3.20586621E+3,3.20058179E+3,
416.00,3.20744165E+3,3.88016113E+3,4.13820801E+3,3.89055908E+3,3.90597119E+3,3.88317285E+3,
418.00,4.22893652E+3,4.99468164E+3,5.15508447E+3,5.25196729E+3,5.29788770E+3,5.30800000E+3,
420.00,7.05932275E+3,8.19430176E+3,8.62669824E+3,8.59093164E+3,8.57926465E+3,8.57976953E+3,
422.00,1.09553760E+4,1.23012090E+4,1.24076660E+4,1.22763516E+4,1.22723750E+4,1.21831748E+4,
424.00,9.81383301E+3,1.12195518E+4,1.17337285E+4,1.16758721E+4,1.14992471E+4,1.15422285E+4,
426.00,9.71011621E+3,1.15807578E+4,1.19650059E+4,1.17012080E+4,1.15864307E+4,1.14823311E+4,
428.00,1.11642949E+4,1.34121143E+4,1.39814590E+4,1.37073838E+4,1.35718359E+4,1.33715664E+4,
430.00,1.35611836E+4,1.59647354E+4,1.61289443E+4,1.60133027E+4,1.59943711E+4,1.60062695E+4,
432.00,1.55766328E+4,1.93289629E+4,1.99588652E+4,1.92957832E+4,1.91563223E+4,1.91066387E+4,
434.00,1.87454023E+4,2.24252539E+4,2.30717559E+4,2.27815801E+4,2.25907891E+4,2.27333496E+4,
