Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_2nights,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.42523010E+2,
402.00,7.60671509E+2,
404.00,9.25315857E+2,
406.00,1.08219690E+3,
408.00,2.11818921E+3,
410.00,3.38094116E+3,
412.00,2.54768604E+3,
414.00,2.46169897E+3,
416.00,3.02952661E+3,
418.00,3.95438037E+3,
420.00,6.64963135E+3,
422.00,1.01204814E+4,
424.00,9.38366016E+3,
426.00,8.76156934E+3,
428.00,1.02153457E+4,
430.00,1.20718662E+4,
432.00,1.41297461E+4,
434.00,1.72123770E+4,
436.00,2.01217227E+4,
438.00,2.35418301E+4,
440.00,2.76927188E+4,
442.00,3.20907578E+4,
444.00,3.63513984E+4,
446.00,4.22860156E+4,
448.00,4.74353984E+4,
450.00,5.23988516E+4,
452.00,5.83329688E+4,
454.00,6.55583281E+4,
456.00,7.17243359E+4,
458.00,7.84255781E+4,
460.00,8.59049609E+4,
462.00,9.34516484E+4,
464.00,1.01566922E+5,
466.00,1.08764094E+5,
468.00,1.16940219E+5,
470.00,1.25740883E+5,
472.00,1.32899891E+5,
474.00,1.40881719E+5,
476.00,1.47650563E+5,
478.00,1.55326984E+5,
480.00,1.61806109E+5,
482.00,1.66392469E+5,
484.00,1.72325375E+5,
486.00,1.77743422E+5,
488.00,1.83829359E+5,
490.00,1.87496656E+5,
492.00,1.90346875E+5,
494.00,1.93155125E+5,
496.00,1.97214578E+5,
498.00,1.99027000E+5,
500.00,2.00842953E+5,
502.00,2.01809016E+5,
504.00,2.01825516E+5,
506.00,2.00656578E+5,
508.00,1.99490922E+5,
510.00,1.98552438E+5,
512.00,1.96431938E+5,
514.00,1.94343438E+5,
516.00,1.92510453E+5,
518.00,1.90345594E+5,
520.00,1.88191609E+5,
522.00,1.84008234E+5,
524.00,1.78800406E+5,
526.00,1.77250469E+5,
528.00,1.72824250E+5,
530.00,1.68996047E+5,
532.00,1.65330625E+5,
534.00,1.61649781E+5,
536.00,1.56797625E+5,
538.00,1.53346516E+5,
540.00,1.48580906E+5,
542.00,1.45638453E+5,
544.00,1.40375906E+5,
546.00,1.35996984E+5,
548.00,1.32444938E+5,
550.00,1.27838688E+5,
552.00,1.24313688E+5,
554.00,1.19756859E+5,
556.00,1.15647914E+5,
558.00,1.12273648E+5,
560.00,1.09613070E+5,
562.00,1.06305406E+5,
564.00,1.02069813E+5,
566.00,9.97316250E+4,
568.00,9.59011641E+4,
570.00,9.21375156E+4,
572.00,9.00524063E+4,
574.00,8.62852109E+4,
576.00,8.42186250E+4,
578.00,8.05546172E+4,
580.00,7.80886953E+4,
582.00,7.61738359E+4,
584.00,7.32354844E+4,
586.00,7.19994297E+4,
588.00,6.96425859E+4,
590.00,6.68636250E+4,
592.00,6.54777266E+4,
594.00,6.23518867E+4,
596.00,6.16262266E+4,
598.00,6.00005742E+4,
600.00,5.82000000E+4,
602.00,5.61213047E+4,
604.00,5.42215977E+4,
606.00,5.21405859E+4,
608.00,5.17268477E+4,
610.00,4.95875508E+4,
612.00,4.88869297E+4,
614.00,4.77831094E+4,
616.00,4.62996719E+4,
618.00,4.49607930E+4,
620.00,4.36429570E+4,
622.00,4.19608164E+4,
624.00,4.16359102E+4,
626.00,4.00815000E+4,
628.00,3.93473320E+4,
630.00,3.76277969E+4,
632.00,3.77618750E+4,
634.00,3.69565430E+4,
636.00,3.52121016E+4,
638.00,3.37167852E+4,
640.00,3.40154375E+4,
642.00,3.31018242E+4,
644.00,3.24416289E+4,
646.00,3.22938398E+4,
648.00,2.98600977E+4,
650.00,2.95041973E+4,
652.00,2.87385156E+4,
654.00,2.86082305E+4,
656.00,2.67084316E+4,
658.00,2.69435098E+4,
660.00,2.57144961E+4,
662.00,2.53539824E+4,
664.00,2.47676211E+4,
666.00,2.50372461E+4,
668.00,2.33101191E+4,
670.00,2.27572402E+4,
672.00,2.18344844E+4,
674.00,2.14137090E+4,
676.00,2.18569453E+4,
678.00,2.07416738E+4,
680.00,2.03091543E+4,
682.00,1.96542715E+4,
684.00,1.90563672E+4,
686.00,1.82140215E+4,
688.00,1.76796895E+4,
690.00,1.78362637E+4,
692.00,1.69761621E+4,
694.00,1.64879160E+4,
696.00,1.51016787E+4,
698.00,1.58722598E+4,
700.00,1.52838555E+4,
702.00,1.46734014E+4,
704.00,1.38139932E+4,
706.00,1.31120137E+4,
708.00,1.38454180E+4,
710.00,1.30344336E+4,
712.00,1.20637959E+4,
714.00,1.24953174E+4,
716.00,1.18129014E+4,
718.00,1.26315645E+4,
720.00,1.19038545E+4,
722.00,1.15356738E+4,
724.00,1.06500723E+4,
726.00,1.12388428E+4,
728.00,1.04808232E+4,
730.00,1.05174824E+4,
732.00,9.52666699E+3,
734.00,9.44131543E+3,
736.00,9.48148340E+3,
738.00,8.93283398E+3,
740.00,8.82210938E+3,
742.00,9.14301563E+3,
744.00,8.21400879E+3,
746.00,8.79958789E+3,
748.00,7.39641504E+3,
750.00,7.40285938E+3,
752.00,7.39197754E+3,
754.00,7.52135889E+3,
756.00,7.28683789E+3,
758.00,7.09276367E+3,
760.00,7.37629053E+3,
762.00,6.30035059E+3,
764.00,6.63173877E+3,
766.00,5.82054443E+3,
768.00,5.74111084E+3,
770.00,5.75006299E+3,
772.00,5.70332422E+3,
774.00,4.87002588E+3,
776.00,5.51410840E+3,
778.00,4.58454980E+3,
780.00,4.60989844E+3,
782.00,4.76454150E+3,
784.00,5.30946680E+3,
786.00,3.77405835E+3,
788.00,4.14683984E+3,
790.00,3.86005078E+3,
792.00,3.25641626E+3,
794.00,4.07822485E+3,
796.00,3.43576758E+3,
798.00,3.75100195E+3,
800.00,2.66604980E+3,
802.00,3.61860156E+3,
804.00,2.72676489E+3,
806.00,3.20421313E+3,
808.00,2.90259619E+3,
810.00,3.19582520E+3,
812.00,3.11418408E+3,
814.00,3.50973340E+3,
816.00,3.50242603E+3,
818.00,1.94623499E+3,
820.00,2.65429492E+3,
822.00,3.33810034E+3,
824.00,2.43488623E+3,
826.00,1.71300317E+3,
828.00,1.87952844E+3,
830.00,2.27359961E+3,
832.00,2.02147119E+3,
834.00,2.52331323E+3,
836.00,1.54594128E+3,
838.00,1.30167297E+3,
840.00,2.21491870E+3,
842.00,1.70514880E+3,
844.00,1.82981616E+3,
846.00,2.15984717E+3,
848.00,1.01532178E+3,
850.00,1.72536926E+3,
