Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_1min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,5.74259644E+2,
402.00,5.09262451E+2,
404.00,5.31492310E+2,
406.00,6.53514160E+2,
408.00,1.85538379E+3,
410.00,3.13987549E+3,
412.00,1.71555640E+3,
414.00,9.20800903E+2,
416.00,1.03578564E+3,
418.00,1.52823657E+3,
420.00,4.10072168E+3,
422.00,7.44166748E+3,
424.00,4.63560938E+3,
426.00,2.45291016E+3,
428.00,1.99901636E+3,
430.00,1.95332471E+3,
432.00,2.12724072E+3,
434.00,2.29933862E+3,
436.00,2.43303662E+3,
438.00,2.69487988E+3,
440.00,2.69802100E+3,
442.00,3.01448779E+3,
444.00,3.21660913E+3,
446.00,3.36196802E+3,
448.00,3.40082813E+3,
450.00,3.55848950E+3,
452.00,3.88570776E+3,
454.00,3.88249854E+3,
456.00,4.03825952E+3,
458.00,4.17981836E+3,
460.00,4.32547949E+3,
462.00,4.55428760E+3,
464.00,4.70152539E+3,
466.00,4.86547412E+3,
468.00,4.90518262E+3,
470.00,5.09510986E+3,
472.00,4.98704346E+3,
474.00,5.40699805E+3,
476.00,5.60406836E+3,
478.00,5.56546289E+3,
480.00,5.52139502E+3,
482.00,5.75743018E+3,
484.00,5.77981982E+3,
486.00,5.96908887E+3,
488.00,6.00854590E+3,
490.00,5.91011133E+3,
492.00,6.25749561E+3,
494.00,6.30677881E+3,
496.00,6.56424463E+3,
498.00,6.86853613E+3,
500.00,7.12443750E+3,
502.00,7.32654785E+3,
504.00,8.17108936E+3,
506.00,8.71600000E+3,
508.00,9.10143750E+3,
510.00,1.02866592E+4,
512.00,1.11911660E+4,
514.00,1.24967783E+4,
516.00,1.41903662E+4,
518.00,1.63510957E+4,
520.00,1.82093477E+4,
522.00,2.06160645E+4,
524.00,2.33453496E+4,
526.00,2.69188965E+4,
528.00,3.06645352E+4,
530.00,3.42800039E+4,
532.00,3.87450742E+4,
534.00,4.32271719E+4,
536.00,4.90453320E+4,
538.00,5.49539727E+4,
540.00,6.20679844E+4,
542.00,6.83604063E+4,
544.00,7.49137422E+4,
546.00,8.28246953E+4,
548.00,9.11969688E+4,
550.00,9.87797188E+4,
552.00,1.07163180E+5,
554.00,1.17014828E+5,
556.00,1.27515688E+5,
558.00,1.35901406E+5,
560.00,1.45354484E+5,
562.00,1.55383969E+5,
564.00,1.66517891E+5,
566.00,1.75642563E+5,
568.00,1.85702500E+5,
570.00,1.96607859E+5,
572.00,2.05635594E+5,
574.00,2.18406313E+5,
576.00,2.26007672E+5,
578.00,2.35560281E+5,
580.00,2.47688172E+5,
582.00,2.54575844E+5,
584.00,2.64014031E+5,
586.00,2.72841469E+5,
588.00,2.80724469E+5,
590.00,2.86305875E+5,
592.00,2.94246219E+5,
594.00,3.00961594E+5,
596.00,3.07082750E+5,
598.00,3.14056719E+5,
600.00,3.20521656E+5,
602.00,3.24107000E+5,
604.00,3.26280813E+5,
606.00,3.32594531E+5,
608.00,3.33792188E+5,
610.00,3.38077969E+5,
612.00,3.35878688E+5,
614.00,3.39939875E+5,
616.00,3.42400594E+5,
618.00,3.43144938E+5,
620.00,3.43978250E+5,
622.00,3.42194625E+5,
624.00,3.43600094E+5,
626.00,3.43268531E+5,
628.00,3.43586531E+5,
630.00,3.41297656E+5,
632.00,3.38798844E+5,
634.00,3.37111969E+5,
636.00,3.34371125E+5,
638.00,3.33268406E+5,
640.00,3.33795531E+5,
642.00,3.26465281E+5,
644.00,3.24078938E+5,
646.00,3.22519313E+5,
648.00,3.15257906E+5,
650.00,3.12705938E+5,
652.00,3.10912375E+5,
654.00,3.05885906E+5,
656.00,3.02187813E+5,
658.00,2.95449781E+5,
660.00,2.93152375E+5,
662.00,2.88368000E+5,
664.00,2.83581531E+5,
666.00,2.78521063E+5,
668.00,2.76022594E+5,
670.00,2.70580844E+5,
672.00,2.64029375E+5,
674.00,2.59075078E+5,
676.00,2.56141703E+5,
678.00,2.46900922E+5,
680.00,2.43078625E+5,
682.00,2.34681125E+5,
684.00,2.32307672E+5,
686.00,2.27867688E+5,
688.00,2.21773422E+5,
690.00,2.15262172E+5,
692.00,2.11532422E+5,
694.00,2.07645906E+5,
696.00,2.04147078E+5,
698.00,1.99167781E+5,
700.00,1.95641141E+5,
702.00,1.88809703E+5,
704.00,1.87700031E+5,
706.00,1.81741750E+5,
708.00,1.76842375E+5,
710.00,1.74267266E+5,
712.00,1.68509453E+5,
714.00,1.64997375E+5,
716.00,1.63872703E+5,
718.00,1.54767516E+5,
720.00,1.51561406E+5,
722.00,1.49719469E+5,
724.00,1.45979188E+5,
726.00,1.41022734E+5,
728.00,1.38479656E+5,
730.00,1.33543156E+5,
732.00,1.32582469E+5,
734.00,1.30149570E+5,
736.00,1.25394094E+5,
738.00,1.23588508E+5,
740.00,1.21952438E+5,
742.00,1.15451672E+5,
744.00,1.11647234E+5,
746.00,1.09812438E+5,
748.00,1.06172313E+5,
750.00,1.03106422E+5,
752.00,1.01062164E+5,
754.00,9.62914766E+4,
756.00,9.47483125E+4,
758.00,9.14755000E+4,
760.00,9.29515703E+4,
762.00,8.99373984E+4,
764.00,8.61356328E+4,
766.00,8.05321563E+4,
768.00,8.13521953E+4,
770.00,7.78760156E+4,
772.00,7.59133828E+4,
774.00,7.26189063E+4,
776.00,7.16887344E+4,
778.00,7.20027109E+4,
780.00,6.81134219E+4,
782.00,6.49189844E+4,
784.00,6.18686406E+4,
786.00,6.11492031E+4,
788.00,6.12942695E+4,
790.00,5.76521250E+4,
792.00,5.42199414E+4,
794.00,5.45766523E+4,
796.00,5.22764375E+4,
798.00,4.98611680E+4,
800.00,5.24272383E+4,
802.00,4.72004688E+4,
804.00,4.78644727E+4,
806.00,4.52125000E+4,
808.00,4.40879063E+4,
810.00,4.31228398E+4,
812.00,4.21120547E+4,
814.00,4.09244727E+4,
816.00,3.95965117E+4,
818.00,3.96015664E+4,
820.00,3.71012266E+4,
822.00,3.68044297E+4,
824.00,3.37390039E+4,
826.00,3.47665586E+4,
828.00,3.11738672E+4,
830.00,2.93384805E+4,
832.00,3.11662441E+4,
834.00,2.94258828E+4,
836.00,2.95289609E+4,
838.00,2.73109688E+4,
840.00,2.95105391E+4,
842.00,2.77517813E+4,
844.00,2.48600430E+4,
846.00,2.57342793E+4,
848.00,2.34446191E+4,
850.00,2.40054375E+4,
