Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_2min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.62786621E+2,
402.00,6.59381714E+2,
404.00,7.36523010E+2,
406.00,8.37069214E+2,
408.00,1.95777039E+3,
410.00,3.32032959E+3,
412.00,1.77654932E+3,
414.00,1.18185059E+3,
416.00,1.31513269E+3,
418.00,1.73766357E+3,
420.00,4.34492480E+3,
422.00,7.55081787E+3,
424.00,4.87678223E+3,
426.00,2.66719141E+3,
428.00,2.27595972E+3,
430.00,2.18384692E+3,
432.00,2.38746875E+3,
434.00,2.59998657E+3,
436.00,2.70752661E+3,
438.00,2.89356689E+3,
440.00,3.04561499E+3,
442.00,3.25176440E+3,
444.00,3.54923438E+3,
446.00,3.54649463E+3,
448.00,3.75898804E+3,
450.00,4.06547949E+3,
452.00,4.14919092E+3,
454.00,4.21404248E+3,
456.00,4.57733203E+3,
458.00,4.72887988E+3,
460.00,4.80751904E+3,
462.00,4.89377148E+3,
464.00,5.04129541E+3,
466.00,5.12296582E+3,
468.00,5.29056055E+3,
470.00,5.48744531E+3,
472.00,5.45908643E+3,
474.00,5.51864893E+3,
476.00,5.74530273E+3,
478.00,5.76303027E+3,
480.00,5.94785693E+3,
482.00,6.05096582E+3,
484.00,6.11974854E+3,
486.00,6.29340088E+3,
488.00,6.18019775E+3,
490.00,6.63549854E+3,
492.00,6.57916748E+3,
494.00,6.80741455E+3,
496.00,6.92960889E+3,
498.00,7.33427686E+3,
500.00,7.38190674E+3,
502.00,7.83745068E+3,
504.00,8.19013574E+3,
506.00,8.89263086E+3,
508.00,9.51465234E+3,
510.00,1.06863477E+4,
512.00,1.18954326E+4,
514.00,1.29418037E+4,
516.00,1.47798604E+4,
518.00,1.68715918E+4,
520.00,1.87570801E+4,
522.00,2.17748184E+4,
524.00,2.49899902E+4,
526.00,2.83634609E+4,
528.00,3.22039355E+4,
530.00,3.63165586E+4,
532.00,4.10652305E+4,
534.00,4.66574609E+4,
536.00,5.22162148E+4,
538.00,5.83928398E+4,
540.00,6.51326523E+4,
542.00,7.23585547E+4,
544.00,7.91260000E+4,
546.00,8.71862734E+4,
548.00,9.62036172E+4,
550.00,1.04756367E+5,
552.00,1.14070242E+5,
554.00,1.22252031E+5,
556.00,1.33009969E+5,
558.00,1.43409750E+5,
560.00,1.53820438E+5,
562.00,1.65106500E+5,
564.00,1.74547359E+5,
566.00,1.86741688E+5,
568.00,1.97514797E+5,
570.00,2.08630734E+5,
572.00,2.18868734E+5,
574.00,2.28478297E+5,
576.00,2.39303188E+5,
578.00,2.51585906E+5,
580.00,2.59105016E+5,
582.00,2.68899438E+5,
584.00,2.79030938E+5,
586.00,2.88768031E+5,
588.00,2.96372156E+5,
590.00,3.03147875E+5,
592.00,3.12647344E+5,
594.00,3.18260656E+5,
596.00,3.28319094E+5,
598.00,3.32096969E+5,
600.00,3.37297125E+5,
602.00,3.41013156E+5,
604.00,3.45823625E+5,
606.00,3.51994500E+5,
608.00,3.56146375E+5,
610.00,3.56186969E+5,
612.00,3.59410469E+5,
614.00,3.63876281E+5,
616.00,3.62932219E+5,
618.00,3.63260031E+5,
620.00,3.65497563E+5,
622.00,3.64407375E+5,
624.00,3.64213781E+5,
626.00,3.62896344E+5,
628.00,3.62044281E+5,
630.00,3.59220469E+5,
632.00,3.60536000E+5,
634.00,3.57959844E+5,
636.00,3.55093719E+5,
638.00,3.55392031E+5,
640.00,3.50947813E+5,
642.00,3.50525813E+5,
644.00,3.41253344E+5,
646.00,3.42033813E+5,
648.00,3.39935156E+5,
650.00,3.31681531E+5,
652.00,3.28523688E+5,
654.00,3.22677531E+5,
656.00,3.21085688E+5,
658.00,3.14927219E+5,
660.00,3.12392250E+5,
662.00,3.06450688E+5,
664.00,2.99546844E+5,
666.00,2.99071250E+5,
668.00,2.89498594E+5,
670.00,2.88353281E+5,
672.00,2.82703750E+5,
674.00,2.73218281E+5,
676.00,2.68371188E+5,
678.00,2.63818875E+5,
680.00,2.60035484E+5,
682.00,2.51368281E+5,
684.00,2.46838703E+5,
686.00,2.44372453E+5,
688.00,2.39534828E+5,
690.00,2.33906438E+5,
692.00,2.25621516E+5,
694.00,2.20851203E+5,
696.00,2.17813281E+5,
698.00,2.17418609E+5,
700.00,2.07689625E+5,
702.00,2.03941031E+5,
704.00,1.99144719E+5,
706.00,1.91549844E+5,
708.00,1.89826453E+5,
710.00,1.84321266E+5,
712.00,1.83914047E+5,
714.00,1.77450250E+5,
716.00,1.71819297E+5,
718.00,1.68950844E+5,
720.00,1.64429406E+5,
722.00,1.59973938E+5,
724.00,1.53874188E+5,
726.00,1.50902094E+5,
728.00,1.49603406E+5,
730.00,1.42994984E+5,
732.00,1.38699453E+5,
734.00,1.39185000E+5,
736.00,1.33263891E+5,
738.00,1.31187000E+5,
740.00,1.27036383E+5,
742.00,1.22731328E+5,
744.00,1.20429109E+5,
746.00,1.15174664E+5,
748.00,1.12393992E+5,
750.00,1.12175188E+5,
752.00,1.08042180E+5,
754.00,1.05978555E+5,
756.00,1.03740086E+5,
758.00,1.00513305E+5,
760.00,9.58869219E+4,
762.00,9.43406406E+4,
764.00,8.96316641E+4,
766.00,8.85974141E+4,
768.00,8.94719766E+4,
770.00,8.48480469E+4,
772.00,8.29142031E+4,
774.00,8.01257344E+4,
776.00,7.75439297E+4,
778.00,7.55731797E+4,
780.00,7.33269531E+4,
782.00,7.28711484E+4,
784.00,6.62099922E+4,
786.00,6.61539063E+4,
788.00,6.43609180E+4,
790.00,6.25313711E+4,
792.00,5.97040938E+4,
794.00,5.84989570E+4,
796.00,5.68038984E+4,
798.00,5.46902148E+4,
800.00,5.33144492E+4,
802.00,5.37148555E+4,
804.00,5.12613164E+4,
806.00,5.03046016E+4,
808.00,4.65955156E+4,
810.00,4.49949258E+4,
812.00,4.49639414E+4,
814.00,4.44816953E+4,
816.00,4.19254570E+4,
818.00,4.17229219E+4,
820.00,3.93780391E+4,
822.00,3.77990156E+4,
824.00,3.87649141E+4,
826.00,3.51140977E+4,
828.00,3.61266523E+4,
830.00,3.37092891E+4,
832.00,3.13041699E+4,
834.00,3.03921719E+4,
836.00,2.90512441E+4,
838.00,3.15573398E+4,
840.00,2.92037461E+4,
842.00,2.99629023E+4,
844.00,2.84251367E+4,
846.00,2.90131133E+4,
848.00,2.88681934E+4,
850.00,2.51968066E+4,
