2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_ALL

Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_O2,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_1min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_2min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_3min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_4min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_5min,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

400.00,5.06655365E+2,5.74259644E+2,6.62786621E+2,6.59787598E+2,7.91928162E+2,6.94512085E+2,
402.00,5.08391266E+2,5.09262451E+2,6.59381714E+2,6.27403198E+2,6.99877502E+2,6.79019531E+2,
404.00,5.06911163E+2,5.31492310E+2,7.36523010E+2,6.52967529E+2,7.90197876E+2,7.64220703E+2,
406.00,5.68098022E+2,6.53514160E+2,8.37069214E+2,8.19237244E+2,8.57982117E+2,8.66385925E+2,
408.00,1.68564624E+3,1.85538379E+3,1.95777039E+3,1.95988550E+3,2.03230542E+3,2.16970142E+3,
410.00,3.15836108E+3,3.13987549E+3,3.32032959E+3,3.41202466E+3,3.59097754E+3,3.51180054E+3,
412.00,1.63176538E+3,1.71555640E+3,1.77654932E+3,1.89752795E+3,1.99097803E+3,1.92218481E+3,
414.00,9.46875183E+2,9.20800903E+2,1.18185059E+3,1.21103870E+3,1.37354004E+3,1.25639856E+3,
416.00,9.86796387E+2,1.03578564E+3,1.31513269E+3,1.30738904E+3,1.48426343E+3,1.36719604E+3,
418.00,1.52482764E+3,1.52823657E+3,1.73766357E+3,1.71714270E+3,1.85969617E+3,1.96760071E+3,
420.00,4.03128711E+3,4.10072168E+3,4.34492480E+3,4.59128711E+3,4.40216650E+3,4.46791699E+3,
422.00,7.27415283E+3,7.44166748E+3,7.55081787E+3,7.89743652E+3,7.82136572E+3,7.81572754E+3,
424.00,4.50892725E+3,4.63560938E+3,4.87678223E+3,4.84022363E+3,4.95632227E+3,4.80655420E+3,
426.00,2.23322778E+3,2.45291016E+3,2.66719141E+3,2.64130884E+3,2.81104248E+3,2.75860278E+3,
428.00,1.77788879E+3,1.99901636E+3,2.27595972E+3,2.17348975E+3,2.43946704E+3,2.41308179E+3,
430.00,1.80407214E+3,1.95332471E+3,2.18384692E+3,2.24982495E+3,2.30927271E+3,2.46091431E+3,
432.00,1.98223108E+3,2.12724072E+3,2.38746875E+3,2.44982495E+3,2.62000220E+3,2.67892139E+3,
434.00,2.15115967E+3,2.29933862E+3,2.59998657E+3,2.57010425E+3,2.83954248E+3,2.85062427E+3,
