Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_last,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,7.59832214E+2,
402.00,7.36356323E+2,
404.00,7.78319031E+2,
406.00,9.44197449E+2,
408.00,2.17052417E+3,
410.00,4.37802197E+3,
412.00,3.30923315E+3,
414.00,1.57283374E+3,
416.00,1.43662744E+3,
418.00,2.00727881E+3,
420.00,4.71236475E+3,
422.00,7.77036426E+3,
424.00,5.15683203E+3,
426.00,2.90058765E+3,
428.00,2.50283374E+3,
430.00,2.52264868E+3,
432.00,2.68869678E+3,
434.00,2.94368164E+3,
436.00,2.99160767E+3,
438.00,3.18694897E+3,
440.00,3.48508911E+3,
442.00,3.80858423E+3,
444.00,3.92915503E+3,
446.00,3.97820435E+3,
448.00,4.25392480E+3,
450.00,4.35079932E+3,
452.00,4.73144336E+3,
454.00,4.78917578E+3,
456.00,4.93614551E+3,
458.00,4.91085156E+3,
460.00,5.27558008E+3,
462.00,5.39263770E+3,
464.00,5.63485498E+3,
466.00,5.93364014E+3,
468.00,5.88227588E+3,
470.00,5.90489258E+3,
472.00,6.08974219E+3,
474.00,6.26238525E+3,
476.00,6.23595703E+3,
478.00,6.61939404E+3,
480.00,6.51651563E+3,
482.00,6.48121289E+3,
484.00,6.84181396E+3,
486.00,6.83930420E+3,
488.00,7.06175049E+3,
490.00,6.94934912E+3,
492.00,7.24725146E+3,
494.00,7.23116699E+3,
496.00,7.61713965E+3,
498.00,7.85018994E+3,
500.00,8.28918750E+3,
502.00,8.29298730E+3,
504.00,9.10677637E+3,
506.00,9.53603125E+3,
508.00,1.07359873E+4,
510.00,1.13601074E+4,
512.00,1.24106074E+4,
514.00,1.37733896E+4,
516.00,1.54890527E+4,
518.00,1.71481563E+4,
520.00,1.97962148E+4,
522.00,2.20844785E+4,
524.00,2.58851289E+4,
526.00,2.89974082E+4,
528.00,3.33299922E+4,
530.00,3.77576797E+4,
532.00,4.23965781E+4,
534.00,4.73787070E+4,
536.00,5.37930039E+4,
538.00,5.93806602E+4,
540.00,6.71659609E+4,
542.00,7.46552813E+4,
544.00,8.18740469E+4,
546.00,8.95585859E+4,
548.00,9.86407422E+4,
550.00,1.07121617E+5,
552.00,1.16977602E+5,
554.00,1.25712758E+5,
556.00,1.36548266E+5,
558.00,1.46714609E+5,
560.00,1.57717375E+5,
562.00,1.69565109E+5,
564.00,1.78662813E+5,
566.00,1.90718656E+5,
568.00,2.01863531E+5,
570.00,2.11975766E+5,
572.00,2.24523359E+5,
574.00,2.33343516E+5,
576.00,2.45019906E+5,
578.00,2.54340250E+5,
580.00,2.66416313E+5,
582.00,2.74549000E+5,
584.00,2.83393781E+5,
586.00,2.93854219E+5,
588.00,3.03768000E+5,
590.00,3.09273375E+5,
592.00,3.19245469E+5,
594.00,3.25223313E+5,
596.00,3.31194594E+5,
598.00,3.39214250E+5,
600.00,3.43700656E+5,
602.00,3.49367156E+5,
604.00,3.52934219E+5,
606.00,3.56859125E+5,
608.00,3.61237219E+5,
610.00,3.62950344E+5,
612.00,3.63168281E+5,
614.00,3.69658969E+5,
616.00,3.71555844E+5,
618.00,3.71983188E+5,
620.00,3.72514375E+5,
622.00,3.71863375E+5,
624.00,3.74886188E+5,
626.00,3.70609281E+5,
628.00,3.73321781E+5,
630.00,3.68305188E+5,
632.00,3.68295438E+5,
634.00,3.71366250E+5,
636.00,3.65956719E+5,
638.00,3.61959938E+5,
640.00,3.60424813E+5,
642.00,3.55549250E+5,
644.00,3.52447063E+5,
646.00,3.49310938E+5,
648.00,3.46688219E+5,
650.00,3.42419375E+5,
652.00,3.34800250E+5,
654.00,3.30068250E+5,
656.00,3.24890313E+5,
658.00,3.22307625E+5,
660.00,3.16405469E+5,
662.00,3.13677750E+5,
664.00,3.09799594E+5,
666.00,3.07376000E+5,
668.00,2.98718406E+5,
670.00,2.91511625E+5,
672.00,2.88831625E+5,
674.00,2.81741531E+5,
676.00,2.76202000E+5,
678.00,2.71652188E+5,
680.00,2.63816063E+5,
682.00,2.58775703E+5,
684.00,2.52930313E+5,
686.00,2.48327609E+5,
688.00,2.39707984E+5,
690.00,2.36977313E+5,
692.00,2.34637563E+5,
694.00,2.26319344E+5,
696.00,2.22840438E+5,
698.00,2.17518375E+5,
700.00,2.13124609E+5,
702.00,2.07337344E+5,
704.00,2.02382109E+5,
706.00,1.96557391E+5,
708.00,1.93728688E+5,
710.00,1.87038609E+5,
712.00,1.84541828E+5,
714.00,1.82675188E+5,
716.00,1.78340156E+5,
718.00,1.75430359E+5,
720.00,1.68182313E+5,
722.00,1.64750938E+5,
724.00,1.59362453E+5,
726.00,1.55922516E+5,
728.00,1.49408969E+5,
730.00,1.48567234E+5,
732.00,1.42409641E+5,
734.00,1.41594391E+5,
736.00,1.39056000E+5,
738.00,1.33598984E+5,
740.00,1.29925875E+5,
742.00,1.25509141E+5,
744.00,1.22203344E+5,
746.00,1.19675102E+5,
748.00,1.18462398E+5,
750.00,1.14385891E+5,
752.00,1.09641594E+5,
754.00,1.07659773E+5,
756.00,1.04934797E+5,
758.00,1.02329359E+5,
760.00,9.94941563E+4,
762.00,9.93732031E+4,
764.00,9.49623672E+4,
766.00,9.29896172E+4,
768.00,8.89700469E+4,
770.00,8.49810391E+4,
772.00,8.59612500E+4,
774.00,8.00538750E+4,
776.00,7.83935781E+4,
778.00,7.48769688E+4,
780.00,7.12017578E+4,
782.00,7.08045156E+4,
784.00,6.74487266E+4,
786.00,7.07452422E+4,
788.00,6.59651172E+4,
790.00,6.59613125E+4,
792.00,5.92713242E+4,
794.00,6.12868047E+4,
796.00,5.72738516E+4,
798.00,5.56044336E+4,
800.00,5.50444688E+4,
802.00,5.32070977E+4,
804.00,5.05840234E+4,
806.00,5.08412617E+4,
808.00,5.26180273E+4,
810.00,4.76317891E+4,
812.00,4.69745391E+4,
814.00,4.50076328E+4,
816.00,4.48049453E+4,
818.00,4.15859844E+4,
820.00,4.09908320E+4,
822.00,4.28242500E+4,
824.00,3.76353711E+4,
826.00,3.75050039E+4,
828.00,3.23767012E+4,
830.00,3.29006719E+4,
832.00,3.36356172E+4,
834.00,3.35057852E+4,
836.00,3.11643262E+4,
838.00,3.04507266E+4,
840.00,2.79488652E+4,
842.00,2.75893887E+4,
844.00,2.89542871E+4,
846.00,2.92491250E+4,
848.00,2.64524336E+4,
850.00,2.49286465E+4,
