Labels,2609_ZFFL55_AAN155_1E-6_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,2.06502426E+2,
402.00,1.70722244E+2,
404.00,2.00584320E+2,
406.00,2.26087784E+2,
408.00,1.81516833E+3,
410.00,3.06016211E+3,
412.00,1.19074683E+3,
414.00,5.01137054E+2,
416.00,6.24554016E+2,
418.00,1.34588147E+3,
420.00,4.57291895E+3,
422.00,7.76868848E+3,
424.00,4.50884521E+3,
426.00,2.16108813E+3,
428.00,1.92178772E+3,
430.00,2.23176978E+3,
432.00,2.58837915E+3,
434.00,3.07045996E+3,
436.00,3.53232593E+3,
438.00,4.13296338E+3,
440.00,4.70545850E+3,
442.00,5.45870361E+3,
444.00,6.17034131E+3,
446.00,6.88459570E+3,
448.00,7.78643555E+3,
450.00,8.35687207E+3,
452.00,9.33654980E+3,
454.00,1.01641533E+4,
456.00,1.16066475E+4,
458.00,1.25986768E+4,
460.00,1.34700820E+4,
462.00,1.46743779E+4,
464.00,1.49900693E+4,
466.00,1.62130674E+4,
468.00,1.78147617E+4,
470.00,1.86546074E+4,
472.00,1.99086387E+4,
474.00,2.07325000E+4,
476.00,2.14298438E+4,
478.00,2.22246797E+4,
480.00,2.35663066E+4,
482.00,2.43518477E+4,
484.00,2.49681133E+4,
486.00,2.51934902E+4,
488.00,2.59137910E+4,
490.00,2.59724590E+4,
492.00,2.68885723E+4,
494.00,2.71276680E+4,
496.00,2.74557109E+4,
498.00,2.75706816E+4,
500.00,2.78103164E+4,
502.00,2.75922988E+4,
504.00,2.73319102E+4,
506.00,2.75282559E+4,
508.00,2.73180684E+4,
510.00,2.69398242E+4,
512.00,2.70714707E+4,
514.00,2.63847012E+4,
516.00,2.57407363E+4,
518.00,2.56320625E+4,
520.00,2.51132070E+4,
522.00,2.47018594E+4,
524.00,2.46600254E+4,
526.00,2.36273105E+4,
528.00,2.30776934E+4,
530.00,2.28492148E+4,
532.00,2.21735039E+4,
534.00,2.12799648E+4,
536.00,2.12774922E+4,
538.00,2.03181465E+4,
540.00,1.99726035E+4,
542.00,1.90504492E+4,
544.00,1.85390430E+4,
546.00,1.82099473E+4,
548.00,1.76613027E+4,
550.00,1.70385273E+4,
552.00,1.62249053E+4,
554.00,1.55904795E+4,
556.00,1.55112979E+4,
558.00,1.50131865E+4,
560.00,1.44717959E+4,
562.00,1.37501602E+4,
564.00,1.33096035E+4,
566.00,1.27104980E+4,
568.00,1.22185557E+4,
570.00,1.21284160E+4,
572.00,1.15992168E+4,
574.00,1.15036006E+4,
576.00,1.04090908E+4,
578.00,1.01239883E+4,
580.00,9.78566797E+3,
582.00,9.71511523E+3,
584.00,9.66408398E+3,
586.00,9.01403320E+3,
588.00,8.71272168E+3,
590.00,8.13927246E+3,
592.00,8.25704883E+3,
594.00,7.89252002E+3,
596.00,7.45855664E+3,
598.00,7.39278027E+3,
600.00,7.12646484E+3,
602.00,6.84655420E+3,
604.00,6.63599658E+3,
606.00,6.40484961E+3,
608.00,6.25874463E+3,
610.00,5.95562451E+3,
612.00,5.98040771E+3,
614.00,5.65195361E+3,
616.00,5.21278467E+3,
618.00,5.42970947E+3,
620.00,5.08973145E+3,
622.00,4.85045264E+3,
624.00,4.67911572E+3,
626.00,4.39012891E+3,
628.00,4.70475781E+3,
630.00,4.42442090E+3,
632.00,4.41162061E+3,
634.00,3.83940649E+3,
636.00,4.00206104E+3,
638.00,3.85261865E+3,
640.00,3.63730762E+3,
642.00,3.50499097E+3,
644.00,3.37365942E+3,
646.00,3.63000488E+3,
648.00,3.32529907E+3,
650.00,3.11021362E+3,
652.00,3.19207886E+3,
654.00,3.05543896E+3,
656.00,2.88881787E+3,
658.00,2.99017383E+3,
660.00,3.19158154E+3,
662.00,2.71158887E+3,
664.00,2.57206421E+3,
666.00,2.79008301E+3,
668.00,2.33171973E+3,
670.00,2.42684277E+3,
672.00,2.54050098E+3,
674.00,2.28590771E+3,
676.00,2.11922656E+3,
678.00,2.35136475E+3,
680.00,2.10277710E+3,
682.00,2.18154321E+3,
684.00,1.98364941E+3,
686.00,2.10222876E+3,
688.00,2.06293311E+3,
690.00,1.87297913E+3,
692.00,1.63466321E+3,
694.00,1.85977698E+3,
696.00,1.82969360E+3,
698.00,1.67486230E+3,
700.00,1.72251917E+3,
702.00,1.63121179E+3,
704.00,1.72989587E+3,
706.00,1.42954590E+3,
708.00,1.51411914E+3,
710.00,1.50456604E+3,
712.00,1.36175378E+3,
714.00,1.40443506E+3,
716.00,1.48592224E+3,
718.00,1.25526819E+3,
720.00,8.78782593E+2,
722.00,1.36884741E+3,
724.00,1.26276575E+3,
726.00,1.22798828E+3,
728.00,1.44348730E+3,
730.00,1.23320068E+3,
732.00,1.06100488E+3,
734.00,1.22494531E+3,
736.00,1.06460889E+3,
738.00,1.13645581E+3,
740.00,1.18737036E+3,
742.00,1.12911328E+3,
744.00,9.62484680E+2,
746.00,1.16354700E+3,
748.00,9.36146973E+2,
750.00,1.02316431E+3,
752.00,9.34114807E+2,
754.00,1.06626392E+3,
756.00,9.67211121E+2,
758.00,9.38061646E+2,
760.00,9.05886230E+2,
762.00,9.99324280E+2,
764.00,9.68364319E+2,
766.00,9.91460327E+2,
768.00,1.06685095E+3,
770.00,9.95449829E+2,
772.00,7.99439270E+2,
774.00,8.17036743E+2,
776.00,1.04224475E+3,
778.00,1.17243445E+3,
780.00,7.97539185E+2,
782.00,7.23490662E+2,
784.00,9.50269409E+2,
786.00,9.07721863E+2,
788.00,7.58721558E+2,
790.00,6.92169617E+2,
792.00,9.22561035E+2,
794.00,5.47454407E+2,
796.00,5.99219299E+2,
798.00,1.03278564E+3,
800.00,7.63504028E+2,
802.00,7.88317200E+2,
804.00,1.00922491E+3,
806.00,9.00626831E+2,
808.00,9.90753235E+2,
810.00,9.81401672E+2,
812.00,9.24346008E+2,
814.00,9.05550354E+2,
816.00,5.23143738E+2,
818.00,2.05406967E+2,
820.00,1.35501404E+3,
822.00,1.10442444E+3,
824.00,6.48640747E+2,
826.00,8.45351807E+2,
828.00,4.94450348E+2,
830.00,6.76063354E+2,
832.00,4.20001831E+2,
834.00,1.17522717E+3,
836.00,9.08376343E+2,
838.00,9.22002563E+2,
840.00,1.23923804E+3,
842.00,1.01732397E+3,
844.00,8.80388855E+2,
846.00,3.70506989E+2,
848.00,9.82453369E+2,
850.00,1.24288257E+3,
