Labels,2609_ZFFL55_AAN155_1E-6_ACN_exc375_O2_5min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,2.44649673E+2,
402.00,2.10702713E+2,
404.00,2.01832779E+2,
406.00,2.84215912E+2,
408.00,1.67750769E+3,
410.00,3.10796558E+3,
412.00,1.30960986E+3,
414.00,6.19993042E+2,
416.00,8.07156555E+2,
418.00,1.44698718E+3,
420.00,4.66012793E+3,
422.00,7.74397900E+3,
424.00,4.73602930E+3,
426.00,2.62011328E+3,
428.00,2.52452710E+3,
430.00,2.71141602E+3,
432.00,3.15035229E+3,
434.00,3.61866821E+3,
436.00,4.36283594E+3,
438.00,5.09468555E+3,
440.00,5.91797119E+3,
442.00,6.90055566E+3,
444.00,7.83997803E+3,
446.00,8.40765918E+3,
448.00,9.76994922E+3,
450.00,1.10387900E+4,
452.00,1.19183877E+4,
454.00,1.29613867E+4,
456.00,1.41397246E+4,
458.00,1.55867129E+4,
460.00,1.67456426E+4,
462.00,1.82588281E+4,
464.00,1.94923398E+4,
466.00,2.09289375E+4,
468.00,2.19723809E+4,
470.00,2.33003281E+4,
472.00,2.47594492E+4,
474.00,2.62310430E+4,
476.00,2.77044004E+4,
478.00,2.88474922E+4,
480.00,2.96499746E+4,
482.00,3.09002324E+4,
484.00,3.16008223E+4,
486.00,3.27816094E+4,
488.00,3.35374258E+4,
490.00,3.38380742E+4,
492.00,3.47922930E+4,
494.00,3.48014297E+4,
496.00,3.53228984E+4,
498.00,3.55291250E+4,
500.00,3.61156719E+4,
502.00,3.59641211E+4,
504.00,3.60692305E+4,
506.00,3.56181016E+4,
508.00,3.53136680E+4,
510.00,3.51567969E+4,
512.00,3.50682656E+4,
514.00,3.47683164E+4,
516.00,3.40109102E+4,
518.00,3.40209102E+4,
520.00,3.36583164E+4,
522.00,3.29109258E+4,
524.00,3.21100215E+4,
526.00,3.19835020E+4,
528.00,3.10185859E+4,
530.00,3.10042480E+4,
532.00,3.06200449E+4,
534.00,2.90337910E+4,
536.00,2.88864785E+4,
538.00,2.85304121E+4,
540.00,2.79274121E+4,
542.00,2.73385527E+4,
544.00,2.64896602E+4,
546.00,2.59212090E+4,
548.00,2.56642949E+4,
550.00,2.51396484E+4,
552.00,2.44351074E+4,
554.00,2.38676074E+4,
556.00,2.31912363E+4,
558.00,2.27537930E+4,
560.00,2.23313262E+4,
562.00,2.23880957E+4,
564.00,2.19287559E+4,
566.00,2.15191367E+4,
568.00,2.07666113E+4,
570.00,2.08426113E+4,
572.00,2.03348711E+4,
574.00,2.02818301E+4,
576.00,1.96958555E+4,
578.00,1.93926797E+4,
580.00,1.87302188E+4,
582.00,1.90892949E+4,
584.00,1.89022012E+4,
586.00,1.80372598E+4,
588.00,1.80023066E+4,
590.00,1.81065996E+4,
592.00,1.77369551E+4,
594.00,1.74786133E+4,
596.00,1.75217363E+4,
598.00,1.67385918E+4,
600.00,1.71443301E+4,
602.00,1.65837031E+4,
604.00,1.66281016E+4,
606.00,1.61525254E+4,
608.00,1.60862295E+4,
610.00,1.61048389E+4,
612.00,1.55158105E+4,
614.00,1.56419287E+4,
616.00,1.53624492E+4,
618.00,1.52116523E+4,
620.00,1.51691670E+4,
622.00,1.56080469E+4,
624.00,1.53111924E+4,
626.00,1.52695215E+4,
628.00,1.47321016E+4,
630.00,1.48562061E+4,
632.00,1.48949844E+4,
634.00,1.39880996E+4,
636.00,1.39927910E+4,
638.00,1.34683740E+4,
640.00,1.37321768E+4,
642.00,1.44908369E+4,
644.00,1.40563906E+4,
646.00,1.36216514E+4,
648.00,1.28384336E+4,
650.00,1.36364463E+4,
652.00,1.33963389E+4,
654.00,1.24784912E+4,
656.00,1.26095625E+4,
658.00,1.20071240E+4,
660.00,1.18160674E+4,
662.00,1.23192744E+4,
664.00,1.22962998E+4,
666.00,1.18603145E+4,
668.00,1.14818555E+4,
670.00,1.15026006E+4,
672.00,1.12561270E+4,
674.00,1.09787998E+4,
676.00,1.05379883E+4,
678.00,1.03936416E+4,
680.00,1.06023584E+4,
682.00,1.02691426E+4,
684.00,1.02097881E+4,
686.00,1.05615605E+4,
688.00,9.80060840E+3,
690.00,9.95098828E+3,
692.00,9.87622656E+3,
694.00,9.13713086E+3,
696.00,9.31578906E+3,
698.00,9.10258105E+3,
700.00,8.98953613E+3,
702.00,8.62810254E+3,
704.00,8.72676953E+3,
706.00,8.51068750E+3,
708.00,8.35509375E+3,
710.00,7.78441602E+3,
712.00,7.56016797E+3,
714.00,7.73850049E+3,
716.00,7.41794629E+3,
718.00,7.03092383E+3,
720.00,7.26557813E+3,
722.00,7.59410254E+3,
724.00,7.07379639E+3,
726.00,6.89542676E+3,
728.00,6.70976514E+3,
730.00,6.40974463E+3,
732.00,6.41070020E+3,
734.00,5.99947119E+3,
736.00,6.49323535E+3,
738.00,6.60134180E+3,
740.00,6.74430859E+3,
742.00,6.46986572E+3,
744.00,6.41435205E+3,
746.00,5.18195752E+3,
748.00,5.43724951E+3,
750.00,5.61492725E+3,
752.00,4.97613281E+3,
754.00,5.21201172E+3,
756.00,5.52835645E+3,
758.00,5.41888135E+3,
760.00,4.97927100E+3,
762.00,5.30311768E+3,
764.00,4.32107178E+3,
766.00,4.64488818E+3,
768.00,3.84360278E+3,
770.00,4.01836792E+3,
772.00,4.41575830E+3,
774.00,3.78610278E+3,
776.00,4.40263477E+3,
778.00,3.77877148E+3,
780.00,3.46197998E+3,
782.00,4.13471631E+3,
784.00,4.01338501E+3,
786.00,3.87278052E+3,
788.00,4.35696387E+3,
790.00,3.77852783E+3,
792.00,3.27360376E+3,
794.00,3.75227466E+3,
796.00,3.00457129E+3,
798.00,2.66107373E+3,
800.00,3.15870703E+3,
802.00,2.25933960E+3,
804.00,3.03731006E+3,
806.00,2.56068335E+3,
808.00,2.54249268E+3,
810.00,3.06911890E+3,
812.00,2.77878198E+3,
814.00,2.22398804E+3,
816.00,2.10250195E+3,
818.00,2.06604956E+3,
820.00,2.57286890E+3,
822.00,2.13614697E+3,
824.00,2.86371533E+3,
826.00,1.45756104E+3,
828.00,2.51131885E+3,
830.00,2.10658862E+3,
832.00,1.97204919E+3,
834.00,1.74615955E+3,
836.00,2.40336255E+3,
838.00,1.89808704E+3,
840.00,2.58347510E+3,
842.00,1.86471729E+3,
844.00,2.27729102E+3,
846.00,2.16577832E+3,
848.00,1.36573206E+3,
850.00,9.01118469E+2,
