Labels,2809_LIFETIME_AAN155_1E-6_EPL375_100KHz_5micro_9182ch_30min_slit2_emi620_O2_1min,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4999.39000,
Step,0.61035156,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

0.00,0.00000000E+0,
0.61035156,0.00000000E+0,
1.2207031,0.00000000E+0,
1.8310547,0.00000000E+0,
2.4414063,0.00000000E+0,
3.0517578,0.00000000E+0,
3.6621094,0.00000000E+0,
4.2724609,0.00000000E+0,
4.8828125,0.00000000E+0,
5.4931641,0.00000000E+0,
6.1035156,0.00000000E+0,
6.7138672,0.00000000E+0,
7.3242188,0.00000000E+0,
7.934570,0.00000000E+0,
8.5449219,0.00000000E+0,
9.1552734,0.00000000E+0,
9.7656250,0.00000000E+0,
10.375977,0.00000000E+0,
10.986328,0.00000000E+0,
11.596680,0.00000000E+0,
12.207031,0.00000000E+0,
12.817383,0.00000000E+0,
13.427734,0.00000000E+0,
14.038086,0.00000000E+0,
14.648438,0.00000000E+0,
15.258789,0.00000000E+0,
15.869141,0.00000000E+0,
16.479492,0.00000000E+0,
17.089844,0.00000000E+0,
17.70020,0.00000000E+0,
18.310547,0.00000000E+0,
18.92090,0.00000000E+0,
19.531250,0.00000000E+0,
20.14160,0.00000000E+0,
20.751953,0.00000000E+0,
21.36230,0.00000000E+0,
21.972656,0.00000000E+0,
22.583008,0.00000000E+0,
23.193359,0.00000000E+0,
23.803711,0.00000000E+0,
24.414063,0.00000000E+0,
25.024414,0.00000000E+0,
25.634766,0.00000000E+0,
26.245117,0.00000000E+0,
26.855469,0.00000000E+0,
27.465820,0.00000000E+0,
28.076172,0.00000000E+0,
28.686523,0.00000000E+0,
29.296875,0.00000000E+0,
29.907227,0.00000000E+0,
30.517578,0.00000000E+0,
31.127930,0.00000000E+0,
31.738281,0.00000000E+0,
32.348633,0.00000000E+0,
32.958984,0.00000000E+0,
33.569336,0.00000000E+0,
34.179688,0.00000000E+0,
34.790039,0.00000000E+0,
35.400391,0.00000000E+0,
36.010742,0.00000000E+0,
36.621094,0.00000000E+0,
37.231445,0.00000000E+0,
37.84180,0.00000000E+0,
38.452148,2.00000000E+0,
39.06250,1.00000000E+0,
39.672852,3.00000000E+0,
40.28320,1.00000000E+0,
40.893555,3.00000000E+0,
41.503906,2.00000000E+0,
42.114258,1.00000000E+0,
42.724609,1.00000000E+0,
43.334961,3.00000000E+0,
43.945313,2.00000000E+0,
44.555664,1.00000000E+0,
45.166016,3.00000000E+0,
45.776367,4.00000000E+0,
46.386719,2.00000000E+0,
46.997070,1.00000000E+0,
47.607422,3.00000000E+0,
48.217773,1.00000000E+0,
48.828125,1.00000000E+0,
49.438477,2.00000000E+0,
50.048828,3.00000000E+0,
50.659180,1.00000000E+0,
51.269531,2.00000000E+0,
51.879883,2.00000000E+0,
52.490234,1.00000000E+0,
53.100586,0.00000000E+0,
53.710938,1.00000000E+0,
54.321289,3.00000000E+0,
54.931641,4.00000000E+0,
55.541992,1.00000000E+1,
56.152344,5.70000000E+1,
56.76270,2.04000000E+2,
57.373047,3.48000000E+2,
57.98340,4.43000000E+2,
58.593750,4.03000000E+2,
59.20410,3.83000000E+2,
59.814453,3.27000000E+2,
60.42480,2.98000000E+2,
61.035156,2.26000000E+2,
61.645508,2.02000000E+2,
62.255859,1.51000000E+2,
62.866211,1.33000000E+2,
63.476563,1.53000000E+2,
64.086914,9.60000000E+1,
64.697266,8.20000000E+1,
65.307617,6.10000000E+1,
65.917969,5.90000000E+1,
66.528320,5.90000000E+1,
67.138672,6.00000000E+1,
67.749023,3.40000000E+1,
68.359375,3.90000000E+1,
68.969727,2.70000000E+1,
69.580078,3.30000000E+1,
70.190430,2.60000000E+1,
70.800781,2.20000000E+1,
71.411133,1.40000000E+1,
72.021484,2.10000000E+1,
72.631836,1.50000000E+1,
73.242188,1.10000000E+1,
73.852539,1.30000000E+1,
74.462891,1.60000000E+1,
75.073242,2.40000000E+1,
75.683594,7.00000000E+0,
76.293945,1.50000000E+1,
76.90430,1.00000000E+1,
77.514648,1.30000000E+1,
78.1250,9.00000000E+0,
78.735352,8.00000000E+0,
79.34570,1.30000000E+1,
79.956055,1.20000000E+1,
80.566406,1.60000000E+1,
81.176758,2.10000000E+1,
81.787109,1.00000000E+1,
82.397461,1.40000000E+1,
83.007813,8.00000000E+0,
83.618164,1.10000000E+1,
84.228516,1.00000000E+1,
84.838867,1.20000000E+1,
85.449219,1.40000000E+1,
86.059570,1.50000000E+1,
86.669922,7.00000000E+0,
87.280273,1.10000000E+1,
87.890625,1.10000000E+1,
88.500977,1.10000000E+1,
89.111328,1.40000000E+1,
89.721680,6.00000000E+0,
90.332031,1.50000000E+1,
90.942383,1.30000000E+1,
91.552734,1.30000000E+1,
92.163086,1.30000000E+1,
92.773438,1.20000000E+1,
93.383789,1.20000000E+1,
93.994141,9.00000000E+0,
94.604492,9.00000000E+0,
95.214844,9.00000000E+0,
95.82520,1.70000000E+1,
96.435547,1.20000000E+1,
97.04590,9.00000000E+0,
97.656250,1.30000000E+1,
98.26660,1.90000000E+1,
98.876953,9.00000000E+0,
99.48730,1.70000000E+1,
100.097660,7.00000000E+0,
100.70800,7.00000000E+0,
101.318360,1.20000000E+1,
101.928710,1.00000000E+1,
102.539060,1.20000000E+1,
103.149410,1.10000000E+1,
103.759770,1.00000000E+1,
104.370120,1.30000000E+1,
104.980470,1.40000000E+1,
105.590820,1.00000000E+1,
106.201170,1.00000000E+1,
106.811520,9.00000000E+0,
107.421880,1.10000000E+1,
108.032230,9.00000000E+0,
108.642580,1.10000000E+1,
109.252930,1.50000000E+1,
109.863280,1.30000000E+1,
110.473630,1.30000000E+1,
111.08400,1.80000000E+1,
111.694340,4.00000000E+0,
112.304690,1.00000000E+1,
112.91500,1.50000000E+1,
113.525390,1.20000000E+1,
114.135740,7.00000000E+0,
114.746090,8.00000000E+0,
115.356450,6.00000000E+0,
115.966800,1.00000000E+1,
116.577150,1.10000000E+1,
117.187500,6.00000000E+0,
117.797850,1.20000000E+1,
118.408200,1.00000000E+1,
119.018550,1.60000000E+1,
119.628910,1.10000000E+1,
120.239260,8.00000000E+0,
120.849610,1.30000000E+1,
121.4600,9.00000000E+0,
122.070310,4.00000000E+0,
122.680660,1.40000000E+1,
123.29100,6.00000000E+0,
123.901370,1.50000000E+1,
124.511720,1.30000000E+1,
125.122070,1.20000000E+1,
125.732420,9.00000000E+0,
126.342770,1.10000000E+1,
126.953130,1.30000000E+1,
127.563480,1.00000000E+1,
128.173830,1.40000000E+1,
128.784180,1.40000000E+1,
129.394530,8.00000000E+0,
130.004880,1.00000000E+1,
130.615230,8.00000000E+0,
131.225590,1.40000000E+1,
131.835940,1.10000000E+1,
132.446290,1.30000000E+1,
133.056640,8.00000000E+0,
133.66700,7.00000000E+0,
134.277340,1.00000000E+1,
134.887700,1.30000000E+1,
135.49800,9.00000000E+0,
136.108400,7.00000000E+0,
136.718750,9.00000000E+0,
137.329100,8.00000000E+0,
137.939450,1.20000000E+1,
138.549800,1.30000000E+1,
139.160160,9.00000000E+0,
139.770510,7.00000000E+0,
140.380860,9.00000000E+0,
140.991210,8.00000000E+0,
141.601560,1.00000000E+1,
142.211910,7.00000000E+0,
142.822270,1.10000000E+1,
143.432620,7.00000000E+0,
144.04300,1.00000000E+0,
144.653320,6.00000000E+0,
145.263670,1.10000000E+1,
145.87400,3.00000000E+0,
146.484380,1.30000000E+1,
147.094730,1.40000000E+1,
147.705080,4.00000000E+0,
148.315430,1.00000000E+1,
148.925780,8.00000000E+0,
149.536130,1.40000000E+1,
150.146480,7.00000000E+0,
150.756840,8.00000000E+0,
151.367190,1.40000000E+1,
151.977540,1.70000000E+1,
152.587890,1.50000000E+1,
153.198240,7.00000000E+0,
153.808590,1.30000000E+1,
154.418950,1.00000000E+1,
155.029300,1.30000000E+1,
155.639650,3.00000000E+0,
156.2500,1.20000000E+1,
156.860350,1.30000000E+1,
157.470700,1.00000000E+1,
158.081050,1.10000000E+1,
158.691410,7.00000000E+0,
159.301760,1.00000000E+1,
159.912110,7.00000000E+0,
160.522460,8.00000000E+0,
161.132810,1.30000000E+1,
161.743160,1.30000000E+1,
162.353520,1.00000000E+1,
162.963870,1.60000000E+1,
163.574220,5.00000000E+0,
164.184570,7.00000000E+0,
164.794920,1.00000000E+1,
165.405270,7.00000000E+0,
166.015630,9.00000000E+0,
166.62600,9.00000000E+0,
167.236330,8.00000000E+0,
167.846680,1.00000000E+1,
168.45700,8.00000000E+0,
169.067380,1.10000000E+1,
169.677730,1.10000000E+1,
170.288090,1.40000000E+1,
170.898440,6.00000000E+0,
171.508790,1.30000000E+1,
172.119140,6.00000000E+0,
172.729490,8.00000000E+0,
173.339840,8.00000000E+0,
173.950200,7.00000000E+0,
174.560550,6.00000000E+0,
175.170900,7.00000000E+0,
175.781250,6.00000000E+0,
176.391600,1.10000000E+1,
177.00200,5.00000000E+0,
177.612300,1.00000000E+1,
178.222660,1.20000000E+1,
178.83300,9.00000000E+0,
179.443360,8.00000000E+0,
180.053710,7.00000000E+0,
180.664060,8.00000000E+0,
181.274410,1.20000000E+1,
181.884770,3.00000000E+0,
182.495120,1.60000000E+1,
183.105470,1.30000000E+1,
183.715820,1.00000000E+1,
184.326170,1.20000000E+1,
