Labels,2609_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_5minAr+1h,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,5.36063354E+2,
402.00,4.15455475E+2,
404.00,4.72910614E+2,
406.00,5.73570374E+2,
408.00,1.85272388E+3,
410.00,3.01722876E+3,
412.00,1.48404236E+3,
414.00,9.54361938E+2,
416.00,1.05347839E+3,
418.00,1.54982385E+3,
420.00,4.27194141E+3,
422.00,7.36014941E+3,
424.00,4.52024121E+3,
426.00,2.35487231E+3,
428.00,2.00650696E+3,
430.00,2.07606812E+3,
432.00,2.37700708E+3,
434.00,2.44552808E+3,
436.00,2.77866113E+3,
438.00,3.03982422E+3,
440.00,3.26608301E+3,
442.00,3.38876538E+3,
444.00,3.69089844E+3,
446.00,4.00459155E+3,
448.00,4.16731250E+3,
450.00,4.10891016E+3,
452.00,4.45584424E+3,
454.00,4.48981348E+3,
456.00,4.89179004E+3,
458.00,4.98367920E+3,
460.00,5.37979150E+3,
462.00,5.34999512E+3,
464.00,5.63031396E+3,
466.00,5.73559473E+3,
468.00,5.81117432E+3,
470.00,6.04798975E+3,
472.00,5.99646680E+3,
474.00,6.07123096E+3,
476.00,6.37863721E+3,
478.00,6.47874854E+3,
480.00,6.51103369E+3,
482.00,6.58821387E+3,
484.00,6.49855469E+3,
486.00,6.56207764E+3,
488.00,6.79192139E+3,
490.00,6.41653223E+3,
492.00,6.63231787E+3,
494.00,6.59746729E+3,
496.00,6.66539307E+3,
498.00,6.58114697E+3,
500.00,6.78057227E+3,
502.00,6.88765869E+3,
504.00,6.99067188E+3,
506.00,7.20892920E+3,
508.00,7.61295850E+3,
510.00,7.82748584E+3,
512.00,8.14396143E+3,
514.00,8.72350977E+3,
516.00,9.34315234E+3,
518.00,1.02086182E+4,
520.00,1.09772979E+4,
522.00,1.22482881E+4,
524.00,1.30769619E+4,
526.00,1.43427734E+4,
528.00,1.56059717E+4,
530.00,1.75464121E+4,
532.00,1.93886816E+4,
534.00,2.14064297E+4,
536.00,2.31618242E+4,
538.00,2.59527285E+4,
540.00,2.88208965E+4,
542.00,3.12499941E+4,
544.00,3.38699102E+4,
546.00,3.74569961E+4,
548.00,4.13675430E+4,
550.00,4.42073867E+4,
552.00,4.81681875E+4,
554.00,5.12787930E+4,
556.00,5.54413828E+4,
558.00,5.97323555E+4,
560.00,6.38969805E+4,
562.00,6.76347500E+4,
564.00,7.19775547E+4,
566.00,7.66433359E+4,
568.00,8.14572188E+4,
570.00,8.58022422E+4,
572.00,8.93007813E+4,
574.00,9.40566016E+4,
576.00,9.64933281E+4,
578.00,1.01422867E+5,
580.00,1.04668344E+5,
582.00,1.09499414E+5,
584.00,1.13688219E+5,
586.00,1.16220383E+5,
588.00,1.20420266E+5,
590.00,1.23284094E+5,
592.00,1.25650070E+5,
594.00,1.28965477E+5,
596.00,1.31631500E+5,
598.00,1.33252469E+5,
600.00,1.34507906E+5,
602.00,1.36526094E+5,
604.00,1.39889000E+5,
606.00,1.41084219E+5,
608.00,1.42353781E+5,
610.00,1.43147609E+5,
612.00,1.43600031E+5,
614.00,1.44566922E+5,
616.00,1.45073344E+5,
618.00,1.42757844E+5,
620.00,1.46595219E+5,
622.00,1.45900984E+5,
624.00,1.45385406E+5,
626.00,1.43577766E+5,
628.00,1.44059219E+5,
630.00,1.42385203E+5,
632.00,1.42690313E+5,
634.00,1.42086219E+5,
636.00,1.41535531E+5,
638.00,1.39549375E+5,
640.00,1.38610297E+5,
642.00,1.38979516E+5,
644.00,1.35983125E+5,
646.00,1.35126859E+5,
648.00,1.33573578E+5,
650.00,1.32361031E+5,
652.00,1.29305500E+5,
654.00,1.28202703E+5,
656.00,1.25601250E+5,
658.00,1.25051398E+5,
660.00,1.22703820E+5,
662.00,1.19495336E+5,
664.00,1.19134555E+5,
666.00,1.17028219E+5,
668.00,1.15155477E+5,
670.00,1.12824977E+5,
672.00,1.10431008E+5,
674.00,1.07417180E+5,
676.00,1.03668070E+5,
678.00,1.04138922E+5,
680.00,1.00654828E+5,
682.00,9.85679531E+4,
684.00,9.74676719E+4,
686.00,9.38355625E+4,
688.00,9.22897344E+4,
690.00,9.13135391E+4,
692.00,8.96430391E+4,
694.00,8.53097266E+4,
696.00,8.37854063E+4,
698.00,8.17428047E+4,
700.00,8.08067188E+4,
702.00,7.76399688E+4,
704.00,7.65410313E+4,
706.00,7.59091406E+4,
708.00,7.32086953E+4,
710.00,7.27843203E+4,
712.00,7.14682656E+4,
714.00,6.68022266E+4,
716.00,6.93933672E+4,
718.00,6.55985547E+4,
720.00,6.39337031E+4,
722.00,6.13446523E+4,
724.00,6.12078164E+4,
726.00,6.05289531E+4,
728.00,5.67312188E+4,
730.00,5.67488047E+4,
732.00,5.56957500E+4,
734.00,5.32032539E+4,
736.00,5.27284141E+4,
738.00,5.04909922E+4,
740.00,4.85528086E+4,
742.00,4.95339648E+4,
744.00,4.78962930E+4,
746.00,4.55715938E+4,
748.00,4.37053945E+4,
750.00,4.27090625E+4,
752.00,4.35251875E+4,
754.00,4.12461172E+4,
756.00,3.89375586E+4,
758.00,3.92357578E+4,
760.00,3.63681953E+4,
762.00,3.65350117E+4,
764.00,3.51887305E+4,
766.00,3.36646289E+4,
768.00,3.33621250E+4,
770.00,3.19747363E+4,
772.00,3.05700664E+4,
774.00,2.92902930E+4,
776.00,2.98408867E+4,
778.00,3.08420313E+4,
780.00,2.81614277E+4,
782.00,2.85339414E+4,
784.00,2.74179102E+4,
786.00,2.62653594E+4,
788.00,2.41919434E+4,
790.00,2.38341992E+4,
792.00,2.50060762E+4,
794.00,2.22102227E+4,
796.00,2.23165879E+4,
798.00,2.01372285E+4,
800.00,2.20683301E+4,
802.00,1.85917617E+4,
804.00,2.06754414E+4,
806.00,1.91842012E+4,
808.00,1.85195215E+4,
810.00,1.61679414E+4,
812.00,1.75432266E+4,
814.00,1.66922109E+4,
816.00,1.70011035E+4,
818.00,1.45752197E+4,
820.00,1.48063984E+4,
822.00,1.61219404E+4,
824.00,1.46655322E+4,
826.00,1.39603418E+4,
828.00,1.34692861E+4,
830.00,1.35645479E+4,
832.00,1.23887832E+4,
834.00,1.30448438E+4,
836.00,1.34777373E+4,
838.00,1.32916133E+4,
840.00,1.17090488E+4,
842.00,1.15798154E+4,
844.00,1.04344424E+4,
846.00,9.88376953E+3,
848.00,9.30064551E+3,
850.00,9.54161816E+3,
