Labels,2609_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_5minAr,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,4.82490387E+2,
402.00,4.88592896E+2,
404.00,4.75458038E+2,
406.00,6.05364014E+2,
408.00,1.89364880E+3,
410.00,3.10898291E+3,
412.00,1.44003625E+3,
414.00,9.28283508E+2,
416.00,1.06592859E+3,
418.00,1.67131946E+3,
420.00,4.38100586E+3,
422.00,7.37801123E+3,
424.00,4.64969043E+3,
426.00,2.43998096E+3,
428.00,2.07847168E+3,
430.00,2.19365576E+3,
432.00,2.46458740E+3,
434.00,2.55828149E+3,
436.00,2.70809814E+3,
438.00,2.92503467E+3,
440.00,3.20407861E+3,
442.00,3.48271729E+3,
444.00,3.62934644E+3,
446.00,4.15392969E+3,
448.00,4.22635449E+3,
450.00,4.39741016E+3,
452.00,4.56303760E+3,
454.00,4.82300195E+3,
456.00,5.08740430E+3,
458.00,5.16883301E+3,
460.00,5.44473438E+3,
462.00,5.67431836E+3,
464.00,5.71735205E+3,
466.00,6.00548291E+3,
468.00,6.11367627E+3,
470.00,6.18419922E+3,
472.00,6.24794971E+3,
474.00,6.28626611E+3,
476.00,6.44901758E+3,
478.00,6.59703076E+3,
480.00,6.58374512E+3,
482.00,6.72717236E+3,
484.00,6.76726855E+3,
486.00,6.96145117E+3,
488.00,6.93456885E+3,
490.00,7.04648291E+3,
492.00,7.11368896E+3,
494.00,7.14014893E+3,
496.00,7.22090234E+3,
498.00,7.59777686E+3,
500.00,7.84774854E+3,
502.00,7.91517871E+3,
504.00,8.40693945E+3,
506.00,8.75276367E+3,
508.00,9.53390137E+3,
510.00,1.04333975E+4,
512.00,1.11433154E+4,
514.00,1.26650703E+4,
516.00,1.39144824E+4,
518.00,1.58100762E+4,
520.00,1.80815898E+4,
522.00,2.03796797E+4,
524.00,2.30188164E+4,
526.00,2.60587832E+4,
528.00,2.97560254E+4,
530.00,3.36597539E+4,
532.00,3.89724336E+4,
534.00,4.36049844E+4,
536.00,4.88224688E+4,
538.00,5.38922852E+4,
540.00,6.06547617E+4,
542.00,6.65582422E+4,
544.00,7.45140703E+4,
546.00,8.10161484E+4,
548.00,8.90546406E+4,
550.00,9.69512813E+4,
552.00,1.06029250E+5,
554.00,1.14192789E+5,
556.00,1.22555500E+5,
558.00,1.32108266E+5,
560.00,1.41799250E+5,
562.00,1.51945547E+5,
564.00,1.62236688E+5,
566.00,1.71840063E+5,
568.00,1.81575594E+5,
570.00,1.92627500E+5,
572.00,2.01680609E+5,
574.00,2.11565781E+5,
576.00,2.23322109E+5,
578.00,2.31090406E+5,
580.00,2.41502359E+5,
582.00,2.48126594E+5,
584.00,2.57649031E+5,
586.00,2.66801000E+5,
588.00,2.73109031E+5,
590.00,2.81257906E+5,
592.00,2.87525813E+5,
594.00,2.92060594E+5,
596.00,3.01495344E+5,
598.00,3.08680063E+5,
600.00,3.10007969E+5,
602.00,3.14536469E+5,
604.00,3.18572438E+5,
606.00,3.23452188E+5,
608.00,3.24832813E+5,
610.00,3.28956719E+5,
612.00,3.30413094E+5,
614.00,3.32340500E+5,
616.00,3.36009125E+5,
618.00,3.35962250E+5,
620.00,3.36201344E+5,
622.00,3.36130469E+5,
624.00,3.36636406E+5,
626.00,3.34240063E+5,
628.00,3.34290281E+5,
630.00,3.34735719E+5,
632.00,3.30344094E+5,
634.00,3.29356219E+5,
636.00,3.25743563E+5,
638.00,3.24514344E+5,
640.00,3.23388125E+5,
642.00,3.22010469E+5,
644.00,3.18450688E+5,
646.00,3.12951813E+5,
648.00,3.10657656E+5,
650.00,3.07763781E+5,
652.00,3.02804656E+5,
654.00,2.97495813E+5,
656.00,2.93665406E+5,
658.00,2.88441031E+5,
660.00,2.82634750E+5,
662.00,2.81783438E+5,
664.00,2.79202750E+5,
666.00,2.72968250E+5,
668.00,2.67768688E+5,
670.00,2.60177453E+5,
672.00,2.59466078E+5,
674.00,2.50752797E+5,
676.00,2.48406781E+5,
678.00,2.38857219E+5,
680.00,2.34843891E+5,
682.00,2.34351922E+5,
684.00,2.27927359E+5,
686.00,2.19989172E+5,
688.00,2.19185250E+5,
690.00,2.12579156E+5,
692.00,2.08093531E+5,
694.00,2.04033641E+5,
696.00,1.96682719E+5,
698.00,1.94469922E+5,
700.00,1.90664563E+5,
702.00,1.86988656E+5,
704.00,1.81265938E+5,
706.00,1.80642063E+5,
708.00,1.73587297E+5,
710.00,1.71149969E+5,
712.00,1.65607594E+5,
714.00,1.59647031E+5,
716.00,1.59894531E+5,
718.00,1.56339594E+5,
720.00,1.50169922E+5,
722.00,1.45575391E+5,
724.00,1.44294422E+5,
726.00,1.41834813E+5,
728.00,1.36191844E+5,
730.00,1.31020375E+5,
732.00,1.27168297E+5,
734.00,1.24345625E+5,
736.00,1.22737984E+5,
738.00,1.17569641E+5,
740.00,1.17545695E+5,
742.00,1.14348609E+5,
744.00,1.10508008E+5,
746.00,1.07653898E+5,
748.00,1.04557250E+5,
750.00,1.01741258E+5,
752.00,9.84235547E+4,
754.00,9.58531563E+4,
756.00,9.33152266E+4,
758.00,8.99586797E+4,
760.00,9.00406484E+4,
762.00,8.61869922E+4,
764.00,8.27476094E+4,
766.00,8.09497422E+4,
768.00,7.80827109E+4,
770.00,7.80425000E+4,
772.00,7.45702422E+4,
774.00,7.30337109E+4,
776.00,7.19781875E+4,
778.00,6.90138594E+4,
780.00,6.42917109E+4,
782.00,6.34251680E+4,
784.00,6.26570781E+4,
786.00,6.11568359E+4,
788.00,5.89777813E+4,
790.00,5.95002500E+4,
792.00,5.55440898E+4,
794.00,5.28081719E+4,
796.00,5.31634844E+4,
798.00,4.96131836E+4,
800.00,5.06626055E+4,
802.00,4.91333828E+4,
804.00,4.54177031E+4,
806.00,4.64907070E+4,
808.00,4.44652773E+4,
810.00,4.28791758E+4,
812.00,4.03750742E+4,
814.00,3.99795273E+4,
816.00,3.92993242E+4,
818.00,3.99663242E+4,
820.00,3.71268359E+4,
822.00,3.63551055E+4,
824.00,3.41702188E+4,
826.00,3.14673105E+4,
828.00,3.38820313E+4,
830.00,3.15640313E+4,
832.00,2.91595684E+4,
834.00,2.88791758E+4,
836.00,2.77150430E+4,
838.00,2.90082090E+4,
840.00,2.91087539E+4,
842.00,2.62575410E+4,
844.00,2.74257188E+4,
846.00,2.12530938E+4,
848.00,2.55521816E+4,
850.00,2.39029180E+4,
