Labels,2609_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,4.04315308E+2,
402.00,4.41317291E+2,
404.00,4.75509949E+2,
406.00,5.27803711E+2,
408.00,1.72452917E+3,
410.00,2.93923242E+3,
412.00,1.46038672E+3,
414.00,8.06761963E+2,
416.00,9.59346069E+2,
418.00,1.44014246E+3,
420.00,4.38081982E+3,
422.00,7.16695605E+3,
424.00,4.22105908E+3,
426.00,2.15027100E+3,
428.00,1.91671387E+3,
430.00,1.85512756E+3,
432.00,1.88318945E+3,
434.00,2.13934839E+3,
436.00,2.35424390E+3,
438.00,2.52014990E+3,
440.00,2.67592993E+3,
442.00,2.90146460E+3,
444.00,3.05953979E+3,
446.00,3.30857202E+3,
448.00,3.45140576E+3,
450.00,3.61073828E+3,
452.00,3.71743408E+3,
454.00,3.79800269E+3,
456.00,4.01408618E+3,
458.00,4.11030713E+3,
460.00,4.39183594E+3,
462.00,4.47116455E+3,
464.00,4.55484961E+3,
466.00,4.64279102E+3,
468.00,5.10060840E+3,
470.00,4.93491748E+3,
472.00,5.02372021E+3,
474.00,5.06870313E+3,
476.00,5.15950439E+3,
478.00,5.11809912E+3,
480.00,5.40336523E+3,
482.00,5.56242188E+3,
484.00,5.39747461E+3,
486.00,5.52863379E+3,
488.00,5.48751611E+3,
490.00,5.35752148E+3,
492.00,5.47419287E+3,
494.00,5.54422559E+3,
496.00,5.35556836E+3,
498.00,5.28991943E+3,
500.00,5.43042920E+3,
502.00,5.38774414E+3,
504.00,5.51327979E+3,
506.00,5.27722510E+3,
508.00,5.63370361E+3,
510.00,5.53390479E+3,
512.00,5.50568506E+3,
514.00,5.95199170E+3,
516.00,6.17192725E+3,
518.00,6.20783594E+3,
520.00,6.45614746E+3,
522.00,6.94154932E+3,
524.00,7.26185742E+3,
526.00,7.53291260E+3,
528.00,8.34034668E+3,
530.00,8.93426465E+3,
532.00,9.55363574E+3,
534.00,1.02764541E+4,
536.00,1.09162510E+4,
538.00,1.22115352E+4,
540.00,1.28937695E+4,
542.00,1.36895117E+4,
544.00,1.45924824E+4,
546.00,1.61632891E+4,
548.00,1.74041680E+4,
550.00,1.89618535E+4,
552.00,2.03913574E+4,
554.00,2.14842031E+4,
556.00,2.28769531E+4,
558.00,2.47456895E+4,
560.00,2.61183770E+4,
562.00,2.75095293E+4,
564.00,2.93485957E+4,
566.00,3.09548828E+4,
568.00,3.24030391E+4,
570.00,3.36376289E+4,
572.00,3.61551250E+4,
574.00,3.77285273E+4,
576.00,3.91475117E+4,
578.00,4.04402148E+4,
580.00,4.16879258E+4,
582.00,4.33600977E+4,
584.00,4.53260469E+4,
586.00,4.61890391E+4,
588.00,4.76451133E+4,
590.00,4.85097578E+4,
592.00,5.01028750E+4,
594.00,5.10288516E+4,
596.00,5.15527422E+4,
598.00,5.34990586E+4,
600.00,5.42218633E+4,
602.00,5.36715273E+4,
604.00,5.47157070E+4,
606.00,5.50186875E+4,
608.00,5.58851055E+4,
610.00,5.65009531E+4,
612.00,5.72901875E+4,
614.00,5.72815781E+4,
616.00,5.68730195E+4,
618.00,5.75524805E+4,
620.00,5.77067539E+4,
622.00,5.79047852E+4,
624.00,5.68411367E+4,
626.00,5.73201484E+4,
628.00,5.74419336E+4,
630.00,5.63065977E+4,
632.00,5.66522969E+4,
634.00,5.64828242E+4,
636.00,5.70310078E+4,
638.00,5.59166328E+4,
640.00,5.55794141E+4,
642.00,5.42893672E+4,
644.00,5.47738750E+4,
646.00,5.40123047E+4,
648.00,5.28200625E+4,
650.00,5.15498594E+4,
652.00,5.22434336E+4,
654.00,5.11795859E+4,
656.00,4.89266289E+4,
658.00,4.96296914E+4,
660.00,4.91080742E+4,
662.00,4.70921523E+4,
664.00,4.64505703E+4,
666.00,4.70959219E+4,
668.00,4.59571914E+4,
670.00,4.45344336E+4,
672.00,4.46083711E+4,
674.00,4.30903555E+4,
676.00,4.15930273E+4,
678.00,4.03818867E+4,
680.00,4.02844023E+4,
682.00,3.91319180E+4,
684.00,3.85080664E+4,
686.00,3.79033008E+4,
688.00,3.64109648E+4,
690.00,3.52500469E+4,
692.00,3.46113008E+4,
694.00,3.28950039E+4,
696.00,3.47264531E+4,
698.00,3.34095625E+4,
700.00,3.11242168E+4,
702.00,3.11342363E+4,
704.00,2.97768828E+4,
706.00,2.97031934E+4,
708.00,2.93217051E+4,
710.00,2.85094141E+4,
712.00,2.81896172E+4,
714.00,2.73902051E+4,
716.00,2.68675371E+4,
718.00,2.49600371E+4,
720.00,2.48890449E+4,
722.00,2.31764629E+4,
724.00,2.42339551E+4,
726.00,2.23703574E+4,
728.00,2.29014629E+4,
730.00,2.18198105E+4,
732.00,2.17523574E+4,
734.00,2.15510801E+4,
736.00,2.00984707E+4,
738.00,1.95873027E+4,
740.00,1.91373809E+4,
742.00,1.88387383E+4,
744.00,1.80931055E+4,
746.00,1.79173613E+4,
748.00,1.71226816E+4,
750.00,1.79685391E+4,
752.00,1.70938594E+4,
754.00,1.66498223E+4,
756.00,1.47257490E+4,
758.00,1.59260996E+4,
760.00,1.59546494E+4,
762.00,1.39103008E+4,
764.00,1.48242891E+4,
766.00,1.35342080E+4,
768.00,1.33573896E+4,
770.00,1.36758936E+4,
772.00,1.20841904E+4,
774.00,1.24146455E+4,
776.00,1.11495908E+4,
778.00,1.11726533E+4,
780.00,1.11938623E+4,
782.00,1.02880498E+4,
784.00,1.12590127E+4,
786.00,1.05627344E+4,
788.00,1.01719600E+4,
790.00,9.17656641E+3,
792.00,9.01999707E+3,
794.00,8.97017969E+3,
796.00,8.38567285E+3,
798.00,9.55995996E+3,
800.00,8.66621875E+3,
802.00,7.24438525E+3,
804.00,7.43873926E+3,
806.00,6.77018262E+3,
808.00,7.09413135E+3,
810.00,6.34943604E+3,
812.00,6.90898926E+3,
814.00,6.93087061E+3,
816.00,7.21902100E+3,
818.00,6.08504102E+3,
820.00,5.80858643E+3,
822.00,6.36954688E+3,
824.00,5.31331982E+3,
826.00,5.96276172E+3,
828.00,5.80498975E+3,
830.00,5.57098730E+3,
832.00,5.60533105E+3,
834.00,4.23746143E+3,
836.00,5.10980078E+3,
838.00,4.30292480E+3,
840.00,5.14601855E+3,
842.00,4.21520215E+3,
844.00,5.17636133E+3,
846.00,5.02332227E+3,
848.00,2.85307983E+3,
850.00,3.90009766E+3,
