Labels,2809_ZFFL55_AAN155_1E-6_ACN_exc375_Ba_after fridge 48h,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,4.67134857E+2,
402.00,4.53022125E+2,
404.00,4.36970306E+2,
406.00,6.14368347E+2,
408.00,1.74223962E+3,
410.00,3.00603491E+3,
412.00,1.44674976E+3,
414.00,9.46864380E+2,
416.00,9.95790344E+2,
418.00,1.51919812E+3,
420.00,4.43781006E+3,
422.00,7.35428564E+3,
424.00,4.47251611E+3,
426.00,2.35995728E+3,
428.00,1.97234717E+3,
430.00,2.00229871E+3,
432.00,2.15627539E+3,
434.00,2.48187891E+3,
436.00,2.45494849E+3,
438.00,2.67342358E+3,
440.00,2.89542700E+3,
442.00,3.22064575E+3,
444.00,3.29455859E+3,
446.00,3.67802661E+3,
448.00,3.83906860E+3,
450.00,4.05857397E+3,
452.00,4.15301807E+3,
454.00,4.44324121E+3,
456.00,4.50886133E+3,
458.00,4.83451270E+3,
460.00,4.86636768E+3,
462.00,5.03439111E+3,
464.00,5.28925146E+3,
466.00,5.21824463E+3,
468.00,5.46240479E+3,
470.00,5.46345117E+3,
472.00,5.77580615E+3,
474.00,5.88889746E+3,
476.00,5.82792920E+3,
478.00,5.95672461E+3,
480.00,5.93842920E+3,
482.00,6.09470410E+3,
484.00,6.00357080E+3,
486.00,6.20349023E+3,
488.00,6.06661084E+3,
490.00,6.07438330E+3,
492.00,6.00905713E+3,
494.00,5.88285986E+3,
496.00,6.07123389E+3,
498.00,6.17402393E+3,
500.00,5.89675391E+3,
502.00,5.94253662E+3,
504.00,5.96012158E+3,
506.00,6.11327979E+3,
508.00,6.27193701E+3,
510.00,6.35199512E+3,
512.00,6.31371484E+3,
514.00,6.27495947E+3,
516.00,6.50814600E+3,
518.00,6.85397266E+3,
520.00,7.00115186E+3,
522.00,7.41181396E+3,
524.00,7.50160840E+3,
526.00,8.23162598E+3,
528.00,8.64311621E+3,
530.00,9.23058691E+3,
532.00,9.78569141E+3,
534.00,1.07489395E+4,
536.00,1.14950313E+4,
538.00,1.20562832E+4,
540.00,1.29881689E+4,
542.00,1.42283438E+4,
544.00,1.54860752E+4,
546.00,1.63967227E+4,
548.00,1.74331914E+4,
550.00,1.92540137E+4,
552.00,2.03535098E+4,
554.00,2.19163555E+4,
556.00,2.25749102E+4,
558.00,2.42680156E+4,
560.00,2.62731445E+4,
562.00,2.75347734E+4,
564.00,2.93039492E+4,
566.00,3.08426875E+4,
568.00,3.18777148E+4,
570.00,3.40815469E+4,
572.00,3.57513086E+4,
574.00,3.74699297E+4,
576.00,3.93790391E+4,
578.00,4.02158125E+4,
580.00,4.21676523E+4,
582.00,4.29688398E+4,
584.00,4.51306406E+4,
586.00,4.58195586E+4,
588.00,4.70592891E+4,
590.00,4.81802383E+4,
592.00,4.89764492E+4,
594.00,5.10820820E+4,
596.00,5.11205664E+4,
598.00,5.16004961E+4,
600.00,5.33681289E+4,
602.00,5.37293125E+4,
604.00,5.35967266E+4,
606.00,5.53353281E+4,
608.00,5.54101836E+4,
610.00,5.50644297E+4,
612.00,5.67814336E+4,
614.00,5.61192656E+4,
616.00,5.70789922E+4,
618.00,5.67494102E+4,
620.00,5.71192148E+4,
622.00,5.72737227E+4,
624.00,5.71131445E+4,
626.00,5.69624297E+4,
628.00,5.68709102E+4,
630.00,5.70108203E+4,
632.00,5.67048828E+4,
634.00,5.59600430E+4,
636.00,5.53754883E+4,
638.00,5.46953008E+4,
640.00,5.40856289E+4,
642.00,5.33231875E+4,
644.00,5.32596680E+4,
646.00,5.22514414E+4,
648.00,5.28380898E+4,
650.00,5.19753477E+4,
652.00,5.15298047E+4,
654.00,5.03291836E+4,
656.00,4.97688203E+4,
658.00,4.92133633E+4,
660.00,4.79785625E+4,
662.00,4.71277656E+4,
664.00,4.66672539E+4,
666.00,4.58170508E+4,
668.00,4.53616914E+4,
670.00,4.41913398E+4,
672.00,4.29776602E+4,
674.00,4.27735547E+4,
676.00,4.05757969E+4,
678.00,4.11549648E+4,
680.00,3.96221953E+4,
682.00,3.85430703E+4,
684.00,3.82559102E+4,
686.00,3.69271406E+4,
688.00,3.54535781E+4,
690.00,3.52245742E+4,
692.00,3.50835859E+4,
694.00,3.46675781E+4,
696.00,3.27194277E+4,
698.00,3.28943633E+4,
700.00,3.16483672E+4,
702.00,3.04561094E+4,
704.00,3.00022207E+4,
706.00,2.91529492E+4,
708.00,2.84884688E+4,
710.00,2.69691191E+4,
712.00,2.69339023E+4,
714.00,2.81039375E+4,
716.00,2.57672734E+4,
718.00,2.49183613E+4,
720.00,2.61793438E+4,
722.00,2.50996660E+4,
724.00,2.43865938E+4,
726.00,2.26779551E+4,
728.00,2.18946875E+4,
730.00,2.22115293E+4,
732.00,2.12279961E+4,
734.00,2.13709629E+4,
736.00,2.03536699E+4,
738.00,1.94295078E+4,
740.00,1.89424023E+4,
742.00,1.75827012E+4,
744.00,1.87265762E+4,
746.00,1.73117676E+4,
748.00,1.72039395E+4,
750.00,1.71300098E+4,
752.00,1.56959854E+4,
754.00,1.59287568E+4,
756.00,1.59219707E+4,
758.00,1.48884131E+4,
760.00,1.51073701E+4,
762.00,1.47555049E+4,
764.00,1.31576357E+4,
766.00,1.40237695E+4,
768.00,1.30419531E+4,
770.00,1.26233984E+4,
772.00,1.29815107E+4,
774.00,1.21930361E+4,
776.00,1.17320996E+4,
778.00,1.18155371E+4,
780.00,1.02475098E+4,
782.00,1.08392471E+4,
784.00,1.06253174E+4,
786.00,8.68349316E+3,
788.00,9.15153613E+3,
790.00,9.40978223E+3,
792.00,1.04878447E+4,
794.00,8.68979492E+3,
796.00,9.09131836E+3,
798.00,1.02714580E+4,
800.00,8.13568750E+3,
802.00,7.87734863E+3,
804.00,8.73771484E+3,
806.00,8.23939551E+3,
808.00,6.91540381E+3,
810.00,7.60393555E+3,
812.00,6.22728125E+3,
814.00,6.61480176E+3,
816.00,6.95836279E+3,
818.00,6.10324902E+3,
820.00,5.61511523E+3,
822.00,5.35825586E+3,
824.00,6.25506982E+3,
826.00,4.44531836E+3,
828.00,4.97502881E+3,
830.00,5.35692627E+3,
832.00,5.29719531E+3,
834.00,4.13331543E+3,
836.00,4.22308203E+3,
838.00,5.35060205E+3,
840.00,4.45060010E+3,
842.00,4.20461279E+3,
844.00,3.44239673E+3,
846.00,4.29305664E+3,
848.00,3.69173584E+3,
850.00,3.96027832E+3,
