Labels,2809_ZFFL55_AAN155_1E-6_ACN_exc375_Ba_after fridge_O2 1min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.09124756E+2,
402.00,5.32664490E+2,
404.00,6.44635010E+2,
406.00,7.62297791E+2,
408.00,1.94459253E+3,
410.00,3.22753833E+3,
412.00,1.73711426E+3,
414.00,1.14790564E+3,
416.00,1.23971448E+3,
418.00,1.82603552E+3,
420.00,4.67271240E+3,
422.00,7.44843750E+3,
424.00,4.69117627E+3,
426.00,2.64818896E+3,
428.00,2.28007666E+3,
430.00,2.48306445E+3,
432.00,2.86370068E+3,
434.00,2.94421265E+3,
436.00,3.20883374E+3,
438.00,3.27040259E+3,
440.00,3.73134790E+3,
442.00,3.76102344E+3,
444.00,4.00000757E+3,
446.00,4.27888232E+3,
448.00,4.58808691E+3,
450.00,4.81781250E+3,
452.00,4.94824316E+3,
454.00,5.21667480E+3,
456.00,5.44457861E+3,
458.00,5.37553125E+3,
460.00,5.65981250E+3,
462.00,6.16549512E+3,
464.00,5.96608057E+3,
466.00,6.23534863E+3,
468.00,6.45702344E+3,
470.00,6.60382227E+3,
472.00,6.92382373E+3,
474.00,6.87506396E+3,
476.00,7.21301318E+3,
478.00,7.13455273E+3,
480.00,7.20801221E+3,
482.00,7.06758301E+3,
484.00,7.55483105E+3,
486.00,7.39217676E+3,
488.00,7.60298438E+3,
490.00,7.47830811E+3,
492.00,7.83800879E+3,
494.00,7.73611279E+3,
496.00,8.00941553E+3,
498.00,8.21979785E+3,
500.00,8.67631152E+3,
502.00,9.07467871E+3,
504.00,9.29868457E+3,
506.00,1.01705068E+4,
508.00,1.10799727E+4,
510.00,1.19568555E+4,
512.00,1.33028574E+4,
514.00,1.50016230E+4,
516.00,1.65461953E+4,
518.00,1.94110977E+4,
520.00,2.20863867E+4,
522.00,2.50127090E+4,
524.00,2.89072930E+4,
526.00,3.29987617E+4,
528.00,3.79056953E+4,
530.00,4.29667852E+4,
532.00,4.85718750E+4,
534.00,5.46690898E+4,
536.00,6.13383242E+4,
538.00,6.89652031E+4,
540.00,7.69334297E+4,
542.00,8.54277266E+4,
544.00,9.55500156E+4,
546.00,1.04225742E+5,
548.00,1.14528188E+5,
550.00,1.24943398E+5,
552.00,1.36121125E+5,
554.00,1.46669594E+5,
556.00,1.59579719E+5,
558.00,1.72869797E+5,
560.00,1.83429141E+5,
562.00,1.95933516E+5,
564.00,2.10755328E+5,
566.00,2.22724813E+5,
568.00,2.38107953E+5,
570.00,2.48889375E+5,
572.00,2.62099406E+5,
574.00,2.74824438E+5,
576.00,2.87496344E+5,
578.00,2.99764906E+5,
580.00,3.12976125E+5,
582.00,3.22301938E+5,
584.00,3.35564031E+5,
586.00,3.47181031E+5,
588.00,3.57689188E+5,
590.00,3.68534313E+5,
592.00,3.76865031E+5,
594.00,3.85379031E+5,
596.00,3.93900719E+5,
598.00,4.00312531E+5,
600.00,4.06207531E+5,
602.00,4.13176531E+5,
604.00,4.18463063E+5,
606.00,4.22656438E+5,
608.00,4.28146188E+5,
610.00,4.30453781E+5,
612.00,4.35870781E+5,
614.00,4.35945000E+5,
616.00,4.34947500E+5,
618.00,4.39064875E+5,
620.00,4.40233063E+5,
622.00,4.40069625E+5,
624.00,4.40744156E+5,
626.00,4.43584750E+5,
628.00,4.41334750E+5,
630.00,4.38852000E+5,
632.00,4.35056063E+5,
634.00,4.35081219E+5,
636.00,4.31375531E+5,
638.00,4.29845469E+5,
640.00,4.27716375E+5,
642.00,4.26191875E+5,
644.00,4.17158750E+5,
646.00,4.18139500E+5,
648.00,4.10300063E+5,
650.00,4.05068281E+5,
652.00,3.99206969E+5,
654.00,3.97089969E+5,
656.00,3.91544625E+5,
658.00,3.86418344E+5,
660.00,3.78604313E+5,
662.00,3.71410531E+5,
664.00,3.65977219E+5,
666.00,3.63283750E+5,
668.00,3.59815500E+5,
670.00,3.50532719E+5,
672.00,3.44083313E+5,
674.00,3.36249375E+5,
676.00,3.29826094E+5,
678.00,3.23278250E+5,
680.00,3.17624844E+5,
682.00,3.10841656E+5,
684.00,3.03990438E+5,
686.00,2.99241625E+5,
688.00,2.91473688E+5,
690.00,2.88386375E+5,
692.00,2.81422594E+5,
694.00,2.73357219E+5,
696.00,2.70054688E+5,
698.00,2.62876875E+5,
700.00,2.55409125E+5,
702.00,2.50169391E+5,
704.00,2.44915391E+5,
706.00,2.41759469E+5,
708.00,2.34475281E+5,
710.00,2.28949344E+5,
712.00,2.25639234E+5,
714.00,2.20300703E+5,
716.00,2.18262203E+5,
718.00,2.15279297E+5,
720.00,2.04807031E+5,
722.00,2.01575234E+5,
724.00,1.95318953E+5,
726.00,1.90423438E+5,
728.00,1.86499438E+5,
730.00,1.82717375E+5,
732.00,1.77905359E+5,
734.00,1.74305016E+5,
736.00,1.67299922E+5,
738.00,1.62950484E+5,
740.00,1.65351453E+5,
742.00,1.59957531E+5,
744.00,1.54972156E+5,
746.00,1.50078922E+5,
748.00,1.45229547E+5,
750.00,1.40283719E+5,
752.00,1.40596078E+5,
754.00,1.33588016E+5,
756.00,1.30130258E+5,
758.00,1.27979820E+5,
760.00,1.22589969E+5,
762.00,1.19935117E+5,
764.00,1.16968688E+5,
766.00,1.17046555E+5,
768.00,1.08935156E+5,
770.00,1.07651195E+5,
772.00,1.05839469E+5,
774.00,1.02509742E+5,
776.00,1.00340570E+5,
778.00,9.66960391E+4,
780.00,9.44246484E+4,
782.00,9.17295391E+4,
784.00,8.82432734E+4,
786.00,8.04109141E+4,
788.00,8.23665234E+4,
790.00,8.04523359E+4,
792.00,7.94282578E+4,
794.00,7.82081094E+4,
796.00,7.43161094E+4,
798.00,7.13444922E+4,
800.00,6.99889609E+4,
802.00,6.89298906E+4,
804.00,6.71075313E+4,
806.00,6.33255078E+4,
808.00,6.34261563E+4,
810.00,6.24473750E+4,
812.00,5.97641055E+4,
814.00,6.09121953E+4,
816.00,5.69548203E+4,
818.00,5.50264102E+4,
820.00,5.27377578E+4,
822.00,5.06921914E+4,
824.00,4.93040078E+4,
826.00,5.10150391E+4,
828.00,4.80299336E+4,
830.00,4.51306758E+4,
832.00,4.30989766E+4,
834.00,4.29443125E+4,
836.00,4.04036992E+4,
838.00,4.22351680E+4,
840.00,4.08161133E+4,
842.00,3.72290273E+4,
844.00,3.71438672E+4,
846.00,3.50556094E+4,
848.00,3.33855234E+4,
850.00,3.14396563E+4,
