Labels,0310_ZFFL55_AAN155_1E-6_ACN_exc375_5min argon,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,2.38482819E+2,
402.00,1.79077744E+2,
404.00,1.88972733E+2,
406.00,2.85067291E+2,
408.00,1.69929260E+3,
410.00,3.09871582E+3,
412.00,1.10587598E+3,
414.00,5.49290405E+2,
416.00,6.20368958E+2,
418.00,1.31042517E+3,
420.00,4.72532275E+3,
422.00,7.66659766E+3,
424.00,4.15430518E+3,
426.00,1.94240198E+3,
428.00,1.73124060E+3,
430.00,1.96431104E+3,
432.00,2.37886914E+3,
434.00,2.69964429E+3,
436.00,3.28646680E+3,
438.00,3.75157788E+3,
440.00,4.45266992E+3,
442.00,5.04854004E+3,
444.00,5.87116748E+3,
446.00,6.49372656E+3,
448.00,7.35350781E+3,
450.00,8.09321143E+3,
452.00,9.25766895E+3,
454.00,1.01842725E+4,
456.00,1.10917646E+4,
458.00,1.20172334E+4,
460.00,1.32237070E+4,
462.00,1.42955918E+4,
464.00,1.53750762E+4,
466.00,1.67400859E+4,
468.00,1.80343066E+4,
470.00,1.92684727E+4,
472.00,2.01350273E+4,
474.00,2.15996289E+4,
476.00,2.25934688E+4,
478.00,2.37272422E+4,
480.00,2.46989688E+4,
482.00,2.54107285E+4,
484.00,2.68135352E+4,
486.00,2.71567344E+4,
488.00,2.79531699E+4,
490.00,2.86770508E+4,
492.00,2.95638965E+4,
494.00,3.00099238E+4,
496.00,3.00518145E+4,
498.00,3.08339180E+4,
500.00,3.07572227E+4,
502.00,3.11287754E+4,
504.00,3.16331191E+4,
506.00,3.17413184E+4,
508.00,3.12450781E+4,
510.00,3.13175293E+4,
512.00,3.20115215E+4,
514.00,3.12136523E+4,
516.00,3.03566602E+4,
518.00,3.10751953E+4,
520.00,3.03037617E+4,
522.00,2.99117402E+4,
524.00,2.98273047E+4,
526.00,2.89797813E+4,
528.00,2.88279492E+4,
530.00,2.84569980E+4,
532.00,2.77827383E+4,
534.00,2.74147578E+4,
536.00,2.69028125E+4,
538.00,2.65168574E+4,
540.00,2.67160332E+4,
542.00,2.63725098E+4,
544.00,2.53275977E+4,
546.00,2.52926738E+4,
548.00,2.47289727E+4,
550.00,2.39146484E+4,
552.00,2.39704160E+4,
554.00,2.32745918E+4,
556.00,2.30077090E+4,
558.00,2.27530488E+4,
560.00,2.23301426E+4,
562.00,2.19660430E+4,
564.00,2.10715371E+4,
566.00,2.05942891E+4,
568.00,2.07777363E+4,
570.00,2.05154316E+4,
572.00,2.08136523E+4,
574.00,2.02019590E+4,
576.00,2.01867539E+4,
578.00,1.96356211E+4,
580.00,1.90752949E+4,
582.00,1.89049355E+4,
584.00,1.92853750E+4,
586.00,1.90055156E+4,
588.00,1.88020469E+4,
590.00,1.83112266E+4,
592.00,1.84900410E+4,
594.00,1.79246816E+4,
596.00,1.79076953E+4,
598.00,1.77769199E+4,
600.00,1.79649609E+4,
602.00,1.78220352E+4,
604.00,1.74092773E+4,
606.00,1.76316484E+4,
608.00,1.74755664E+4,
610.00,1.72377598E+4,
612.00,1.72004512E+4,
614.00,1.68001621E+4,
616.00,1.64205137E+4,
618.00,1.64324063E+4,
620.00,1.64212793E+4,
622.00,1.64407480E+4,
624.00,1.61268770E+4,
626.00,1.61088770E+4,
628.00,1.60133193E+4,
630.00,1.53211670E+4,
632.00,1.58859629E+4,
634.00,1.52315928E+4,
636.00,1.54179746E+4,
638.00,1.54663633E+4,
640.00,1.46790039E+4,
642.00,1.52520645E+4,
644.00,1.50486641E+4,
646.00,1.50039443E+4,
648.00,1.47053418E+4,
650.00,1.44932734E+4,
652.00,1.36801553E+4,
654.00,1.46504932E+4,
656.00,1.42917236E+4,
658.00,1.38919385E+4,
660.00,1.42582188E+4,
662.00,1.31883008E+4,
664.00,1.33828271E+4,
666.00,1.30707490E+4,
668.00,1.36388301E+4,
670.00,1.28471104E+4,
672.00,1.28335195E+4,
674.00,1.24375234E+4,
676.00,1.24142041E+4,
678.00,1.19797734E+4,
680.00,1.23632451E+4,
682.00,1.20628799E+4,
684.00,1.21515723E+4,
686.00,1.16044629E+4,
688.00,1.20387900E+4,
690.00,1.09566611E+4,
692.00,1.09538730E+4,
694.00,1.06100117E+4,
696.00,1.08870225E+4,
698.00,1.02516396E+4,
700.00,1.07720303E+4,
702.00,1.02609297E+4,
704.00,1.10786279E+4,
706.00,1.01721230E+4,
708.00,1.01285127E+4,
710.00,9.83013867E+3,
712.00,1.03711172E+4,
714.00,9.33789551E+3,
716.00,9.46701563E+3,
718.00,9.09758691E+3,
720.00,8.68939063E+3,
722.00,8.41669727E+3,
724.00,8.90611426E+3,
726.00,9.02980762E+3,
728.00,7.72071729E+3,
730.00,8.05714746E+3,
732.00,8.02421582E+3,
734.00,7.67986230E+3,
736.00,7.75593652E+3,
738.00,7.43581104E+3,
740.00,7.60926611E+3,
742.00,7.44493506E+3,
744.00,6.95170215E+3,
746.00,7.31635986E+3,
748.00,6.93579248E+3,
750.00,6.81407129E+3,
752.00,6.27538232E+3,
754.00,6.61510498E+3,
756.00,6.25038135E+3,
758.00,5.90299609E+3,
760.00,6.22826611E+3,
762.00,6.62969580E+3,
764.00,6.09898877E+3,
766.00,5.71833301E+3,
768.00,5.37370361E+3,
770.00,5.36403125E+3,
772.00,5.90990967E+3,
774.00,5.21010303E+3,
776.00,5.79801367E+3,
778.00,4.94966748E+3,
780.00,5.07799854E+3,
782.00,4.19378027E+3,
784.00,4.52527881E+3,
786.00,4.07714941E+3,
788.00,4.46784082E+3,
790.00,4.54630908E+3,
792.00,3.85551904E+3,
794.00,4.18388086E+3,
796.00,4.06878271E+3,
798.00,3.53307764E+3,
800.00,3.87189453E+3,
802.00,3.54450562E+3,
804.00,4.73844385E+3,
806.00,3.29686743E+3,
808.00,3.81490674E+3,
810.00,4.58789941E+3,
812.00,4.14568945E+3,
814.00,3.46352515E+3,
816.00,3.32369897E+3,
818.00,3.03347974E+3,
820.00,3.21846973E+3,
822.00,3.07232715E+3,
824.00,2.53136694E+3,
826.00,2.50961523E+3,
828.00,3.31605469E+3,
830.00,2.56467017E+3,
832.00,2.84330249E+3,
834.00,2.65822290E+3,
836.00,2.30518481E+3,
838.00,3.03316748E+3,
840.00,3.13710938E+3,
842.00,2.69626245E+3,
844.00,2.14343652E+3,
846.00,2.27066626E+3,
848.00,1.54820923E+3,
850.00,1.36364673E+3,
