Labels,0310_ZFFL55_AAN155_1E-6_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,2.29927948E+2,
402.00,1.66377487E+2,
404.00,1.93330948E+2,
406.00,2.11070724E+2,
408.00,1.49769543E+3,
410.00,2.97143774E+3,
412.00,1.35297363E+3,
414.00,5.79875488E+2,
416.00,6.60315430E+2,
418.00,1.25643103E+3,
420.00,3.99936377E+3,
422.00,7.59509912E+3,
424.00,4.77806006E+3,
426.00,2.30340601E+3,
428.00,1.99034265E+3,
430.00,2.28612500E+3,
432.00,2.62917139E+3,
434.00,3.02650757E+3,
436.00,3.54815796E+3,
438.00,3.98962720E+3,
440.00,4.63857666E+3,
442.00,5.26383008E+3,
444.00,6.29903076E+3,
446.00,6.92618018E+3,
448.00,7.97270410E+3,
450.00,8.73683301E+3,
452.00,9.51937402E+3,
454.00,1.10814033E+4,
456.00,1.16853799E+4,
458.00,1.28878311E+4,
460.00,1.38013320E+4,
462.00,1.48115576E+4,
464.00,1.57257695E+4,
466.00,1.70289414E+4,
468.00,1.78282930E+4,
470.00,1.91581875E+4,
472.00,1.99820977E+4,
474.00,2.17165879E+4,
476.00,2.22784844E+4,
478.00,2.32164531E+4,
480.00,2.38707363E+4,
482.00,2.52427344E+4,
484.00,2.62549590E+4,
486.00,2.65307598E+4,
488.00,2.70450469E+4,
490.00,2.80200371E+4,
492.00,2.81534785E+4,
494.00,2.88802598E+4,
496.00,2.85632188E+4,
498.00,2.89463516E+4,
500.00,2.99171992E+4,
502.00,2.93476367E+4,
504.00,2.93430957E+4,
506.00,2.96995508E+4,
508.00,2.86808574E+4,
510.00,2.90284902E+4,
512.00,2.89503809E+4,
514.00,2.86639648E+4,
516.00,2.83394414E+4,
518.00,2.79247305E+4,
520.00,2.77820039E+4,
522.00,2.70227773E+4,
524.00,2.62243535E+4,
526.00,2.56401719E+4,
528.00,2.53394316E+4,
530.00,2.48309473E+4,
532.00,2.43298105E+4,
534.00,2.38482246E+4,
536.00,2.30776895E+4,
538.00,2.22761035E+4,
540.00,2.12457988E+4,
542.00,2.17388438E+4,
544.00,2.04482832E+4,
546.00,1.96374629E+4,
548.00,1.88596445E+4,
550.00,1.89962949E+4,
552.00,1.79522266E+4,
554.00,1.77871328E+4,
556.00,1.74779648E+4,
558.00,1.64061191E+4,
560.00,1.60538613E+4,
562.00,1.54634482E+4,
564.00,1.51118213E+4,
566.00,1.40214717E+4,
568.00,1.38645059E+4,
570.00,1.32590176E+4,
572.00,1.27760947E+4,
574.00,1.25130732E+4,
576.00,1.22700840E+4,
578.00,1.14023643E+4,
580.00,1.15161816E+4,
582.00,1.09357998E+4,
584.00,1.02314492E+4,
586.00,9.95100586E+3,
588.00,9.66584668E+3,
590.00,9.38512695E+3,
592.00,9.18119434E+3,
594.00,8.82133789E+3,
596.00,8.79419727E+3,
598.00,7.93672217E+3,
600.00,7.97222119E+3,
602.00,7.91515967E+3,
604.00,7.38797656E+3,
606.00,6.97743652E+3,
608.00,7.02642822E+3,
610.00,6.34289746E+3,
612.00,6.35803955E+3,
614.00,6.29553467E+3,
616.00,6.14282959E+3,
618.00,5.78241260E+3,
620.00,5.92355469E+3,
622.00,5.39066992E+3,
624.00,5.31083545E+3,
626.00,5.20839746E+3,
628.00,4.77491895E+3,
630.00,5.15744385E+3,
632.00,4.73365332E+3,
634.00,4.56409326E+3,
636.00,4.72042773E+3,
638.00,4.21649561E+3,
640.00,3.99867407E+3,
642.00,4.09039771E+3,
644.00,4.01614771E+3,
646.00,3.55660425E+3,
648.00,3.66183716E+3,
650.00,3.78106079E+3,
652.00,3.33949341E+3,
654.00,3.42636182E+3,
656.00,3.41636255E+3,
658.00,3.10871118E+3,
660.00,3.03659766E+3,
662.00,3.04817773E+3,
664.00,2.70704907E+3,
666.00,2.84956323E+3,
668.00,2.58311499E+3,
670.00,2.68276831E+3,
672.00,2.55713745E+3,
674.00,2.61437231E+3,
676.00,2.51571948E+3,
678.00,2.27502319E+3,
680.00,2.40774048E+3,
682.00,2.35253833E+3,
684.00,2.21778906E+3,
686.00,2.00559192E+3,
688.00,2.02459607E+3,
690.00,2.00083472E+3,
692.00,1.94649609E+3,
694.00,1.93170776E+3,
696.00,2.01706030E+3,
698.00,1.96199329E+3,
700.00,1.78633984E+3,
702.00,1.59679309E+3,
704.00,1.50624084E+3,
706.00,1.56505542E+3,
708.00,1.60887720E+3,
710.00,1.72039441E+3,
712.00,1.45955396E+3,
714.00,1.71134106E+3,
716.00,1.62444299E+3,
718.00,1.27680676E+3,
720.00,1.22016504E+3,
722.00,1.20709656E+3,
724.00,1.25759436E+3,
726.00,1.16769177E+3,
728.00,1.14377222E+3,
730.00,1.18217847E+3,
732.00,9.86246277E+2,
734.00,1.28968921E+3,
736.00,1.02174164E+3,
738.00,1.04692700E+3,
740.00,1.11841199E+3,
742.00,1.00911853E+3,
744.00,9.15130066E+2,
746.00,9.42624084E+2,
748.00,9.88686646E+2,
750.00,7.64913696E+2,
752.00,1.00275012E+3,
754.00,8.17643860E+2,
756.00,9.15162476E+2,
758.00,8.35190857E+2,
760.00,8.58605652E+2,
762.00,8.82790100E+2,
764.00,6.91181824E+2,
766.00,6.72769836E+2,
768.00,5.03379120E+2,
770.00,6.41695679E+2,
772.00,6.88366150E+2,
774.00,5.77421692E+2,
776.00,7.78148987E+2,
778.00,8.72192200E+2,
780.00,3.51199951E+2,
782.00,8.53990601E+2,
784.00,6.28371216E+2,
786.00,5.22800049E+2,
788.00,6.46007874E+2,
790.00,7.81389587E+2,
792.00,4.73155029E+2,
794.00,4.91001160E+2,
796.00,6.62205566E+2,
798.00,6.45478638E+2,
800.00,2.00711380E+2,
802.00,7.46101440E+2,
804.00,7.32848755E+2,
806.00,1.08431099E+2,
808.00,5.54593201E+2,
810.00,1.88575272E+2,
812.00,5.05877167E+2,
814.00,5.12706848E+2,
816.00,2.83954529E+2,
818.00,6.16599731E+2,
820.00,1.25446777E+2,
822.00,8.07295471E+2,
824.00,7.88902222E+2,
826.00,7.06764038E+2,
828.00,7.70020447E+2,
830.00,6.44264893E+2,
832.00,6.86669312E+2,
834.00,3.78078735E+2,
836.00,2.39850937E+2,
838.00,6.89460327E+2,
840.00,4.94877167E+2,
842.00,1.10815540E+3,
844.00,4.11457886E+2,
846.00,0.00000000E+0,
848.00,1.14246582E+3,
850.00,5.09143066E+2,
