Labels,0310_ZFFL55_AAN155_1E-6_ACN_exc375_O2_NewSample,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,1.86184845E+2,
402.00,1.70102585E+2,
404.00,1.61500702E+2,
406.00,2.61309387E+2,
408.00,1.76256274E+3,
410.00,3.10209399E+3,
412.00,1.20035583E+3,
414.00,4.98586426E+2,
416.00,5.47261536E+2,
418.00,1.20070630E+3,
420.00,4.41474707E+3,
422.00,7.45491357E+3,
424.00,4.08363916E+3,
426.00,1.97268494E+3,
428.00,1.65322241E+3,
430.00,1.84884985E+3,
432.00,2.18336865E+3,
434.00,2.45946143E+3,
436.00,2.97721265E+3,
438.00,3.24119849E+3,
440.00,4.00122314E+3,
442.00,4.74225635E+3,
444.00,5.43568359E+3,
446.00,5.83255859E+3,
448.00,6.82665430E+3,
450.00,7.43370850E+3,
452.00,8.35056348E+3,
454.00,9.18345996E+3,
456.00,9.84379590E+3,
458.00,1.09575381E+4,
460.00,1.22498516E+4,
462.00,1.28251172E+4,
464.00,1.40491924E+4,
466.00,1.49009385E+4,
468.00,1.61912529E+4,
470.00,1.70038516E+4,
472.00,1.81641426E+4,
474.00,1.90314492E+4,
476.00,1.99257988E+4,
478.00,2.08961191E+4,
480.00,2.17480605E+4,
482.00,2.23900293E+4,
484.00,2.33099414E+4,
486.00,2.36915645E+4,
488.00,2.47392617E+4,
490.00,2.55634922E+4,
492.00,2.56080957E+4,
494.00,2.62047363E+4,
496.00,2.62206504E+4,
498.00,2.63061914E+4,
500.00,2.69629043E+4,
502.00,2.71981328E+4,
504.00,2.72467500E+4,
506.00,2.67817832E+4,
508.00,2.71491504E+4,
510.00,2.68238340E+4,
512.00,2.64626328E+4,
514.00,2.69139883E+4,
516.00,2.61521035E+4,
518.00,2.59604375E+4,
520.00,2.55687285E+4,
522.00,2.57685176E+4,
524.00,2.50140352E+4,
526.00,2.45368535E+4,
528.00,2.43216563E+4,
530.00,2.29739023E+4,
532.00,2.28337637E+4,
534.00,2.22244336E+4,
536.00,2.19216582E+4,
538.00,2.18762754E+4,
540.00,2.07980371E+4,
542.00,2.05673730E+4,
544.00,2.00648652E+4,
546.00,1.92590469E+4,
548.00,1.88536699E+4,
550.00,1.84171523E+4,
552.00,1.77948535E+4,
554.00,1.69799941E+4,
556.00,1.68916094E+4,
558.00,1.61938018E+4,
560.00,1.53773066E+4,
562.00,1.49363057E+4,
564.00,1.47209727E+4,
566.00,1.40845781E+4,
568.00,1.35789795E+4,
570.00,1.33269902E+4,
572.00,1.30133145E+4,
574.00,1.24392627E+4,
576.00,1.18682041E+4,
578.00,1.12960674E+4,
580.00,1.11463369E+4,
582.00,1.11318242E+4,
584.00,1.06377236E+4,
586.00,1.03344688E+4,
588.00,9.67930664E+3,
590.00,9.18687109E+3,
592.00,9.20805957E+3,
594.00,8.62081055E+3,
596.00,8.21406348E+3,
598.00,8.42360352E+3,
600.00,7.96117529E+3,
602.00,7.80324365E+3,
604.00,7.50964551E+3,
606.00,7.04931299E+3,
608.00,7.23767578E+3,
610.00,6.77143066E+3,
612.00,6.88428564E+3,
614.00,6.59632861E+3,
616.00,5.94951953E+3,
618.00,6.28815332E+3,
620.00,5.98051465E+3,
622.00,5.52525977E+3,
624.00,5.68958008E+3,
626.00,5.10611426E+3,
628.00,5.34615332E+3,
630.00,5.08451465E+3,
632.00,4.78014209E+3,
634.00,4.75695947E+3,
636.00,4.34447070E+3,
638.00,4.68244580E+3,
640.00,4.10438281E+3,
642.00,4.18107617E+3,
644.00,4.18409863E+3,
646.00,4.23959033E+3,
648.00,3.93118237E+3,
650.00,3.59922656E+3,
652.00,3.70058618E+3,
654.00,3.52942261E+3,
656.00,3.34744507E+3,
658.00,3.38402295E+3,
660.00,3.04133228E+3,
662.00,3.21791455E+3,
664.00,3.36584253E+3,
666.00,3.00877368E+3,
668.00,2.82333252E+3,
670.00,2.88229688E+3,
672.00,2.88039380E+3,
674.00,2.55108105E+3,
676.00,2.67242676E+3,
678.00,2.53834058E+3,
680.00,2.58876172E+3,
682.00,2.04951245E+3,
684.00,2.26583643E+3,
686.00,2.19293115E+3,
688.00,1.91880615E+3,
690.00,2.04350659E+3,
692.00,1.87695862E+3,
694.00,2.20487280E+3,
696.00,1.66539636E+3,
698.00,1.93995569E+3,
700.00,1.72261975E+3,
702.00,1.99876221E+3,
704.00,1.78091382E+3,
706.00,1.73859070E+3,
708.00,1.84758862E+3,
710.00,1.71159265E+3,
712.00,1.80148071E+3,
714.00,1.44380078E+3,
716.00,1.67985632E+3,
718.00,1.59283862E+3,
720.00,1.59578857E+3,
722.00,1.28384363E+3,
724.00,1.35283887E+3,
726.00,1.29621521E+3,
728.00,1.19892310E+3,
730.00,1.31105164E+3,
732.00,1.33701917E+3,
734.00,1.22421204E+3,
736.00,9.38557678E+2,
738.00,1.00050171E+3,
740.00,1.21391748E+3,
742.00,1.08229346E+3,
744.00,1.20096289E+3,
746.00,1.06053662E+3,
748.00,1.05320410E+3,
750.00,1.07733472E+3,
752.00,9.14951782E+2,
754.00,1.15549927E+3,
756.00,7.96517700E+2,
758.00,8.60731018E+2,
760.00,7.92516479E+2,
762.00,8.72517090E+2,
764.00,8.86965637E+2,
766.00,7.34015991E+2,
768.00,8.06305115E+2,
770.00,7.57583618E+2,
772.00,6.92134583E+2,
774.00,1.16241418E+3,
776.00,8.75651184E+2,
778.00,6.35007019E+2,
780.00,8.34370850E+2,
782.00,3.13819153E+2,
784.00,5.11080078E+2,
786.00,9.43696472E+2,
788.00,5.99345825E+2,
790.00,5.51821716E+2,
792.00,4.22966248E+2,
794.00,5.27644043E+2,
796.00,5.69603821E+2,
798.00,6.83116455E+2,
800.00,5.74087402E+2,
802.00,3.09582214E+2,
804.00,1.02632739E+3,
806.00,3.25949890E+2,
808.00,5.95404114E+2,
810.00,3.07145050E+2,
812.00,8.21587219E+2,
814.00,3.64425476E+2,
816.00,5.74398987E+2,
818.00,5.81356750E+2,
820.00,9.83661682E+2,
822.00,4.75447876E+2,
824.00,1.14431763E+3,
826.00,7.68206360E+2,
828.00,5.94975159E+2,
830.00,6.53556274E+2,
832.00,7.11635376E+2,
834.00,5.73669250E+2,
836.00,0.00000000E+0,
838.00,5.98001587E+2,
840.00,7.63864075E+2,
842.00,6.18891541E+2,
844.00,7.34653076E+2,
846.00,8.56881348E+2,
848.00,2.21684677E+2,
850.00,6.29857239E+2,
