Labels,0310_ZFFL55_AAN155_1E-6_ACN_exc375_argon 1min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,2.50448395E+2,
402.00,2.02009995E+2,
404.00,2.25932465E+2,
406.00,3.12093292E+2,
408.00,1.70792383E+3,
410.00,3.18123950E+3,
412.00,1.35494324E+3,
414.00,6.14683777E+2,
416.00,7.76356506E+2,
418.00,1.33601807E+3,
420.00,4.62653613E+3,
422.00,7.92306592E+3,
424.00,4.94597217E+3,
426.00,2.58504639E+3,
428.00,2.44913013E+3,
430.00,2.82307202E+3,
432.00,3.12704468E+3,
434.00,3.70295752E+3,
436.00,4.36068359E+3,
438.00,4.78326123E+3,
440.00,5.91744580E+3,
442.00,6.76071338E+3,
444.00,7.69862500E+3,
446.00,8.61311230E+3,
448.00,9.66741797E+3,
450.00,1.11565107E+4,
452.00,1.19289766E+4,
454.00,1.32456650E+4,
456.00,1.42678447E+4,
458.00,1.55928740E+4,
460.00,1.69885547E+4,
462.00,1.82400195E+4,
464.00,1.96560605E+4,
466.00,2.12892754E+4,
468.00,2.26401191E+4,
470.00,2.39090254E+4,
472.00,2.51734902E+4,
474.00,2.68587695E+4,
476.00,2.82805352E+4,
478.00,2.91136504E+4,
480.00,3.05569609E+4,
482.00,3.11460918E+4,
484.00,3.20802773E+4,
486.00,3.29866523E+4,
488.00,3.41833750E+4,
490.00,3.45084141E+4,
492.00,3.51637344E+4,
494.00,3.60402891E+4,
496.00,3.61222188E+4,
498.00,3.66067813E+4,
500.00,3.67952852E+4,
502.00,3.69507266E+4,
504.00,3.71282383E+4,
506.00,3.64838906E+4,
508.00,3.65170664E+4,
510.00,3.64682109E+4,
512.00,3.60848203E+4,
514.00,3.55744922E+4,
516.00,3.52285586E+4,
518.00,3.51341328E+4,
520.00,3.46008750E+4,
522.00,3.45406445E+4,
524.00,3.36454805E+4,
526.00,3.31803516E+4,
528.00,3.19523691E+4,
530.00,3.23383164E+4,
532.00,3.17331113E+4,
534.00,3.06121270E+4,
536.00,2.96780391E+4,
538.00,2.91897461E+4,
540.00,2.94932930E+4,
542.00,2.83540859E+4,
544.00,2.84498984E+4,
546.00,2.72352168E+4,
548.00,2.73828691E+4,
550.00,2.57591289E+4,
552.00,2.56217168E+4,
554.00,2.54639141E+4,
556.00,2.49240781E+4,
558.00,2.41658945E+4,
560.00,2.33945605E+4,
562.00,2.39695957E+4,
564.00,2.29402598E+4,
566.00,2.24739648E+4,
568.00,2.15619668E+4,
570.00,2.19523340E+4,
572.00,2.17316172E+4,
574.00,2.17768848E+4,
576.00,2.09979863E+4,
578.00,2.08402969E+4,
580.00,2.13355176E+4,
582.00,2.01944375E+4,
584.00,2.05168027E+4,
586.00,2.02613125E+4,
588.00,1.98284082E+4,
590.00,2.02353574E+4,
592.00,1.94110078E+4,
594.00,1.92256934E+4,
596.00,1.93670273E+4,
598.00,1.87293965E+4,
600.00,1.88484023E+4,
602.00,1.88849258E+4,
604.00,1.87224219E+4,
606.00,1.86319727E+4,
608.00,1.83168262E+4,
610.00,1.83719180E+4,
612.00,1.83345684E+4,
614.00,1.81167207E+4,
616.00,1.85539531E+4,
618.00,1.77341582E+4,
620.00,1.79192715E+4,
622.00,1.77525020E+4,
624.00,1.75769141E+4,
626.00,1.78820078E+4,
628.00,1.81169492E+4,
630.00,1.75781367E+4,
632.00,1.75345293E+4,
634.00,1.72123926E+4,
636.00,1.75902832E+4,
638.00,1.71618848E+4,
640.00,1.73592773E+4,
642.00,1.73034297E+4,
644.00,1.69600176E+4,
646.00,1.69031348E+4,
648.00,1.68771074E+4,
650.00,1.62577090E+4,
652.00,1.54399639E+4,
654.00,1.60280225E+4,
656.00,1.57236582E+4,
658.00,1.61773242E+4,
660.00,1.55082646E+4,
662.00,1.56558555E+4,
664.00,1.54578857E+4,
666.00,1.53590859E+4,
668.00,1.56468555E+4,
670.00,1.49524092E+4,
672.00,1.51891035E+4,
674.00,1.45035625E+4,
676.00,1.45069092E+4,
678.00,1.43754395E+4,
680.00,1.39125859E+4,
682.00,1.40880957E+4,
684.00,1.36036846E+4,
686.00,1.29410957E+4,
688.00,1.36063701E+4,
690.00,1.29742627E+4,
692.00,1.29600352E+4,
694.00,1.32500420E+4,
696.00,1.23173047E+4,
698.00,1.27893525E+4,
700.00,1.22114014E+4,
702.00,1.14272275E+4,
704.00,1.22040332E+4,
706.00,1.15807031E+4,
708.00,1.18173281E+4,
710.00,1.18896523E+4,
712.00,1.07576914E+4,
714.00,1.10763555E+4,
716.00,1.12118818E+4,
718.00,1.13977256E+4,
720.00,1.08939756E+4,
722.00,1.13912158E+4,
724.00,1.07948301E+4,
726.00,1.00887520E+4,
728.00,9.84449316E+3,
730.00,9.33311816E+3,
732.00,1.00599756E+4,
734.00,8.63529492E+3,
736.00,9.25900684E+3,
738.00,9.08205176E+3,
740.00,9.01908984E+3,
742.00,8.62892090E+3,
744.00,8.44005078E+3,
746.00,8.23579004E+3,
748.00,8.01462988E+3,
750.00,8.79455273E+3,
752.00,8.34008496E+3,
754.00,8.25346875E+3,
756.00,8.13374414E+3,
758.00,8.05891455E+3,
760.00,8.23935645E+3,
762.00,7.95175098E+3,
764.00,7.14652148E+3,
766.00,7.03935938E+3,
768.00,6.19716162E+3,
770.00,6.94149805E+3,
772.00,6.08638379E+3,
774.00,6.05084814E+3,
776.00,6.03180713E+3,
778.00,6.14161084E+3,
780.00,6.53261230E+3,
782.00,6.60439209E+3,
784.00,5.84213135E+3,
786.00,4.57147363E+3,
788.00,4.94024316E+3,
790.00,5.09447998E+3,
792.00,5.09278857E+3,
794.00,5.12741846E+3,
796.00,5.00770508E+3,
798.00,4.66940918E+3,
800.00,4.16284326E+3,
802.00,4.36728174E+3,
804.00,3.58975000E+3,
806.00,4.19363867E+3,
808.00,4.71614551E+3,
810.00,3.45730737E+3,
812.00,3.25784570E+3,
814.00,4.62794775E+3,
816.00,3.04885815E+3,
818.00,3.52398975E+3,
820.00,3.92742505E+3,
822.00,3.41921680E+3,
824.00,3.69010156E+3,
826.00,3.18202612E+3,
828.00,3.17147021E+3,
830.00,3.70029126E+3,
832.00,2.65375635E+3,
834.00,2.37025000E+3,
836.00,2.92742017E+3,
838.00,2.46561353E+3,
840.00,2.49405688E+3,
842.00,3.52581348E+3,
844.00,1.83315552E+3,
846.00,3.63639697E+3,
848.00,3.14877344E+3,
850.00,2.14367896E+3,
