Labels,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_1min Argon,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,4.42705048E+2,
402.00,3.19519012E+2,
404.00,3.25487366E+2,
406.00,3.79326202E+2,
408.00,1.74179358E+3,
410.00,3.18374292E+3,
412.00,1.29359241E+3,
414.00,5.82446472E+2,
416.00,6.24413025E+2,
418.00,1.08330713E+3,
420.00,4.06121533E+3,
422.00,7.28205371E+3,
424.00,4.02641162E+3,
426.00,1.37611194E+3,
428.00,7.73478027E+2,
430.00,6.34313538E+2,
432.00,6.07428772E+2,
434.00,6.45531799E+2,
436.00,7.14985168E+2,
438.00,7.31682251E+2,
440.00,7.02015137E+2,
442.00,7.66487305E+2,
444.00,6.76745117E+2,
446.00,7.43328247E+2,
448.00,7.55670349E+2,
450.00,7.57712097E+2,
452.00,7.23367188E+2,
454.00,8.02226746E+2,
456.00,7.89322754E+2,
458.00,7.09469421E+2,
460.00,7.47750732E+2,
462.00,7.76304016E+2,
464.00,7.80176941E+2,
466.00,7.17771057E+2,
468.00,8.02802856E+2,
470.00,7.40711182E+2,
472.00,8.17677734E+2,
474.00,7.76162659E+2,
476.00,8.18605225E+2,
478.00,7.52975220E+2,
480.00,7.92835876E+2,
482.00,8.16089539E+2,
484.00,7.41539612E+2,
486.00,8.69036926E+2,
488.00,7.88084534E+2,
490.00,7.98937927E+2,
492.00,8.48202393E+2,
494.00,8.66768982E+2,
496.00,8.98204407E+2,
498.00,9.01342529E+2,
500.00,9.28097229E+2,
502.00,1.06453198E+3,
504.00,1.25289185E+3,
506.00,1.19413245E+3,
508.00,1.26707202E+3,
510.00,1.47501306E+3,
512.00,1.66048279E+3,
514.00,1.96428210E+3,
516.00,2.29016406E+3,
518.00,2.72334839E+3,
520.00,2.92080713E+3,
522.00,3.23790552E+3,
524.00,3.78174976E+3,
526.00,4.45720850E+3,
528.00,4.99519580E+3,
530.00,5.70300049E+3,
532.00,6.74710352E+3,
534.00,7.70603027E+3,
536.00,8.49386230E+3,
538.00,9.59998828E+3,
540.00,1.07632480E+4,
542.00,1.16547852E+4,
544.00,1.32469990E+4,
546.00,1.47811260E+4,
548.00,1.61286807E+4,
550.00,1.77696074E+4,
552.00,1.89373164E+4,
554.00,2.02733906E+4,
556.00,2.23694570E+4,
558.00,2.38262852E+4,
560.00,2.57281523E+4,
562.00,2.73755449E+4,
564.00,2.92705195E+4,
566.00,3.11217539E+4,
568.00,3.28227734E+4,
570.00,3.47670781E+4,
572.00,3.65614766E+4,
574.00,3.78411797E+4,
576.00,4.04936250E+4,
578.00,4.14436680E+4,
580.00,4.35147227E+4,
582.00,4.59038242E+4,
584.00,4.68438047E+4,
586.00,4.86247891E+4,
588.00,4.98929961E+4,
590.00,5.16434102E+4,
592.00,5.26691250E+4,
594.00,5.34242305E+4,
596.00,5.48804023E+4,
598.00,5.63216641E+4,
600.00,5.64437070E+4,
602.00,5.72926758E+4,
604.00,5.93043516E+4,
606.00,5.89106680E+4,
608.00,6.00229219E+4,
610.00,6.01230820E+4,
612.00,6.05417070E+4,
614.00,6.16313164E+4,
616.00,6.15050938E+4,
618.00,6.13698203E+4,
620.00,6.21023672E+4,
622.00,6.09995469E+4,
624.00,6.10640313E+4,
626.00,6.15011758E+4,
628.00,6.20587500E+4,
630.00,6.07329453E+4,
632.00,6.10487695E+4,
634.00,6.10436406E+4,
636.00,6.05734063E+4,
638.00,5.93439531E+4,
640.00,5.97787344E+4,
642.00,5.85781172E+4,
644.00,5.96806250E+4,
646.00,5.73420078E+4,
648.00,5.69799766E+4,
650.00,5.71496406E+4,
652.00,5.60299766E+4,
654.00,5.48933477E+4,
656.00,5.49173477E+4,
658.00,5.29199609E+4,
660.00,5.30824570E+4,
662.00,5.29763828E+4,
664.00,5.24149219E+4,
666.00,5.06816602E+4,
668.00,4.95837109E+4,
670.00,4.87085586E+4,
672.00,4.76784688E+4,
674.00,4.72434492E+4,
676.00,4.64266055E+4,
678.00,4.45690703E+4,
680.00,4.38129883E+4,
682.00,4.30458984E+4,
684.00,4.24042305E+4,
686.00,4.13885156E+4,
688.00,4.02263438E+4,
690.00,4.00160586E+4,
692.00,3.91844805E+4,
694.00,3.85743789E+4,
696.00,3.71668125E+4,
698.00,3.64906992E+4,
700.00,3.73600313E+4,
702.00,3.61701797E+4,
704.00,3.43080703E+4,
706.00,3.35925273E+4,
708.00,3.30057930E+4,
710.00,3.21659180E+4,
712.00,3.19245176E+4,
714.00,2.95761895E+4,
716.00,2.90335332E+4,
718.00,2.78547793E+4,
720.00,2.85504551E+4,
722.00,2.77168711E+4,
724.00,2.73175742E+4,
726.00,2.63194609E+4,
728.00,2.45831563E+4,
730.00,2.59552500E+4,
732.00,2.40432754E+4,
734.00,2.56253789E+4,
736.00,2.32172930E+4,
738.00,2.33308477E+4,
740.00,2.22940664E+4,
742.00,2.29004180E+4,
744.00,2.07967656E+4,
746.00,2.03213555E+4,
748.00,1.99615039E+4,
750.00,1.93046641E+4,
752.00,1.97506621E+4,
754.00,1.78955059E+4,
756.00,1.81395586E+4,
758.00,1.66021699E+4,
760.00,1.58602344E+4,
762.00,1.62309893E+4,
764.00,1.52098145E+4,
766.00,1.56539492E+4,
768.00,1.55444639E+4,
770.00,1.39137197E+4,
772.00,1.42191484E+4,
774.00,1.43716689E+4,
776.00,1.28877783E+4,
778.00,1.20371074E+4,
780.00,1.25584902E+4,
782.00,1.10441533E+4,
784.00,1.16486680E+4,
786.00,1.25630254E+4,
788.00,1.11601152E+4,
790.00,1.02180313E+4,
792.00,9.59801563E+3,
794.00,1.05570000E+4,
796.00,9.94874414E+3,
798.00,1.03630967E+4,
800.00,9.41582031E+3,
802.00,8.57812988E+3,
804.00,9.69744238E+3,
806.00,7.98222803E+3,
808.00,7.57741895E+3,
810.00,8.26236426E+3,
812.00,6.94031543E+3,
814.00,8.09197266E+3,
816.00,7.55413916E+3,
818.00,7.40575342E+3,
820.00,6.36570898E+3,
822.00,5.90002051E+3,
824.00,4.84540039E+3,
826.00,5.40351270E+3,
828.00,5.62925537E+3,
830.00,5.84802783E+3,
832.00,5.96590186E+3,
834.00,4.85962207E+3,
836.00,4.44574707E+3,
838.00,4.84446826E+3,
840.00,5.51387549E+3,
842.00,4.70549951E+3,
844.00,5.22208008E+3,
846.00,3.52920752E+3,
848.00,4.68616504E+3,
850.00,4.16976904E+3,
