Labels,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_5min Argon,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,4.24505615E+2,
402.00,2.89183563E+2,
404.00,3.16683990E+2,
406.00,3.93808411E+2,
408.00,1.89511523E+3,
410.00,3.13213379E+3,
412.00,1.16858899E+3,
414.00,5.26015442E+2,
416.00,5.27338257E+2,
418.00,1.01154047E+3,
420.00,4.45901758E+3,
422.00,7.32667871E+3,
424.00,3.71966187E+3,
426.00,1.17217456E+3,
428.00,6.20663757E+2,
430.00,5.89643616E+2,
432.00,5.07005676E+2,
434.00,5.46554626E+2,
436.00,5.12952759E+2,
438.00,4.50690277E+2,
440.00,4.90804382E+2,
442.00,4.95785187E+2,
444.00,5.39366211E+2,
446.00,4.44963989E+2,
448.00,4.93785126E+2,
450.00,5.13053223E+2,
452.00,4.29637207E+2,
454.00,4.63197144E+2,
456.00,4.75621796E+2,
458.00,4.04087036E+2,
460.00,4.69401489E+2,
462.00,4.06394470E+2,
464.00,4.38651215E+2,
466.00,3.97891235E+2,
468.00,3.97040741E+2,
470.00,4.37377441E+2,
472.00,4.41769073E+2,
474.00,3.95919647E+2,
476.00,3.73687958E+2,
478.00,4.09043335E+2,
480.00,3.45980286E+2,
482.00,3.98587341E+2,
484.00,3.74668335E+2,
486.00,3.61726501E+2,
488.00,3.70292694E+2,
490.00,4.16704651E+2,
492.00,4.18515442E+2,
494.00,3.77495575E+2,
496.00,4.12764984E+2,
498.00,4.42894928E+2,
500.00,5.66144104E+2,
502.00,5.53825867E+2,
504.00,7.08893005E+2,
506.00,7.62830933E+2,
508.00,7.77642334E+2,
510.00,1.03939624E+3,
512.00,1.08857300E+3,
514.00,1.29741248E+3,
516.00,1.61336084E+3,
518.00,1.98269788E+3,
520.00,2.20620605E+3,
522.00,2.64989404E+3,
524.00,3.17782275E+3,
526.00,3.54248584E+3,
528.00,4.20328809E+3,
530.00,4.89142529E+3,
532.00,5.64006348E+3,
534.00,6.25858350E+3,
536.00,6.90722070E+3,
538.00,8.18076563E+3,
540.00,9.10554785E+3,
542.00,1.01583662E+4,
544.00,1.12483545E+4,
546.00,1.25351191E+4,
548.00,1.34760391E+4,
550.00,1.44946484E+4,
552.00,1.61573643E+4,
554.00,1.72173711E+4,
556.00,1.92659531E+4,
558.00,2.04463047E+4,
560.00,2.19006699E+4,
562.00,2.41378652E+4,
564.00,2.48671641E+4,
566.00,2.63268984E+4,
568.00,2.78170879E+4,
570.00,2.96497891E+4,
572.00,3.11770352E+4,
574.00,3.32380742E+4,
576.00,3.42978867E+4,
578.00,3.61590938E+4,
580.00,3.70683125E+4,
582.00,3.90410352E+4,
584.00,4.05681992E+4,
586.00,4.14215078E+4,
588.00,4.32246523E+4,
590.00,4.41974805E+4,
592.00,4.53369648E+4,
594.00,4.56426992E+4,
596.00,4.65110156E+4,
598.00,4.81520078E+4,
600.00,4.83567695E+4,
602.00,4.91771055E+4,
604.00,5.14208047E+4,
606.00,5.00341172E+4,
608.00,5.06216563E+4,
610.00,5.18756211E+4,
612.00,5.23020117E+4,
614.00,5.19387695E+4,
616.00,5.29002422E+4,
618.00,5.28337031E+4,
620.00,5.33435781E+4,
622.00,5.24647070E+4,
624.00,5.28288203E+4,
626.00,5.32674102E+4,
628.00,5.25418047E+4,
630.00,5.39398828E+4,
632.00,5.20785039E+4,
634.00,5.30112813E+4,
636.00,5.08781211E+4,
638.00,5.13349844E+4,
640.00,5.10010781E+4,
642.00,5.13977305E+4,
644.00,5.02884414E+4,
646.00,4.91144844E+4,
648.00,4.88279336E+4,
650.00,4.87614922E+4,
652.00,4.88076523E+4,
654.00,4.73393516E+4,
656.00,4.71294805E+4,
658.00,4.63388086E+4,
660.00,4.56426250E+4,
662.00,4.48578633E+4,
664.00,4.41322188E+4,
666.00,4.31052305E+4,
668.00,4.33853711E+4,
670.00,4.23156992E+4,
672.00,4.21481445E+4,
674.00,3.93945508E+4,
676.00,3.94268945E+4,
678.00,3.85079180E+4,
680.00,3.84515156E+4,
682.00,3.68779648E+4,
684.00,3.66442695E+4,
686.00,3.63537266E+4,
688.00,3.48621758E+4,
690.00,3.41181563E+4,
692.00,3.40620977E+4,
694.00,3.22197715E+4,
696.00,3.26161445E+4,
698.00,3.10921582E+4,
700.00,3.00600664E+4,
702.00,3.10428223E+4,
704.00,2.99525273E+4,
706.00,2.70882598E+4,
708.00,2.86966797E+4,
710.00,2.73577129E+4,
712.00,2.60823516E+4,
714.00,2.72957188E+4,
716.00,2.56808809E+4,
718.00,2.49908242E+4,
720.00,2.40127773E+4,
722.00,2.46405488E+4,
724.00,2.31613359E+4,
726.00,2.27612656E+4,
728.00,2.28436875E+4,
730.00,2.16884512E+4,
732.00,2.07760020E+4,
734.00,2.05993379E+4,
736.00,2.04512832E+4,
738.00,1.89302324E+4,
740.00,1.97608086E+4,
742.00,1.92984746E+4,
744.00,1.79358770E+4,
746.00,1.80903242E+4,
748.00,1.66836973E+4,
750.00,1.62639004E+4,
752.00,1.69156758E+4,
754.00,1.57018740E+4,
756.00,1.47317178E+4,
758.00,1.53391572E+4,
760.00,1.41833965E+4,
762.00,1.41573506E+4,
764.00,1.38625967E+4,
766.00,1.34762783E+4,
768.00,1.30616611E+4,
770.00,1.22992246E+4,
772.00,1.26886582E+4,
774.00,1.13522207E+4,
776.00,1.21394561E+4,
778.00,1.10605508E+4,
780.00,1.09554404E+4,
782.00,1.02545400E+4,
784.00,1.10836406E+4,
786.00,9.69015625E+3,
788.00,1.01610195E+4,
790.00,9.43131348E+3,
792.00,9.95031055E+3,
794.00,8.43489746E+3,
796.00,9.58962207E+3,
798.00,8.35305371E+3,
800.00,8.29806641E+3,
802.00,7.84188721E+3,
804.00,8.27382715E+3,
806.00,8.54298633E+3,
808.00,5.88216406E+3,
810.00,7.59895068E+3,
812.00,6.48228027E+3,
814.00,6.99333594E+3,
816.00,7.00509766E+3,
818.00,6.82302393E+3,
820.00,6.63709082E+3,
822.00,6.56203662E+3,
824.00,5.82978955E+3,
826.00,6.12304346E+3,
828.00,5.58526563E+3,
830.00,6.51174951E+3,
832.00,4.68016064E+3,
834.00,4.55818750E+3,
836.00,5.16046484E+3,
838.00,4.72873779E+3,
840.00,4.91411035E+3,
842.00,4.55905127E+3,
844.00,4.26518506E+3,
846.00,3.82759912E+3,
848.00,3.92269019E+3,
850.00,3.89730005E+3,
