Labels,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,3.16471863E+2,
402.00,2.56830017E+2,
404.00,2.59911987E+2,
406.00,3.25614532E+2,
408.00,1.58481177E+3,
410.00,3.00721680E+3,
412.00,1.25269971E+3,
414.00,3.96023163E+2,
416.00,4.82040192E+2,
418.00,9.68004028E+2,
420.00,3.98272852E+3,
422.00,7.21983057E+3,
424.00,3.92779565E+3,
426.00,1.27185193E+3,
428.00,6.12069702E+2,
430.00,5.92290405E+2,
432.00,5.74468201E+2,
434.00,5.61192383E+2,
436.00,5.63885010E+2,
438.00,5.40540894E+2,
440.00,6.55595154E+2,
442.00,6.41962585E+2,
444.00,6.59731628E+2,
446.00,6.88542969E+2,
448.00,6.87967712E+2,
450.00,7.43664307E+2,
452.00,7.52101318E+2,
454.00,7.81021301E+2,
456.00,7.36588928E+2,
458.00,6.97299744E+2,
460.00,7.46325256E+2,
462.00,8.57454041E+2,
464.00,7.95930969E+2,
466.00,8.56621216E+2,
468.00,8.52188049E+2,
470.00,9.13187500E+2,
472.00,8.71387817E+2,
474.00,8.97947998E+2,
476.00,8.75391785E+2,
478.00,9.39503296E+2,
480.00,9.06881836E+2,
482.00,8.67588562E+2,
484.00,9.23357178E+2,
486.00,9.77556519E+2,
488.00,8.67282654E+2,
490.00,9.58281860E+2,
492.00,9.15869263E+2,
494.00,8.92186707E+2,
496.00,9.73776978E+2,
498.00,9.11856934E+2,
500.00,8.75633423E+2,
502.00,9.66224731E+2,
504.00,9.66575684E+2,
506.00,9.36308105E+2,
508.00,9.89064880E+2,
510.00,1.06607227E+3,
512.00,1.13900732E+3,
514.00,1.07457263E+3,
516.00,1.18284863E+3,
518.00,1.22203223E+3,
520.00,1.30894202E+3,
522.00,1.34446631E+3,
524.00,1.30049561E+3,
526.00,1.56099304E+3,
528.00,1.64303906E+3,
530.00,1.77987439E+3,
532.00,2.04257117E+3,
534.00,2.13452246E+3,
536.00,2.33554736E+3,
538.00,2.52348682E+3,
540.00,2.64163062E+3,
542.00,3.03945068E+3,
544.00,3.21388062E+3,
546.00,3.32407788E+3,
548.00,3.52914355E+3,
550.00,3.74882788E+3,
552.00,4.42312549E+3,
554.00,4.42753320E+3,
556.00,4.84460205E+3,
558.00,5.10755078E+3,
560.00,5.22831641E+3,
562.00,5.85435938E+3,
564.00,5.96935449E+3,
566.00,6.36332813E+3,
568.00,6.68557178E+3,
570.00,7.11737793E+3,
572.00,7.49722998E+3,
574.00,7.29056006E+3,
576.00,7.92168408E+3,
578.00,8.64437207E+3,
580.00,8.59429297E+3,
582.00,9.19054980E+3,
584.00,9.16858789E+3,
586.00,9.31031543E+3,
588.00,9.60427637E+3,
590.00,9.84568164E+3,
592.00,9.96285449E+3,
594.00,1.00598203E+4,
596.00,1.01714443E+4,
598.00,1.04491055E+4,
600.00,1.02072725E+4,
602.00,1.05895771E+4,
604.00,1.07462324E+4,
606.00,1.08219717E+4,
608.00,1.07558535E+4,
610.00,1.10525352E+4,
612.00,1.11624482E+4,
614.00,1.15521777E+4,
616.00,1.13642471E+4,
618.00,1.14408164E+4,
620.00,1.11314512E+4,
622.00,1.11095537E+4,
624.00,1.09273789E+4,
626.00,1.14814971E+4,
628.00,1.07351797E+4,
630.00,1.11337871E+4,
632.00,1.08144512E+4,
634.00,1.11542051E+4,
636.00,1.09902676E+4,
638.00,1.08335938E+4,
640.00,1.03118027E+4,
642.00,1.10203496E+4,
644.00,1.06336406E+4,
646.00,1.05147393E+4,
648.00,1.02527637E+4,
650.00,1.03592910E+4,
652.00,1.01135039E+4,
654.00,9.94490625E+3,
656.00,9.45070410E+3,
658.00,9.58054688E+3,
660.00,9.90797070E+3,
662.00,9.30944824E+3,
664.00,8.94943359E+3,
666.00,9.14433984E+3,
668.00,9.07253027E+3,
670.00,8.66072363E+3,
672.00,8.38976758E+3,
674.00,8.02187109E+3,
676.00,7.95473047E+3,
678.00,8.42130273E+3,
680.00,8.30033789E+3,
682.00,7.84953662E+3,
684.00,7.41557227E+3,
686.00,7.44528809E+3,
688.00,7.69136768E+3,
690.00,6.91596973E+3,
692.00,6.69240771E+3,
694.00,6.80948779E+3,
696.00,6.85895850E+3,
698.00,6.22942920E+3,
700.00,6.48439746E+3,
702.00,6.25612891E+3,
704.00,6.36273682E+3,
706.00,6.01034277E+3,
708.00,5.82552588E+3,
710.00,6.00272119E+3,
712.00,5.79788965E+3,
714.00,5.59668750E+3,
716.00,5.26238721E+3,
718.00,5.12432324E+3,
720.00,5.25514990E+3,
722.00,4.97027100E+3,
724.00,4.85968359E+3,
726.00,4.25012402E+3,
728.00,4.41305762E+3,
730.00,4.17844580E+3,
732.00,4.11955127E+3,
734.00,4.15355859E+3,
736.00,3.63272534E+3,
738.00,4.11587695E+3,
740.00,3.71533154E+3,
742.00,3.38194141E+3,
744.00,3.98100073E+3,
746.00,4.42331348E+3,
748.00,3.77018750E+3,
750.00,3.58010449E+3,
752.00,3.41697314E+3,
754.00,3.24552612E+3,
756.00,3.07890894E+3,
758.00,3.08899902E+3,
760.00,3.13117847E+3,
762.00,2.68793311E+3,
764.00,2.82153174E+3,
766.00,2.37242163E+3,
768.00,2.74625439E+3,
770.00,2.97642871E+3,
772.00,2.74009399E+3,
774.00,2.67314258E+3,
776.00,2.22019238E+3,
778.00,2.33642627E+3,
780.00,2.55562524E+3,
782.00,1.90176868E+3,
784.00,1.63384851E+3,
786.00,2.21871411E+3,
788.00,1.47305005E+3,
790.00,1.91916077E+3,
792.00,1.53063660E+3,
794.00,1.16729895E+3,
796.00,1.19973425E+3,
798.00,1.44838794E+3,
800.00,9.39158691E+2,
802.00,1.07021143E+3,
804.00,1.05409778E+3,
806.00,1.19752026E+3,
808.00,1.22583032E+3,
810.00,1.36400012E+3,
812.00,1.40922974E+3,
814.00,7.53620850E+2,
816.00,1.05985547E+3,
818.00,1.48695276E+3,
820.00,1.01645758E+3,
822.00,6.93557861E+2,
824.00,1.08110925E+3,
826.00,1.15440881E+3,
828.00,5.42840149E+2,
830.00,1.84454376E+2,
832.00,7.01195313E+2,
834.00,4.75897705E+2,
836.00,2.88692810E+2,
838.00,5.92576599E+2,
840.00,7.01238647E+2,
842.00,6.07500610E+2,
844.00,3.13197662E+2,
846.00,4.78881683E+2,
848.00,9.31092224E+2,
850.00,-1.68923813E+2,
