Labels,0310_LIFETIME_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_5min Argon,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

0.00,0.00000000E+0,
4.8828125,0.00000000E+0,
9.7656250,0.00000000E+0,
14.648438,0.00000000E+0,
19.531250,0.00000000E+0,
24.414063,0.00000000E+0,
29.296875,0.00000000E+0,
34.179688,1.00000000E+0,
39.06250,7.00000000E+0,
43.945313,7.00000000E+0,
48.828125,9.00000000E+0,
53.710938,3.45000000E+2,
58.593750,3.59000000E+2,
63.476563,9.40000000E+1,
68.359375,3.30000000E+1,
73.242188,1.60000000E+1,
78.1250,1.70000000E+1,
83.007813,2.90000000E+1,
87.890625,2.10000000E+1,
92.773438,1.90000000E+1,
97.656250,1.70000000E+1,
102.539060,2.10000000E+1,
107.421880,1.10000000E+1,
112.304690,1.40000000E+1,
117.187500,1.30000000E+1,
122.070310,2.20000000E+1,
126.953130,1.10000000E+1,
131.835940,1.30000000E+1,
136.718750,1.90000000E+1,
141.601560,1.90000000E+1,
146.484380,1.70000000E+1,
151.367190,1.50000000E+1,
156.2500,1.70000000E+1,
161.132810,1.00000000E+1,
166.015630,6.00000000E+0,
170.898440,1.50000000E+1,
175.781250,1.50000000E+1,
180.664060,1.40000000E+1,
185.546880,1.40000000E+1,
190.429690,1.40000000E+1,
195.312500,1.70000000E+1,
200.195310,1.00000000E+1,
205.078130,1.30000000E+1,
209.960940,9.00000000E+0,
214.843750,1.00000000E+1,
219.726560,1.60000000E+1,
224.609380,1.60000000E+1,
229.492190,1.10000000E+1,
234.37500,1.20000000E+1,
239.257810,1.90000000E+1,
244.140630,1.40000000E+1,
249.023440,1.50000000E+1,
253.906250,9.00000000E+0,
258.789060,1.10000000E+1,
263.671880,1.60000000E+1,
268.554690,1.80000000E+1,
273.437500,8.00000000E+0,
278.320310,5.00000000E+0,
283.203130,1.00000000E+1,
288.085940,8.00000000E+0,
292.968750,1.40000000E+1,
297.851560,1.70000000E+1,
302.734380,1.10000000E+1,
307.617190,9.00000000E+0,
312.500,1.30000000E+1,
317.382810,7.00000000E+0,
322.265630,9.00000000E+0,
327.148440,6.00000000E+0,
332.031250,8.00000000E+0,
336.914060,5.00000000E+0,
341.796880,1.50000000E+1,
346.679690,1.30000000E+1,
351.562500,1.10000000E+1,
356.445310,7.00000000E+0,
361.328130,1.60000000E+1,
366.210940,7.00000000E+0,
371.093750,1.10000000E+1,
375.976560,1.20000000E+1,
380.859380,1.30000000E+1,
385.742190,1.50000000E+1,
390.62500,1.00000000E+1,
395.507810,1.40000000E+1,
400.390630,8.00000000E+0,
405.273440,1.70000000E+1,
410.156250,9.00000000E+0,
415.039060,1.70000000E+1,
419.921880,1.10000000E+1,
424.804690,1.30000000E+1,
429.687500,1.40000000E+1,
434.570310,5.00000000E+0,
439.453130,1.00000000E+1,
444.335940,1.20000000E+1,
449.218750,6.00000000E+0,
454.101560,8.00000000E+0,
458.984380,1.20000000E+1,
463.867190,1.00000000E+1,
468.7500,1.40000000E+1,
473.632810,1.00000000E+1,
478.515630,1.00000000E+1,
483.398440,2.00000000E+1,
488.281250,1.20000000E+1,
493.164060,9.00000000E+0,
498.046880,9.00000000E+0,
502.929690,1.20000000E+1,
507.812500,1.20000000E+1,
512.695310,1.70000000E+1,
517.578130,7.00000000E+0,
522.460940,9.00000000E+0,
527.343750,9.00000000E+0,
532.226560,1.10000000E+1,
537.109380,8.00000000E+0,
541.992190,1.40000000E+1,
546.87500,8.00000000E+0,
551.757810,8.00000000E+0,
556.640630,1.00000000E+1,
561.523440,9.00000000E+0,
566.406250,1.70000000E+1,
571.289060,9.00000000E+0,
576.171880,9.00000000E+0,
581.054690,1.60000000E+1,
585.937500,1.00000000E+1,
590.820310,8.00000000E+0,
595.703130,1.20000000E+1,
600.585940,9.00000000E+0,
605.468750,1.00000000E+1,
610.351560,9.00000000E+0,
615.234380,8.00000000E+0,
620.117190,9.00000000E+0,
625.00,1.20000000E+1,
629.882810,1.10000000E+1,
634.765630,7.00000000E+0,
639.648440,1.10000000E+1,
644.531250,9.00000000E+0,
649.414060,1.20000000E+1,
654.296880,1.00000000E+1,
659.179690,1.00000000E+1,
664.062500,9.00000000E+0,
668.945310,9.00000000E+0,
673.828130,9.00000000E+0,
678.710940,8.00000000E+0,
683.593750,1.10000000E+1,
688.476560,1.10000000E+1,
693.359380,1.10000000E+1,
698.242190,5.00000000E+0,
703.12500,4.00000000E+0,
708.007810,1.30000000E+1,
712.890630,1.10000000E+1,
717.773440,8.00000000E+0,
722.656250,1.10000000E+1,
727.539060,1.50000000E+1,
732.421880,7.00000000E+0,
737.304690,8.00000000E+0,
742.187500,6.00000000E+0,
747.070310,6.00000000E+0,
751.953130,5.00000000E+0,
756.835940,1.30000000E+1,
761.718750,1.00000000E+1,
766.601560,8.00000000E+0,
771.484380,8.00000000E+0,
776.367190,6.00000000E+0,
781.2500,7.00000000E+0,
786.132810,9.00000000E+0,
791.015630,1.00000000E+1,
795.898440,7.00000000E+0,
800.781250,4.00000000E+0,
805.664060,1.50000000E+1,
810.546880,7.00000000E+0,
815.429690,7.00000000E+0,
820.312500,7.00000000E+0,
825.195310,7.00000000E+0,
830.078130,1.60000000E+1,
834.960940,7.00000000E+0,
839.843750,6.00000000E+0,
844.726560,5.00000000E+0,
849.609380,1.10000000E+1,
854.492190,1.10000000E+1,
859.37500,8.00000000E+0,
864.257810,1.30000000E+1,
869.140630,8.00000000E+0,
874.023440,1.20000000E+1,
878.906250,9.00000000E+0,
883.789060,1.10000000E+1,
888.671880,1.30000000E+1,
893.554690,8.00000000E+0,
898.437500,7.00000000E+0,
903.320310,9.00000000E+0,
908.203130,9.00000000E+0,
913.085940,1.30000000E+1,
917.968750,1.00000000E+1,
922.851560,1.30000000E+1,
927.734380,6.00000000E+0,
932.617190,9.00000000E+0,
937.500,1.50000000E+1,
942.382810,1.20000000E+1,
947.265630,1.10000000E+1,
952.148440,7.00000000E+0,
957.031250,1.20000000E+1,
961.914060,9.00000000E+0,
966.796880,1.00000000E+1,
971.679690,7.00000000E+0,
976.562500,7.00000000E+0,
981.445310,4.00000000E+0,
986.328130,1.10000000E+1,
991.210940,7.00000000E+0,
996.093750,7.00000000E+0,
1000.976600,8.00000000E+0,
1005.859400,1.00000000E+1,
1010.742200,3.00000000E+0,
1015.625000,4.00000000E+0,
1020.507800,5.00000000E+0,
1025.390600,6.00000000E+0,
1030.273400,7.00000000E+0,
1035.156300,1.10000000E+1,
1040.039100,4.00000000E+0,
1044.921900,6.00000000E+0,
1049.804700,6.00000000E+0,
1054.687500,1.20000000E+1,
1059.57000,5.00000000E+0,
1064.453100,9.00000000E+0,
1069.335900,3.00000000E+0,
1074.218800,7.00000000E+0,
1079.101600,6.00000000E+0,
1083.984400,8.00000000E+0,
1088.867200,5.00000000E+0,
1093.75000,6.00000000E+0,
1098.632800,5.00000000E+0,
1103.515600,8.00000000E+0,
1108.398400,4.00000000E+0,
1113.281300,1.00000000E+1,
1118.164100,3.00000000E+0,
1123.046900,9.00000000E+0,
1127.93000,7.00000000E+0,
1132.812500,1.10000000E+1,
1137.695300,9.00000000E+0,
1142.578100,7.00000000E+0,
1147.460900,1.00000000E+1,
1152.343800,1.00000000E+1,
1157.226600,9.00000000E+0,
1162.109400,9.00000000E+0,
1166.992200,1.00000000E+1,
1171.875000,7.00000000E+0,
1176.757800,7.00000000E+0,
1181.640600,1.20000000E+1,
1186.523400,8.00000000E+0,
1191.406300,3.00000000E+0,
1196.289100,7.00000000E+0,
1201.171900,4.00000000E+0,
1206.054700,4.00000000E+0,
1210.937500,5.00000000E+0,
1215.82000,1.40000000E+1,
1220.703100,5.00000000E+0,
1225.585900,6.00000000E+0,
1230.468800,1.20000000E+1,
1235.351600,6.00000000E+0,
1240.234400,6.00000000E+0,
1245.117200,5.00000000E+0,
1250.00,1.00000000E+1,
1254.882800,5.00000000E+0,
1259.765600,1.00000000E+1,
1264.648400,8.00000000E+0,
1269.531300,8.00000000E+0,
1274.414100,6.00000000E+0,
1279.296900,3.00000000E+0,
1284.18000,4.00000000E+0,
1289.062500,7.00000000E+0,
1293.945300,7.00000000E+0,
1298.828100,3.00000000E+0,
1303.710900,7.00000000E+0,
1308.593800,1.30000000E+1,
1313.476600,1.40000000E+1,
1318.359400,4.00000000E+0,
1323.242200,5.00000000E+0,
1328.125000,7.00000000E+0,
1333.007800,1.10000000E+1,
1337.890600,9.00000000E+0,
1342.773400,1.10000000E+1,
1347.656300,1.20000000E+1,
1352.539100,1.00000000E+1,
1357.421900,5.00000000E+0,
1362.304700,1.00000000E+1,
1367.187500,7.00000000E+0,
1372.07000,6.00000000E+0,
1376.953100,4.00000000E+0,
1381.835900,1.40000000E+1,
1386.718800,7.00000000E+0,
1391.601600,6.00000000E+0,
1396.484400,3.00000000E+0,
1401.367200,1.00000000E+1,
1406.25000,1.20000000E+1,
1411.132800,3.00000000E+0,
1416.015600,7.00000000E+0,
1420.898400,5.00000000E+0,
1425.781300,5.00000000E+0,
1430.664100,9.00000000E+0,
1435.546900,8.00000000E+0,
1440.43000,7.00000000E+0,
1445.312500,8.00000000E+0,
1450.195300,9.00000000E+0,
