0310_LIFETIME_comparisson_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_5min Argon

Labels,0310_LIFETIME_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_O2,0310_LIFETIME_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_5min Argon,0310_LIFETIME_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_O2(0310_LIFETIME_AAN155_Ba_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_O2),0310_LIFETIME_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_5min Argon(0310_LIFETIME_AAN155_Ba_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_O2),0310_LIFETIME_AAN155_Ba_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_5min Argon,
Type,Time Scan,Time Scan,Time Scan,Time Scan,Time Scan,
Comment,,,,,,
Start,0.00,0.00,0.00,0.00,0.00,
Stop,4995.117200,4995.117200,4995.117200,4995.117200,4995.117200,
Step,4.8828125,4.8828125,4.8828125,4.8828125,4.8828125,
Fixed/Offset, , , , , ,
XAxis,Time(ns),Time(ns),Time(ns),Time(ns),Time(ns),
YAxis,Counts,Counts,Counts,Counts,Counts,

0.00,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,
4.8828125,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,
9.7656250,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,
14.648438,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,
19.531250,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,
24.414063,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,
29.296875,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,
34.179688,2.00000000E+0,1.00000000E+0,2.00000000E+0,1.00000000E+0,0.00000000E+0,
