Labels,0310_ZFFL55_AAN155_1E-7_ACN_exc375_5min Argon,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,2.03801041E+2,
402.00,1.18678223E+2,
404.00,1.19370056E+2,
406.00,1.79704895E+2,
408.00,1.64100598E+3,
410.00,3.06160425E+3,
412.00,1.12253918E+3,
414.00,2.95186371E+2,
416.00,3.26161682E+2,
418.00,8.65398010E+2,
420.00,4.09472778E+3,
422.00,7.46888916E+3,
424.00,3.66278857E+3,
426.00,1.13244324E+3,
428.00,7.14038208E+2,
430.00,5.86949707E+2,
432.00,7.09313171E+2,
434.00,8.17966125E+2,
436.00,9.71755432E+2,
438.00,1.09807507E+3,
440.00,1.18115063E+3,
442.00,1.30809436E+3,
444.00,1.63849500E+3,
446.00,1.72011548E+3,
448.00,1.91588745E+3,
450.00,2.20091431E+3,
452.00,2.36033545E+3,
454.00,2.51958740E+3,
456.00,2.67570630E+3,
458.00,2.94822144E+3,
460.00,3.35370190E+3,
462.00,3.51797900E+3,
464.00,3.74692065E+3,
466.00,4.07518970E+3,
468.00,4.24261475E+3,
470.00,4.46547461E+3,
472.00,4.84852637E+3,
474.00,5.19009082E+3,
476.00,5.34631348E+3,
478.00,5.62823340E+3,
480.00,5.81735254E+3,
482.00,5.97767334E+3,
484.00,6.06287207E+3,
486.00,6.25312402E+3,
488.00,6.54361914E+3,
490.00,6.27757031E+3,
492.00,6.63832129E+3,
494.00,6.50324512E+3,
496.00,6.82096436E+3,
498.00,6.82152734E+3,
500.00,6.80682129E+3,
502.00,6.75378076E+3,
504.00,7.02796191E+3,
506.00,6.77541113E+3,
508.00,6.77531006E+3,
510.00,6.95680127E+3,
512.00,6.79143311E+3,
514.00,6.72286328E+3,
516.00,6.49587646E+3,
518.00,6.32843604E+3,
520.00,6.43054590E+3,
522.00,6.27934961E+3,
524.00,6.39949756E+3,
526.00,6.10774756E+3,
528.00,6.00742285E+3,
530.00,5.80469141E+3,
532.00,5.48483008E+3,
534.00,5.74747314E+3,
536.00,5.53568262E+3,
538.00,5.29360449E+3,
540.00,5.39674609E+3,
542.00,5.03018994E+3,
544.00,4.72401123E+3,
546.00,5.05341406E+3,
548.00,4.76730420E+3,
550.00,4.46329004E+3,
552.00,4.49031104E+3,
554.00,4.34306104E+3,
556.00,4.37467676E+3,
558.00,3.89584668E+3,
560.00,3.93439722E+3,
562.00,3.87770386E+3,
564.00,3.76830957E+3,
566.00,3.72725879E+3,
568.00,3.52580518E+3,
570.00,3.57289868E+3,
572.00,3.57204688E+3,
574.00,3.53722266E+3,
576.00,3.18709131E+3,
578.00,3.25679639E+3,
580.00,3.29740576E+3,
582.00,2.92931006E+3,
584.00,2.75976880E+3,
586.00,3.16849658E+3,
588.00,2.91738159E+3,
590.00,2.84442358E+3,
592.00,2.74744263E+3,
594.00,2.64528662E+3,
596.00,2.54526660E+3,
598.00,2.57294629E+3,
600.00,2.55592822E+3,
602.00,2.33210083E+3,
604.00,2.41849365E+3,
606.00,2.25858496E+3,
608.00,2.29735425E+3,
610.00,2.21303784E+3,
612.00,2.34110791E+3,
614.00,2.14889087E+3,
616.00,2.09276636E+3,
618.00,2.01172095E+3,
620.00,2.06771460E+3,
622.00,1.83090417E+3,
624.00,2.05470361E+3,
626.00,2.04596472E+3,
628.00,1.90253162E+3,
630.00,2.19710547E+3,
632.00,1.85039490E+3,
634.00,1.85606238E+3,
636.00,1.99012769E+3,
638.00,1.83966162E+3,
640.00,1.69421509E+3,
642.00,1.77557715E+3,
644.00,1.76300232E+3,
646.00,1.46096143E+3,
648.00,1.48120813E+3,
650.00,1.47301941E+3,
652.00,1.45818152E+3,
654.00,1.58557910E+3,
656.00,1.44912195E+3,
658.00,1.31490027E+3,
660.00,1.60212256E+3,
662.00,1.50082483E+3,
664.00,1.56286243E+3,
666.00,1.44862036E+3,
668.00,1.17548816E+3,
670.00,1.16910962E+3,
672.00,1.21086414E+3,
674.00,1.37363538E+3,
676.00,1.42335620E+3,
678.00,1.14015491E+3,
680.00,1.06052515E+3,
682.00,1.22970630E+3,
684.00,1.11936646E+3,
686.00,1.02536902E+3,
688.00,1.11974866E+3,
690.00,1.13206909E+3,
692.00,1.13649194E+3,
694.00,1.04923828E+3,
696.00,1.07403235E+3,
698.00,1.11043848E+3,
700.00,1.06687207E+3,
702.00,9.23133972E+2,
704.00,8.85832886E+2,
706.00,1.02449011E+3,
708.00,1.01729022E+3,
710.00,7.62523071E+2,
712.00,7.89273376E+2,
714.00,9.52089294E+2,
716.00,9.52471680E+2,
718.00,6.99612305E+2,
720.00,8.61222107E+2,
722.00,8.88048950E+2,
724.00,8.80929626E+2,
726.00,8.26953430E+2,
728.00,8.03986084E+2,
730.00,7.21910950E+2,
732.00,6.24783264E+2,
734.00,8.25765259E+2,
736.00,6.20223022E+2,
738.00,6.38292786E+2,
740.00,9.72095093E+2,
742.00,7.13800354E+2,
744.00,8.30195007E+2,
746.00,6.64526611E+2,
748.00,5.36238892E+2,
750.00,6.32722961E+2,
752.00,4.69012634E+2,
754.00,6.17403076E+2,
756.00,4.41392273E+2,
758.00,4.45235840E+2,
760.00,4.01200470E+2,
762.00,4.86257019E+2,
764.00,2.19737991E+2,
766.00,3.28268433E+2,
768.00,5.73013245E+2,
770.00,3.05610229E+2,
772.00,4.95734558E+2,
774.00,3.22953094E+2,
776.00,2.39082886E+2,
778.00,7.32985168E+2,
780.00,6.14125305E+2,
782.00,4.94411896E+2,
784.00,3.52092834E+2,
786.00,5.51181335E+2,
788.00,5.18339905E+2,
790.00,1.47057541E+2,
792.00,2.42681351E+2,
794.00,4.03776154E+2,
796.00,6.37531891E+1,
798.00,3.61325775E+2,
800.00,2.71531342E+2,
802.00,4.18165527E+2,
804.00,3.55404846E+2,
806.00,2.20089279E+2,
808.00,3.38897461E+2,
810.00,2.67825531E+2,
812.00,2.75296875E+2,
814.00,2.41329193E+2,
816.00,2.45666245E+2,
818.00,2.09350159E+2,
820.00,3.80787598E+2,
822.00,3.05584167E+2,
824.00,3.98999725E+2,
826.00,3.12551392E+2,
828.00,2.72584137E+2,
830.00,1.39409561E+2,
832.00,5.68627014E+2,
834.00,4.78253326E+1,
836.00,6.33233276E+2,
838.00,4.01578796E+2,
840.00,2.01441589E+2,
842.00,0.00000000E+0,
844.00,7.31449097E+2,
846.00,-1.08680183E+2,
848.00,5.51205940E+1,
850.00,5.69686165E+1,
