Labels,0310_ZFFL55_AAN155_1E-7_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,1.55831818E+2,
402.00,1.11749069E+2,
404.00,8.80683594E+1,
406.00,1.67126663E+2,
408.00,1.58564404E+3,
410.00,2.94947827E+3,
412.00,1.01185992E+3,
414.00,2.00122253E+2,
416.00,2.67075531E+2,
418.00,7.65953613E+2,
420.00,4.00951709E+3,
422.00,7.16218506E+3,
424.00,3.66101123E+3,
426.00,1.12154224E+3,
428.00,5.31143921E+2,
430.00,4.82958649E+2,
432.00,4.94827881E+2,
434.00,4.80904510E+2,
436.00,5.54883484E+2,
438.00,5.73261841E+2,
440.00,7.09905273E+2,
442.00,7.70588379E+2,
444.00,8.28601563E+2,
446.00,8.94555237E+2,
448.00,1.06254834E+3,
450.00,1.12947949E+3,
452.00,1.22602905E+3,
454.00,1.19315637E+3,
456.00,1.44856079E+3,
458.00,1.50889990E+3,
460.00,1.65951709E+3,
462.00,1.80625708E+3,
464.00,1.83266431E+3,
466.00,2.03892834E+3,
468.00,2.08894312E+3,
470.00,2.34295044E+3,
472.00,2.33286377E+3,
474.00,2.59372485E+3,
476.00,2.64007861E+3,
478.00,2.67923413E+3,
480.00,2.92766626E+3,
482.00,2.87609082E+3,
484.00,3.13480859E+3,
486.00,3.03795898E+3,
488.00,3.26070801E+3,
490.00,3.15219238E+3,
492.00,3.36367114E+3,
494.00,3.40153271E+3,
496.00,3.40390112E+3,
498.00,3.30997070E+3,
500.00,3.42171899E+3,
502.00,3.43907813E+3,
504.00,3.42244727E+3,
506.00,3.38318433E+3,
508.00,3.44740161E+3,
510.00,3.38362524E+3,
512.00,3.41531128E+3,
514.00,3.39921094E+3,
516.00,3.33657227E+3,
518.00,3.39531274E+3,
520.00,3.26837720E+3,
522.00,2.92158179E+3,
524.00,2.96941626E+3,
526.00,2.94620410E+3,
528.00,2.97378955E+3,
530.00,2.99158667E+3,
532.00,2.69025903E+3,
534.00,2.61641602E+3,
536.00,2.49545264E+3,
538.00,2.61999390E+3,
540.00,2.53414600E+3,
542.00,2.48630200E+3,
544.00,2.21389990E+3,
546.00,2.21917334E+3,
548.00,2.24222681E+3,
550.00,2.08358936E+3,
552.00,2.14274243E+3,
554.00,1.97496753E+3,
556.00,2.00924854E+3,
558.00,1.88295178E+3,
560.00,1.78425989E+3,
562.00,1.81501648E+3,
564.00,1.67392761E+3,
566.00,1.55334180E+3,
568.00,1.45969336E+3,
570.00,1.44047937E+3,
572.00,1.39154675E+3,
574.00,1.31612195E+3,
576.00,1.37138196E+3,
578.00,1.31394263E+3,
580.00,1.24285681E+3,
582.00,1.15931726E+3,
584.00,1.31538110E+3,
586.00,1.11262939E+3,
588.00,1.00238641E+3,
590.00,1.11436365E+3,
592.00,9.96794922E+2,
594.00,1.02485925E+3,
596.00,1.14292664E+3,
598.00,8.56557068E+2,
600.00,9.43664307E+2,
602.00,7.60235840E+2,
604.00,8.77053162E+2,
606.00,7.74648865E+2,
608.00,8.63816162E+2,
610.00,6.47596924E+2,
612.00,6.61014954E+2,
614.00,6.91662537E+2,
616.00,6.26586914E+2,
618.00,7.11160522E+2,
620.00,6.73586792E+2,
622.00,6.59857239E+2,
624.00,5.79778503E+2,
626.00,6.10936890E+2,
628.00,5.95731018E+2,
630.00,7.57791016E+2,
632.00,4.83942047E+2,
634.00,4.80093628E+2,
636.00,5.09702240E+2,
638.00,4.69223511E+2,
640.00,4.17893097E+2,
642.00,4.26100220E+2,
644.00,4.31822357E+2,
646.00,4.31728668E+2,
648.00,4.19507507E+2,
650.00,3.82168884E+2,
652.00,3.73436310E+2,
654.00,3.65560638E+2,
656.00,2.33929321E+2,
658.00,3.49438873E+2,
660.00,3.16934814E+2,
662.00,3.56504211E+2,
664.00,3.12208466E+2,
666.00,4.02283020E+2,
668.00,3.48566040E+2,
670.00,2.97330383E+2,
672.00,3.66634338E+2,
674.00,2.53400330E+2,
676.00,2.12075485E+2,
678.00,3.25984161E+2,
680.00,3.03149597E+2,
682.00,3.27618347E+2,
684.00,2.20617340E+2,
686.00,2.64772980E+2,
688.00,1.91291412E+2,
690.00,3.22323059E+2,
692.00,1.46918213E+2,
694.00,1.57242752E+2,
696.00,2.61924774E+2,
698.00,1.38248337E+2,
700.00,2.44651505E+2,
702.00,3.06764984E+2,
704.00,2.19005966E+2,
706.00,1.30777435E+2,
708.00,3.41886414E+2,
710.00,2.74004974E+2,
712.00,1.99200745E+2,
714.00,2.15870819E+2,
716.00,1.26496971E+2,
718.00,2.04992203E+2,
720.00,3.04622986E+2,
722.00,3.02089600E+2,
724.00,2.29895844E+2,
726.00,1.06539627E+2,
728.00,2.91814911E+2,
730.00,1.36580444E+2,
732.00,1.53373657E+2,
734.00,1.29959885E+2,
736.00,1.46610565E+2,
738.00,1.92518524E+2,
740.00,2.26783325E+2,
742.00,1.57311783E+2,
744.00,1.91451111E+2,
746.00,2.15051453E+2,
748.00,6.36101074E+1,
750.00,2.11433487E+2,
752.00,2.17242676E+2,
754.00,6.95654297E+1,
756.00,3.01029816E+2,
758.00,1.82521072E+2,
760.00,9.38787689E+1,
762.00,1.55413925E+2,
764.00,3.98489441E+2,
766.00,3.28831909E+2,
768.00,6.35312347E+1,
770.00,2.60070618E+2,
772.00,4.49733810E+1,
774.00,2.52911499E+2,
776.00,2.63414398E+2,
778.00,3.44618042E+2,
780.00,1.27680527E+2,
782.00,3.12272339E+2,
784.00,1.61962982E+2,
786.00,2.20729675E+2,
788.00,0.00000000E+0,
790.00,2.63640900E+2,
792.00,1.50044922E+2,
794.00,3.08518585E+2,
796.00,9.57417679E+1,
798.00,1.30493668E+2,
800.00,6.76876526E+2,
802.00,1.39939911E+2,
804.00,6.39055176E+2,
806.00,3.27980499E+2,
808.00,1.85645462E+2,
810.00,1.15048988E+2,
812.00,3.92651947E+2,
814.00,3.19248474E+2,
816.00,4.08829041E+1,
818.00,3.32539490E+2,
820.00,5.88290466E+2,
822.00,0.00000000E+0,
824.00,3.53612396E+2,
826.00,2.22594437E+2,
828.00,0.00000000E+0,
830.00,3.23140106E+2,
832.00,1.40893524E+2,
834.00,4.80068283E+1,
836.00,4.37299133E+2,
838.00,3.49245911E+2,
840.00,4.52978180E+2,
842.00,3.08742554E+2,
844.00,2.08818756E+2,
846.00,5.93554993E+2,
848.00,0.00000000E+0,
850.00,3.98866089E+2,
