Labels,0310_ZFFL55_AAN155_Ba_1E-7_ACN_exc375_5min Argon,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,3.48211487E+2,
402.00,3.49973572E+2,
404.00,3.01410065E+2,
406.00,3.23587585E+2,
408.00,1.76101587E+3,
410.00,3.23167871E+3,
412.00,1.26760474E+3,
414.00,3.75301514E+2,
416.00,4.29738464E+2,
418.00,8.64408508E+2,
420.00,4.05540063E+3,
422.00,7.43805322E+3,
424.00,3.77797656E+3,
426.00,1.17754871E+3,
428.00,5.18807190E+2,
430.00,4.21015717E+2,
432.00,4.67963196E+2,
434.00,4.42046173E+2,
436.00,3.90024414E+2,
438.00,3.81351379E+2,
440.00,3.88088623E+2,
442.00,4.46358704E+2,
444.00,4.08273682E+2,
446.00,4.06881989E+2,
448.00,4.63166351E+2,
450.00,3.96740479E+2,
452.00,3.81702606E+2,
454.00,3.98442383E+2,
456.00,3.41239441E+2,
458.00,2.74647552E+2,
460.00,3.06581696E+2,
462.00,3.05599823E+2,
464.00,3.02664368E+2,
466.00,3.16083466E+2,
468.00,3.00751190E+2,
470.00,2.85637573E+2,
472.00,2.89894714E+2,
474.00,3.29577484E+2,
476.00,2.65018219E+2,
478.00,2.94880615E+2,
480.00,2.37472717E+2,
482.00,2.65554260E+2,
484.00,2.55991196E+2,
486.00,2.61498840E+2,
488.00,2.54491211E+2,
490.00,2.85996765E+2,
492.00,2.69361816E+2,
494.00,2.53342087E+2,
496.00,2.55411057E+2,
498.00,2.51934113E+2,
500.00,2.92233124E+2,
502.00,2.31801010E+2,
504.00,2.29242798E+2,
506.00,2.08035522E+2,
508.00,2.34549149E+2,
510.00,2.99767639E+2,
512.00,2.34162598E+2,
514.00,2.91758911E+2,
516.00,3.05749664E+2,
518.00,3.08104980E+2,
520.00,4.33412231E+2,
522.00,4.40561005E+2,
524.00,4.50833405E+2,
526.00,5.39797607E+2,
528.00,5.18421448E+2,
530.00,6.30656555E+2,
532.00,7.06880493E+2,
534.00,8.37454468E+2,
536.00,8.36462769E+2,
538.00,1.10858435E+3,
540.00,1.11655273E+3,
542.00,1.29382935E+3,
544.00,1.36927869E+3,
546.00,1.49928247E+3,
548.00,1.70705115E+3,
550.00,1.75601697E+3,
552.00,1.86823303E+3,
554.00,1.96941992E+3,
556.00,2.02011609E+3,
558.00,2.25964600E+3,
560.00,2.53413794E+3,
562.00,2.65646411E+3,
564.00,2.66046631E+3,
566.00,3.00122119E+3,
568.00,3.12706592E+3,
570.00,3.46776221E+3,
572.00,3.60986768E+3,
574.00,3.61571094E+3,
576.00,3.91963989E+3,
578.00,4.06115845E+3,
580.00,4.21240674E+3,
582.00,4.28679346E+3,
584.00,4.17769824E+3,
586.00,4.38660889E+3,
588.00,4.79918848E+3,
590.00,4.92591699E+3,
592.00,5.01915186E+3,
594.00,5.23222510E+3,
596.00,5.33402295E+3,
598.00,5.05813477E+3,
600.00,5.45859326E+3,
602.00,5.48442236E+3,
604.00,5.11466357E+3,
606.00,5.81858350E+3,
608.00,5.56950635E+3,
610.00,5.68207813E+3,
612.00,5.87648340E+3,
614.00,5.76239893E+3,
616.00,5.77869238E+3,
618.00,5.83430566E+3,
620.00,5.72789941E+3,
622.00,5.55677051E+3,
624.00,5.70690625E+3,
626.00,5.46522021E+3,
628.00,5.58440332E+3,
630.00,5.86428467E+3,
632.00,5.44413672E+3,
634.00,5.99669580E+3,
636.00,5.81863037E+3,
638.00,5.48980859E+3,
640.00,5.47431445E+3,
642.00,5.26770020E+3,
644.00,5.62384180E+3,
646.00,5.03371875E+3,
648.00,5.35298047E+3,
650.00,5.25761377E+3,
652.00,5.34359082E+3,
654.00,5.03085449E+3,
656.00,5.00232617E+3,
658.00,5.15154541E+3,
660.00,5.18642432E+3,
662.00,4.69310889E+3,
664.00,4.93845117E+3,
666.00,4.79450977E+3,
668.00,4.30127734E+3,
670.00,4.44292383E+3,
672.00,4.30628271E+3,
674.00,4.36487354E+3,
676.00,4.34882617E+3,
678.00,4.35744434E+3,
680.00,3.91760840E+3,
682.00,4.15657471E+3,
684.00,4.05734790E+3,
686.00,3.95597876E+3,
688.00,3.81423486E+3,
690.00,3.94671899E+3,
692.00,3.74328882E+3,
694.00,3.35131348E+3,
696.00,3.44169141E+3,
698.00,3.25197974E+3,
700.00,3.33951025E+3,
702.00,3.07133643E+3,
704.00,2.88029395E+3,
706.00,3.10456323E+3,
708.00,2.77329395E+3,
710.00,3.13469409E+3,
712.00,2.93672437E+3,
714.00,2.62470825E+3,
716.00,2.55555811E+3,
718.00,2.42628589E+3,
720.00,2.71553125E+3,
722.00,2.49889502E+3,
724.00,2.42312744E+3,
726.00,2.80720996E+3,
728.00,2.31591333E+3,
730.00,2.41582886E+3,
732.00,2.44554639E+3,
734.00,2.03214539E+3,
736.00,2.15759351E+3,
738.00,2.07814624E+3,
740.00,1.88296960E+3,
742.00,2.10889453E+3,
744.00,1.94775317E+3,
746.00,2.18711328E+3,
748.00,1.70203735E+3,
750.00,1.69348010E+3,
752.00,1.65887744E+3,
754.00,1.72962756E+3,
756.00,1.35899316E+3,
758.00,1.69876624E+3,
760.00,1.34484180E+3,
762.00,1.58288818E+3,
764.00,1.48525134E+3,
766.00,1.37846252E+3,
768.00,1.73775757E+3,
770.00,1.11433997E+3,
772.00,1.41677234E+3,
774.00,1.33688110E+3,
776.00,1.00397119E+3,
778.00,8.83583069E+2,
780.00,1.56339563E+3,
782.00,1.12509131E+3,
784.00,1.18985046E+3,
786.00,6.60430176E+2,
788.00,6.82156311E+2,
790.00,1.29679614E+3,
792.00,9.30621704E+2,
794.00,1.01454944E+3,
796.00,7.35584900E+2,
798.00,7.86978455E+2,
800.00,8.66516052E+2,
802.00,9.42572388E+2,
804.00,6.78101196E+2,
806.00,7.30486145E+2,
808.00,7.81695618E+2,
810.00,1.12208435E+3,
812.00,7.78558655E+2,
814.00,6.83231262E+2,
816.00,4.88812439E+2,
818.00,7.53822815E+2,
820.00,4.28669525E+2,
822.00,6.06555359E+2,
824.00,3.98960632E+2,
826.00,1.80033157E+2,
828.00,8.26332031E+2,
830.00,2.76434814E+2,
832.00,2.83290863E+2,
834.00,7.15873352E+2,
836.00,5.36745667E+2,
838.00,6.45931519E+2,
840.00,3.55333160E+2,
842.00,2.54301453E+2,
844.00,3.15252075E+2,
846.00,6.47565369E+2,
848.00,3.32696686E+2,
850.00,2.83484863E+2,
