Labels,ZFFL55_AAN155_1E-5_ACN_exc375_Argon,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,7.57933655E+2,
402.00,7.41746521E+2,
404.00,8.99332581E+2,
406.00,1.14839478E+3,
408.00,2.37150952E+3,
410.00,3.42807959E+3,
412.00,2.57321753E+3,
414.00,2.49911011E+3,
416.00,2.97481128E+3,
418.00,3.98754565E+3,
420.00,7.09410693E+3,
422.00,1.02919883E+4,
424.00,8.89756641E+3,
426.00,8.67175488E+3,
428.00,9.85260742E+3,
430.00,1.18411113E+4,
432.00,1.41154824E+4,
434.00,1.65743457E+4,
436.00,1.93179258E+4,
438.00,2.24766367E+4,
440.00,2.64727422E+4,
442.00,3.10087402E+4,
444.00,3.52703789E+4,
446.00,3.97926719E+4,
448.00,4.56811758E+4,
450.00,5.03838555E+4,
452.00,5.59843711E+4,
454.00,6.18394609E+4,
456.00,6.76585469E+4,
458.00,7.40812734E+4,
460.00,8.03639766E+4,
462.00,8.75590156E+4,
464.00,9.49807656E+4,
466.00,1.02900016E+5,
468.00,1.09111367E+5,
470.00,1.18003531E+5,
472.00,1.24218500E+5,
474.00,1.30439391E+5,
476.00,1.38630297E+5,
478.00,1.43583141E+5,
480.00,1.50333891E+5,
482.00,1.55765141E+5,
484.00,1.60312969E+5,
486.00,1.66335219E+5,
488.00,1.71094719E+5,
490.00,1.74367438E+5,
492.00,1.77149906E+5,
494.00,1.80683406E+5,
496.00,1.83075859E+5,
498.00,1.83993359E+5,
500.00,1.86166188E+5,
502.00,1.86999969E+5,
504.00,1.86414594E+5,
506.00,1.86138547E+5,
508.00,1.84838875E+5,
510.00,1.83678406E+5,
512.00,1.84392328E+5,
514.00,1.81466641E+5,
516.00,1.80845484E+5,
518.00,1.77859594E+5,
520.00,1.76068891E+5,
522.00,1.73395141E+5,
524.00,1.71373297E+5,
526.00,1.68287844E+5,
528.00,1.66299516E+5,
530.00,1.64804094E+5,
532.00,1.62641875E+5,
534.00,1.59040906E+5,
536.00,1.56996422E+5,
538.00,1.53668734E+5,
540.00,1.52651984E+5,
542.00,1.50257000E+5,
544.00,1.48201844E+5,
546.00,1.45077672E+5,
548.00,1.43869484E+5,
550.00,1.42303078E+5,
552.00,1.39913531E+5,
554.00,1.39054656E+5,
556.00,1.37314609E+5,
558.00,1.37555797E+5,
560.00,1.35854531E+5,
562.00,1.33829234E+5,
564.00,1.34077938E+5,
566.00,1.32971406E+5,
568.00,1.31752063E+5,
570.00,1.31928250E+5,
572.00,1.31456563E+5,
574.00,1.30148047E+5,
576.00,1.31130344E+5,
578.00,1.30386211E+5,
580.00,1.29564008E+5,
582.00,1.30924742E+5,
584.00,1.30130430E+5,
586.00,1.29809938E+5,
588.00,1.30113039E+5,
590.00,1.28620148E+5,
592.00,1.29858969E+5,
594.00,1.29991375E+5,
596.00,1.29822852E+5,
598.00,1.30565055E+5,
600.00,1.29787461E+5,
602.00,1.28257828E+5,
604.00,1.28541266E+5,
606.00,1.30136359E+5,
608.00,1.28100719E+5,
610.00,1.27011305E+5,
612.00,1.28932961E+5,
614.00,1.27662070E+5,
616.00,1.25572008E+5,
618.00,1.24693773E+5,
620.00,1.25177609E+5,
622.00,1.25168781E+5,
624.00,1.26169391E+5,
626.00,1.23302742E+5,
628.00,1.24520992E+5,
630.00,1.23497836E+5,
632.00,1.22306734E+5,
634.00,1.20802922E+5,
636.00,1.20715039E+5,
638.00,1.18675086E+5,
640.00,1.17461016E+5,
642.00,1.18076844E+5,
644.00,1.16331586E+5,
646.00,1.15101172E+5,
648.00,1.15136914E+5,
650.00,1.13478344E+5,
652.00,1.13380047E+5,
654.00,1.11458945E+5,
656.00,1.09987406E+5,
658.00,1.08059836E+5,
660.00,1.06808992E+5,
662.00,1.06780922E+5,
664.00,1.06919375E+5,
666.00,1.06419781E+5,
668.00,1.02883930E+5,
670.00,1.01328266E+5,
672.00,1.00962914E+5,
674.00,9.93209297E+4,
676.00,9.68244297E+4,
678.00,9.76459766E+4,
680.00,9.38966719E+4,
682.00,9.22520938E+4,
684.00,9.20139609E+4,
686.00,9.03404844E+4,
688.00,8.93312266E+4,
690.00,8.78976016E+4,
692.00,8.63318672E+4,
694.00,8.56531875E+4,
696.00,8.36395938E+4,
698.00,8.32424609E+4,
700.00,8.06749375E+4,
702.00,8.08232969E+4,
704.00,7.61469297E+4,
706.00,7.64688672E+4,
708.00,7.48718828E+4,
710.00,7.41514375E+4,
712.00,7.44587578E+4,
714.00,7.16796875E+4,
716.00,7.06043672E+4,
718.00,6.88777813E+4,
720.00,6.80976797E+4,
722.00,6.41403633E+4,
724.00,6.53877773E+4,
726.00,6.45975625E+4,
728.00,6.17884766E+4,
730.00,6.25981445E+4,
732.00,5.96451680E+4,
734.00,5.85507031E+4,
736.00,5.88818984E+4,
738.00,5.73050977E+4,
740.00,5.36231758E+4,
742.00,5.54156367E+4,
744.00,5.23664688E+4,
746.00,5.07784023E+4,
748.00,5.13312344E+4,
750.00,4.93519063E+4,
752.00,4.94308164E+4,
754.00,4.97463164E+4,
756.00,4.91252930E+4,
758.00,4.58821875E+4,
760.00,4.60125586E+4,
762.00,4.55487656E+4,
764.00,4.40019180E+4,
766.00,4.34371367E+4,
768.00,4.02987070E+4,
770.00,3.93866250E+4,
772.00,3.84320234E+4,
774.00,3.80754922E+4,
776.00,3.68826289E+4,
778.00,3.74722891E+4,
780.00,3.48778867E+4,
782.00,3.40131289E+4,
784.00,3.35801797E+4,
786.00,3.17668066E+4,
788.00,3.29960977E+4,
790.00,3.03121797E+4,
792.00,2.96928965E+4,
794.00,2.97178105E+4,
796.00,2.86934883E+4,
798.00,2.84686621E+4,
800.00,2.78154609E+4,
802.00,2.79542578E+4,
804.00,2.52301328E+4,
806.00,2.50659238E+4,
808.00,2.55773340E+4,
810.00,2.48651172E+4,
812.00,2.33956035E+4,
814.00,2.28057070E+4,
816.00,2.20811504E+4,
818.00,2.25296543E+4,
820.00,1.98299531E+4,
822.00,1.97945020E+4,
824.00,2.00821465E+4,
826.00,1.90296660E+4,
828.00,1.78549590E+4,
830.00,1.76331191E+4,
832.00,1.92944355E+4,
834.00,1.82101582E+4,
836.00,1.55949805E+4,
838.00,1.75246855E+4,
840.00,1.58196289E+4,
842.00,1.51962998E+4,
844.00,1.60139814E+4,
846.00,1.35137168E+4,
848.00,1.62596729E+4,
850.00,1.26696299E+4,
