Labels,ZFFL55_AAN155_Ba_1E-5_ACN_exc375_Argon,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,9.83124207E+2,
402.00,9.12648254E+2,
404.00,9.54371643E+2,
406.00,1.05961426E+3,
408.00,2.39093774E+3,
410.00,3.62538867E+3,
412.00,1.92292700E+3,
414.00,1.30026843E+3,
416.00,1.34278479E+3,
418.00,1.82933215E+3,
420.00,4.91050098E+3,
422.00,7.50010840E+3,
424.00,4.40945654E+3,
426.00,2.34654321E+3,
428.00,1.81929675E+3,
430.00,1.66007324E+3,
432.00,1.69903845E+3,
434.00,1.75128796E+3,
436.00,1.78903418E+3,
438.00,1.81119727E+3,
440.00,1.90902563E+3,
442.00,2.04235046E+3,
444.00,2.08545679E+3,
446.00,2.02571350E+3,
448.00,2.27886548E+3,
450.00,2.24159863E+3,
452.00,2.28701636E+3,
454.00,2.46326270E+3,
456.00,2.64465210E+3,
458.00,2.58414258E+3,
460.00,2.57276123E+3,
462.00,2.75713867E+3,
464.00,2.88454272E+3,
466.00,2.99320703E+3,
468.00,3.10934766E+3,
470.00,3.26245288E+3,
472.00,3.46049780E+3,
474.00,3.65911597E+3,
476.00,3.70260522E+3,
478.00,3.96766602E+3,
480.00,3.99406616E+3,
482.00,4.25483936E+3,
484.00,4.77350781E+3,
486.00,4.90569775E+3,
488.00,5.04208203E+3,
490.00,5.31346875E+3,
492.00,5.57115088E+3,
494.00,5.90428271E+3,
496.00,6.41013525E+3,
498.00,6.82635156E+3,
500.00,7.32180859E+3,
502.00,7.91260938E+3,
504.00,8.62898633E+3,
506.00,9.65052734E+3,
508.00,1.06949248E+4,
510.00,1.20636328E+4,
512.00,1.38418623E+4,
514.00,1.56219336E+4,
516.00,1.80958477E+4,
518.00,2.03272246E+4,
520.00,2.34336543E+4,
522.00,2.69039102E+4,
524.00,3.06403223E+4,
526.00,3.55407695E+4,
528.00,4.03678633E+4,
530.00,4.58322031E+4,
532.00,5.19571992E+4,
534.00,5.89398281E+4,
536.00,6.58655625E+4,
538.00,7.37572266E+4,
540.00,8.19345000E+4,
542.00,9.08030391E+4,
544.00,1.00039156E+5,
546.00,1.11237328E+5,
548.00,1.20897820E+5,
550.00,1.31410156E+5,
552.00,1.43694594E+5,
554.00,1.55150266E+5,
556.00,1.68702078E+5,
558.00,1.80954172E+5,
560.00,1.94872734E+5,
562.00,2.07730828E+5,
564.00,2.21095313E+5,
566.00,2.32878969E+5,
568.00,2.48805000E+5,
570.00,2.62311563E+5,
572.00,2.74696250E+5,
574.00,2.87649500E+5,
576.00,3.03105313E+5,
578.00,3.15296000E+5,
580.00,3.27109063E+5,
582.00,3.41444188E+5,
584.00,3.48591656E+5,
586.00,3.62386844E+5,
588.00,3.75813156E+5,
590.00,3.83682469E+5,
592.00,3.92848531E+5,
594.00,4.02140000E+5,
596.00,4.10590000E+5,
598.00,4.19333000E+5,
600.00,4.27684500E+5,
602.00,4.32940188E+5,
604.00,4.37456500E+5,
606.00,4.44733375E+5,
608.00,4.50445750E+5,
610.00,4.53525125E+5,
612.00,4.54000750E+5,
614.00,4.60736438E+5,
616.00,4.61413688E+5,
618.00,4.63250969E+5,
620.00,4.65521406E+5,
622.00,4.65368000E+5,
624.00,4.62593563E+5,
626.00,4.65553906E+5,
628.00,4.65986219E+5,
630.00,4.61979094E+5,
632.00,4.62592188E+5,
634.00,4.60750063E+5,
636.00,4.55427813E+5,
638.00,4.53181563E+5,
640.00,4.45457531E+5,
642.00,4.43233563E+5,
644.00,4.38243313E+5,
646.00,4.34953906E+5,
648.00,4.30877375E+5,
650.00,4.30150969E+5,
652.00,4.22700781E+5,
654.00,4.15797094E+5,
656.00,4.09813500E+5,
658.00,4.03932406E+5,
660.00,3.99482156E+5,
662.00,3.92880750E+5,
664.00,3.88168000E+5,
666.00,3.82461469E+5,
668.00,3.78483344E+5,
670.00,3.69437344E+5,
672.00,3.62159281E+5,
674.00,3.52129688E+5,
676.00,3.46409438E+5,
678.00,3.39061531E+5,
680.00,3.37836094E+5,
682.00,3.24840094E+5,
684.00,3.18528594E+5,
686.00,3.14133406E+5,
688.00,3.06433188E+5,
690.00,2.97924969E+5,
692.00,2.91314094E+5,
694.00,2.85987656E+5,
696.00,2.80328906E+5,
698.00,2.78288406E+5,
700.00,2.68790938E+5,
702.00,2.62695813E+5,
704.00,2.56510844E+5,
706.00,2.55140859E+5,
708.00,2.46481172E+5,
710.00,2.43326172E+5,
712.00,2.39107063E+5,
714.00,2.32299156E+5,
716.00,2.24639922E+5,
718.00,2.19544594E+5,
720.00,2.16741875E+5,
722.00,2.07602891E+5,
724.00,2.04162422E+5,
726.00,1.97857969E+5,
728.00,1.91866656E+5,
730.00,1.89440250E+5,
732.00,1.82348359E+5,
734.00,1.79096703E+5,
736.00,1.76331234E+5,
738.00,1.69143734E+5,
740.00,1.65701391E+5,
742.00,1.64694703E+5,
744.00,1.58608266E+5,
746.00,1.53021656E+5,
748.00,1.49356188E+5,
750.00,1.47546734E+5,
752.00,1.41222469E+5,
754.00,1.37814203E+5,
756.00,1.35447906E+5,
758.00,1.30926273E+5,
760.00,1.27278273E+5,
762.00,1.21533344E+5,
764.00,1.23248414E+5,
766.00,1.15993133E+5,
768.00,1.13894781E+5,
770.00,1.10063297E+5,
772.00,1.07961180E+5,
774.00,1.05409742E+5,
776.00,1.04294867E+5,
778.00,9.69799531E+4,
780.00,9.69779609E+4,
782.00,9.31540859E+4,
784.00,9.05318281E+4,
786.00,8.49905313E+4,
788.00,8.66418281E+4,
790.00,8.13948203E+4,
792.00,7.90473359E+4,
794.00,7.90233516E+4,
796.00,7.59486406E+4,
798.00,7.27376406E+4,
800.00,7.22722656E+4,
802.00,6.73964844E+4,
804.00,6.60022969E+4,
806.00,6.52914375E+4,
808.00,6.27641953E+4,
810.00,5.92030039E+4,
812.00,5.94582109E+4,
814.00,5.48215352E+4,
816.00,5.43469727E+4,
818.00,5.48853047E+4,
820.00,4.98592773E+4,
822.00,4.95941758E+4,
824.00,4.95555781E+4,
826.00,4.35713125E+4,
828.00,4.71492852E+4,
830.00,4.57795195E+4,
832.00,4.33086563E+4,
834.00,4.33463125E+4,
836.00,4.20717969E+4,
838.00,3.98696367E+4,
840.00,3.94865820E+4,
842.00,3.72747813E+4,
844.00,3.58940352E+4,
846.00,3.54115781E+4,
848.00,3.76425703E+4,
850.00,3.32318008E+4,
